x = -328.627, y = -393.701, z = 140.2143, angle = 144.3893, collision = h0003B2
x = -397.564, y = -414.1961, z = 44.172, angle = 75.24918, collision = h0500B2
x = -398.7581, y = -414.0854, z = 43.93244, angle = 61.30853, collision = h0500B2
x = -399.8534, y = -414.0383, z = 43.34046, angle = 58.5857, collision = h0500B2
x = -400.9635, y = -413.974, z = 42.67648, angle = 52.1461, collision = h0500B2
x = -401.9554, y = -413.9269, z = 41.9819, angle = 67.49003, collision = h0500B2
x = -403.3818, y = -413.7899, z = 41.42104, angle = 60.71576, collision = h0500B2
x = -404.4472, y = -413.696, z = 40.8413, angle = 44.58592, collision = h0500B2
x = -405.4294, y = -413.6529, z = 39.91855, angle = 40.36338, collision = h0500B2
x = -406.1997, y = -413.6396, z = 39.01167, angle = 41.07278, collision = h0500B2
x = -407.0884, y = -413.6166, z = 38.02005, angle = 52.7784, collision = h0500B2
x = -408.03, y = -413.5651, z = 37.26698, angle = 52.63807, collision = h0500B2
x = -409.0482, y = -413.5069, z = 36.48988, angle = 52.76056, collision = h0500B2
x = -411.03, y = -413.3715, z = 34.99227, angle = 54.46009, collision = h0500B2
x = -413.8292, y = -413.17, z = 32.98244, angle = 49.06107, collision = h0500B2
x = -414.767, y = -413.1422, z = 32.19809, angle = 49.06837, collision = h0500B2
x = -415.7191, y = -413.1207, z = 31.37246, angle = 48.9707, collision = h0500B2
x = -416.6837, y = -413.094, z = 30.52883, angle = 51.94257, collision = h0500B2
x = -417.6387, y = -413.0468, z = 29.77118, angle = 77.16633, collision = h0500B2
x = -418.8963, y = -412.9281, z = 29.37119, angle = 92.93724, collision = h0500B2
x = -420.094, y = -412.6708, z = 29.42064, angle = 96.48994, collision = h0500B2
x = -421.4356, y = -412.3758, z = 29.56533, angle = 94.37042, collision = h0500B2
x = -422.8232, y = -412.0857, z = 29.69524, angle = 89.69085, collision = h0500B2
x = -424.164, y = -411.807, z = 29.6969, angle = 87.8005, collision = h0500B2
x = -425.3635, y = -411.5308, z = 29.65101, angle = 88.62115, collision = h0500B2
x = -426.6567, y = -411.2302, z = 29.61892, angle = 98.68554, collision = h0500B2
x = -427.8888, y = -410.9137, z = 29.76827, angle = 92.11967, collision = h0500B2
x = -429.1007, y = -410.6145, z = 29.82067, angle = 60.75136, collision = h0500B2
x = -430.2621, y = -410.4392, z = 29.23666, angle = 44.81355, collision = h0500B2
x = -431.1493, y = -410.3792, z = 28.41474, angle = 17.40411, collision = h0500B2
x = -431.6239, y = -410.4896, z = 27.15448, angle = 5.644359, collision = h0500B2
x = -431.7253, y = -410.7301, z = 25.77396, angle = -21.0275, collision = h0500B2
x = -431.2619, y = -411.1011, z = 24.51629, angle = -42.31234, collision = h0500B2
x = -430.525, y = -411.4419, z = 23.58373, angle = -13.1635, collision = h0500B2
x = -430.215, y = -411.7688, z = 22.30638, angle = 36.81949, collision = h0500B2
x = -430.8349, y = -411.8715, z = 21.30997, angle = 87.12355, collision = h0500B2
x = -432.0526, y = -411.6806, z = 21.16335, angle = 117.4821, collision = h0500B2
x = -433.2041, y = -411.4128, z = 21.68833, angle = 118.5465, collision = h0500B2
x = -434.2779, y = -411.1861, z = 22.27334, angle = 120.0595, collision = h0500B2
x = -435.4333, y = -410.7799, z = 22.93763, angle = 123.507, collision = h0500B2
x = -436.5988, y = -410.3502, z = 23.72104, angle = 130.3951, collision = h0500B2
x = -437.7029, y = -410.0305, z = 24.46324, angle = 76.0125, collision = h0500B2
x = -438.873, y = -409.8751, z = 24.22994, angle = 62.24905, collision = h0500B2
x = -440.0814, y = -409.7925, z = 23.65761, angle = 43.54752, collision = h0500B2
x = -440.9255, y = -409.8344, z = 22.81715, angle = 28.27853, collision = h0500B2
x = -441.5556, y = -409.9905, z = 21.68057, angle = 3.713656, collision = h0500B2
x = -441.7061, y = -410.2797, z = 20.45981, angle = 2.625661, collision = h0500B2
x = -441.7697, y = -410.6153, z = 19.21462, angle = 26.19763, collision = h0500B2
x = -442.2776, y = -410.8047, z = 18.06693, angle = 67.80764, collision = h0500B2
x = -443.597, y = -410.6608, z = 17.57555, angle = 100.8925, collision = h0500B2
x = -444.8936, y = -410.3404, z = 17.76091, angle = 96.05904, collision = h0500B2
x = -446.0983, y = -410.0446, z = 17.91405, angle = 87.60272, collision = h0500B2
x = -447.4346, y = -409.8045, z = 17.81027, angle = 41.30209, collision = h0500B2
x = -448.2694, y = -409.9221, z = 16.97469, angle = 40.1087, collision = h0500B2
x = -449.1512, y = -410.0732, z = 15.97032, angle = 47.19737, collision = h0500B2
x = -450.0366, y = -410.1627, z = 15.15468, angle = 45.79597, collision = h0502B2
x = -450.9614, y = -410.1616, z = 14.26305, angle = 44.62122, collision = h0502B2
x = -451.8436, y = -410.3225, z = 13.36976, angle = 37.81007, collision = h0502B2
x = -452.7122, y = -410.571, z = 12.19106, angle = 27.04147, collision = h0502B2
x = -453.2982, y = -410.8403, z = 11.05894, angle = 23.74253, collision = h0502B2
x = -453.8039, y = -410.9931, z = 9.947762, angle = 27.29767, collision = h0502B2
x = -454.408, y = -411.1337, z = 8.752869, angle = 31.149, collision = h0502B2
x = -455.0297, y = -411.2481, z = 7.725427, angle = 29.10743, collision = h0502B2
x = -455.6922, y = -411.3823, z = 6.548951, angle = 27.41635, collision = h0502B2
x = -456.247, y = -411.505, z = 5.495106, angle = 25.92295, collision = h0502B2
x = -456.828, y = -411.6454, z = 4.311713, angle = 24.4332, collision = h0502B2
x = -457.3362, y = -411.7859, z = 3.200421, angle = 23.00035, collision = h0502B2
x = -457.9236, y = -411.9887, z = 1.814637, angle = 21.2903, collision = h0502B2
x = -458.3751, y = -412.1414, z = 0.6610224, angle = 19.84859, collision = h0502B2
x = -458.7976, y = -412.2966, z = -0.5070572, angle = 18.371, collision = h0502B2
x = -459.2091, y = -412.4633, z = -1.738274, angle = 16.45683, collision = h0502B2
x = -459.5565, y = -412.6222, z = -2.899085, angle = 14.0928, collision = h0502B2
x = -459.9216, y = -412.8173, z = -4.308845, angle = 13.36761, collision = h0502B2
x = -460.251, y = -413.0043, z = -5.654967, angle = 18.69837, collision = h0502B2
x = -460.6599, y = -413.1643, z = -6.978718, angle = 19.15449, collision = h0502B2
x = -461.0249, y = -413.2591, z = -7.991446, angle = 21.77951, collision = h0502B2
x = -461.5774, y = -413.3761, z = -9.26351, angle = 26.92492, collision = h0502B2
x = -462.2059, y = -413.4876, z = -10.49856, angle = 28.23502, collision = h0502B2
x = -462.9301, y = -413.6093, z = -11.83575, angle = 29.83335, collision = h0502B2
x = -464.2066, y = -413.8702, z = -14.01813, angle = 32.35185, collision = h0502B2
x = -464.8541, y = -414.0396, z = -15.04771, angle = 27.2381, collision = h0502B2
x = -465.4948, y = -414.1869, z = -16.24029, angle = 27.41078, collision = h0502B2
x = -466.1396, y = -414.3211, z = -17.4776, angle = 30.45581, collision = h0502B2
x = -466.8306, y = -414.5154, z = -18.63801, angle = 35.99022, collision = h0502B2
x = -469.0179, y = -414.7953, z = -22.36893, angle = 26.3751, collision = h0502B2
x = -471.8183, y = -414.7951, z = -21.82301, angle = -41.53368, collision = h0502B2
x = -471.0039, y = -414.795, z = -22.45579, angle = -84.25294, collision = h0502B2
x = -468.7145, y = -414.795, z = -23.3865, angle = -60.74272, collision = h0502B2
x = -469.0091, y = -414.7946, z = -24.35797, angle = 127.5141, collision = h0502B2
x = -470.2253, y = -414.7944, z = -24.43987, angle = 15.60742, collision = h0502B2
x = -470.6616, y = -414.794, z = -25.56743, angle = 50.77347, collision = h0502B2
x = -471.5255, y = -414.7935, z = -26.51094, angle = 84.25065, collision = h0502B2
x = -472.9061, y = -414.7932, z = -26.67179, angle = 116.8679, collision = h0502B2
x = -474.1251, y = -414.7932, z = -26.18327, angle = 154.4522, collision = h0502B2
x = -474.6924, y = -414.7935, z = -25.14042, angle = 120.3353, collision = h0502B2
x = -475.7216, y = -414.7936, z = -24.3504, angle = 106.7951, collision = h0502B2
x = -476.8751, y = -414.7935, z = -24.03342, angle = 93.66476, collision = h0502B2
x = -478.1678, y = -414.7935, z = -23.9427, angle = 59.92283, collision = h0502B2
x = -477.633, y = -414.7931, z = -30.47458, angle = 78.41259, collision = h0502B2
x = -478.8405, y = -414.7935, z = -30.79261, angle = 91.53121, collision = h0502B2
x = -480.0615, y = -414.794, z = -30.76221, angle = 77.27263, collision = h0502B2
x = -481.3638, y = -414.7944, z = -30.9848, angle = 64.94878, collision = h0502B2
x = -482.4622, y = -414.7949, z = -31.49062, angle = 40.17658, collision = h0502B2
x = -483.3467, y = -414.7969, z = -32.48575, angle = 17.27726, collision = h0502B2
x = -483.7601, y = -414.799, z = -33.81588, angle = 8.785905, collision = h0502B2
x = -483.9764, y = -414.801, z = -35.14407, angle = -2.814748, collision = h0502B2
x = -483.938, y = -414.7945, z = -36.3326, angle = -11.66197, collision = h0502B2
x = -483.6792, y = -414.774, z = -37.61707, angle = -11.43983, collision = h0502B2
x = -483.4352, y = -414.7581, z = -38.82063, angle = -7.719398, collision = h0502B2
x = -483.3219, y = -414.6781, z = -40.05457, angle = 45.64162, collision = h0502B2
x = -484.159, y = -414.777, z = -41.02225, angle = 40.32533, collision = h0502B2
x = -482.7038, y = -414.2051, z = -45.31503, angle = -64.9795, collision = h0502B2
x = -481.5958, y = -413.933, z = -45.85885, angle = -75.49454, collision = h0502B2
x = -480.3321, y = -413.841, z = -46.19376, angle = -74.13867, collision = h0502B2
x = -479.1592, y = -413.8995, z = -46.51421, angle = -67.99686, collision = h0502B2
x = -477.9163, y = -414.1144, z = -47.04675, angle = -20.54392, collision = h0502B2
x = -477.3645, y = -414.3362, z = -48.06041, angle = -7.255491, collision = h0502B2
x = -477.1852, y = -414.5522, z = -49.38336, angle = 6.886648, collision = h0502B2
x = -477.3236, y = -414.6262, z = -50.57442, angle = 26.702, collision = h0502B2
x = -478.0161, y = -414.6573, z = -51.92438, angle = 48.96772, collision = h0502B2
x = -478.9039, y = -414.6391, z = -52.74615, angle = 70.41082, collision = h0502B2
x = -480.0788, y = -414.5715, z = -53.19977, angle = 61.8363, collision = h0502B2
x = -481.2259, y = -414.4323, z = -53.69649, angle = 44.68132, collision = h0502B2
x = -482.0962, y = -414.2255, z = -54.55202, angle = 44.18668, collision = h0502B2
x = -483.0255, y = -413.95, z = -55.5127, angle = 56.5761, collision = h0502B2
x = -484.0011, y = -413.7693, z = -56.16134, angle = 122.1036, collision = h0502B2
x = -485.1701, y = -413.7086, z = -55.57533, angle = 151.5956, collision = h0502B2
x = -485.7578, y = -413.671, z = -54.54525, angle = 133.829, collision = h0502B2
x = -486.8352, y = -413.6678, z = -53.51091, angle = 113.4926, collision = h0502B2
x = -487.9331, y = -413.6629, z = -53.03422, angle = 113.9073, collision = h0502B2
x = -489.123, y = -413.6554, z = -52.50738, angle = 112.1426, collision = h0502B2
x = -490.2592, y = -413.6483, z = -52.01685, angle = 119.6534, collision = h0502B2
x = -491.3623, y = -413.6411, z = -51.45068, angle = 119.1119, collision = h0502B2
x = -492.4984, y = -413.6336, z = -50.8249, angle = 119.1849, collision = h0502B2
x = -493.5608, y = -413.4807, z = -50.23137, angle = 131.007, collision = h0502B2
x = -494.6096, y = -413.2316, z = -49.39128, angle = 162.5736, collision = h0502B2
x = -495.0485, y = -413.0593, z = -48.28789, angle = 164.3735, collision = h0502B2
x = -495.464, y = -412.8347, z = -46.7855, angle = 160.9125, collision = h0502B2
x = -495.8121, y = -412.6819, z = -45.64841, angle = 158.7088, collision = h0502B2
x = -496.2935, y = -412.6529, z = -44.40271, angle = 149.5826, collision = h0502B2
x = -496.9323, y = -413.0192, z = -43.38317, angle = 117.5974, collision = h0502B2
x = -499.3969, y = -415.0211, z = -41.70413, angle = 135.313, collision = h0502B2
x = -500.3492, y = -415.1973, z = -40.91926, angle = 158.6263, collision = h0502B2
x = -500.8579, y = -415.2714, z = -39.70698, angle = 178.7966, collision = h0502B2
x = -500.9167, y = -415.1107, z = -38.49672, angle = 150.8923, collision = h0502B2
x = -501.4565, y = -414.9129, z = -37.32968, angle = 90.12362, collision = h0502B2
x = -502.8016, y = -415.0232, z = -37.30167, angle = 41.90464, collision = h0502B2
x = -503.7265, y = -415.119, z = -38.24328, angle = 1.785029, collision = h0502B2
x = -503.8333, y = -415.1404, z = -39.4108, angle = -28.41463, collision = h0502B2
x = -503.2438, y = -415.2783, z = -40.56715, angle = -100.4066, collision = h0502B2
x = -502.1811, y = -415.3813, z = -40.59092, angle = -155.069, collision = h0502B2
x = -501.2841, y = -415.245, z = -41.51254, angle = -114.3775, collision = h0502B2
x = -500.3663, y = -414.8896, z = -44.37429, angle = 148.3329, collision = h0502B2
x = -501.2007, y = -415.1065, z = -43.19431, angle = -142.0815, collision = h0502B2
x = -501.7487, y = -415.1334, z = -44.33998, angle = 145.069, collision = h0502B2
x = -502.474, y = -415.1553, z = -43.4029, angle = -153.8848, collision = h0502B2
x = -502.0296, y = -415.1808, z = -42.18233, angle = -129.4299, collision = h0502B2
x = -498.9618, y = -414.8981, z = -40.58676, angle = 56.94347, collision = h0502B2
x = -499.7628, y = -415.0407, z = -42.84809, angle = 57.61906, collision = h0502B2
x = -502.2047, y = -415.0614, z = -45.4435, angle = 52.61299, collision = h0502B2
x = -503.0935, y = -415.0051, z = -46.28775, angle = 97.04499, collision = h0502B2
x = -504.2763, y = -414.7734, z = -46.13773, angle = 123.973, collision = h0502B2
x = -505.5858, y = -414.5802, z = -45.31998, angle = 125.7801, collision = h0502B2
x = -506.5438, y = -414.5208, z = -44.61717, angle = 107.1088, collision = h0502B2
x = -507.7833, y = -414.3921, z = -44.1366, angle = 108.2215, collision = h0502B2
x = -508.9291, y = -414.2113, z = -43.764, angle = 106.031, collision = h0502B2
x = -510.1592, y = -414.0533, z = -43.40333, angle = 99.92746, collision = h0502B2
x = -511.3938, y = -413.8529, z = -43.17393, angle = 92.25126, collision = h0502B2
x = -512.6196, y = -413.6551, z = -43.11005, angle = 83.55209, collision = h0502B2
x = -513.9086, y = -413.3846, z = -43.30356, angle = -15.85154, collision = h0502B2
x = -513.2313, y = -413.3656, z = -44.47052, angle = -50.02025, collision = h0502B2
x = -512.5297, y = -413.3719, z = -45.45761, angle = -13.15343, collision = h0502B2
x = -512.4417, y = -413.1858, z = -46.81625, angle = 56.97364, collision = h0502B2
x = -513.507, y = -413.4061, z = -47.6729, angle = -9.549574, collision = h0502B2
x = -513.1216, y = -413.3761, z = -48.82134, angle = -74.84807, collision = h0502B2
x = -511.7948, y = -412.9696, z = -49.17362, angle = -45.12847, collision = h0502B2
x = -510.7494, y = -413.0769, z = -50.52717, angle = -3.432512, collision = h0502B2
x = -510.6728, y = -412.9393, z = -51.70939, angle = 34.60215, collision = h0502B2
x = -511.337, y = -412.9085, z = -52.84275, angle = 52.58493, collision = h0502B2
x = -512.2773, y = -413.3484, z = -53.59233, angle = 25.9304, collision = h0502B2
x = -512.8482, y = -413.6346, z = -54.65217, angle = -38.32552, collision = h0502B2
x = -512.2053, y = -413.3827, z = -55.69646, angle = -54.54536, collision = h0502B2
x = -511.1976, y = -412.9584, z = -56.39783, angle = -84.91599, collision = h0502B2
x = -509.9101, y = -412.6296, z = -56.61344, angle = -62.44854, collision = h0502B2
x = -508.8213, y = -412.9038, z = -57.09247, angle = -44.27581, collision = h0502B2
x = -507.8629, y = -413.1052, z = -58.04876, angle = -41.75755, collision = h0502B2
x = -506.9392, y = -413.1302, z = -59.08983, angle = -35.56746, collision = h0502B2
x = -506.1445, y = -413.1392, z = -60.18103, angle = -34.42463, collision = h0502B2
x = -505.4743, y = -413.1494, z = -61.16533, angle = -31.06238, collision = h0502B2
x = -504.7961, y = -413.1759, z = -62.29609, angle = -30.8202, collision = h0502B2
x = -504.1748, y = -413.1999, z = -63.341, angle = -34.31081, collision = h0502B2
x = -503.5083, y = -413.2573, z = -64.38977, angle = 50.12953, collision = h0502B2
x = -504.1745, y = -413.1961, z = -65.37173, angle = 67.75155, collision = h0502B2
x = -505.2896, y = -413.0148, z = -65.84313, angle = 94.57805, collision = h0502B2
x = -506.6273, y = -412.8804, z = -65.79784, angle = 95.99293, collision = h0502B2
x = -508.0155, y = -412.6252, z = -65.63761, angle = 99.15994, collision = h0502B2
x = -509.3561, y = -412.0993, z = -65.42944, angle = 91.85956, collision = h0502B2
x = -510.5454, y = -412.2377, z = -65.36849, angle = 48.26668, collision = h0502B2
x = -511.5337, y = -412.581, z = -66.14449, angle = -19.51038, collision = h0502B2
x = -511.2087, y = -412.3134, z = -67.25335, angle = -76.65311, collision = h0502B2
x = -509.9837, y = -411.7764, z = -67.60324, angle = -93.2132, collision = h0502B2
x = -508.7453, y = -412.2946, z = -67.55412, angle = -92.40057, collision = h0502B2
x = -507.5055, y = -412.7459, z = -67.49944, angle = -91.55516, collision = h0502B2
x = -506.2036, y = -412.8995, z = -67.46431, angle = -55.60637, collision = h0502B2
x = -505.0373, y = -413.2316, z = -68.18137, angle = -29.54928, collision = h0502B2
x = -504.3465, y = -413.3717, z = -69.30857, angle = -17.70514, collision = h0502B2
x = -503.9306, y = -413.5673, z = -70.44422, angle = -10.04153, collision = h0502B2
x = -503.6447, y = -413.7949, z = -71.76211, angle = -4.077131, collision = h0502B2
x = -503.5708, y = -413.972, z = -72.94832, angle = 6.45849, collision = h0502B2
x = -503.7097, y = -414.2524, z = -74.27034, angle = 53.02228, collision = h0502B2
x = -504.4886, y = -414.2705, z = -75.13689, angle = 30.9523, collision = h0502B2
x = -505.1584, y = -414.3759, z = -76.20356, angle = 2.072798, collision = h0502B2
x = -505.2419, y = -414.5662, z = -77.45519, angle = -23.01916, collision = h0502B2
x = -504.7193, y = -414.7686, z = -78.81236, angle = -9.936176, collision = h0502B2
x = -504.4724, y = -414.8238, z = -80.03774, angle = 35.44809, collision = h0502B2
x = -505.1581, y = -414.8398, z = -81.03542, angle = 60.45896, collision = h0502B2
x = -506.2958, y = -414.8294, z = -81.7302, angle = 86.80576, collision = h0502B2
x = -507.4823, y = -414.7962, z = -81.87531, angle = 32.85397, collision = h0502B2
x = -508.3142, y = -414.8134, z = -82.87476, angle = 17.47989, collision = h0504B2
x = -508.6724, y = -414.8513, z = -84.01167, angle = 17.75874, collision = h0504B2
x = -509.1018, y = -414.8836, z = -85.24949, angle = 41.01725, collision = h0504B2
x = -509.8575, y = -414.8931, z = -86.20602, angle = 60.02885, collision = h0504B2
x = -510.9995, y = -414.8913, z = -86.87836, angle = 57.24343, collision = h0504B2
x = -512.16, y = -414.8728, z = -87.63637, angle = 54.52891, collision = h0504B2
x = -513.2911, y = -414.8496, z = -88.43725, angle = 55.1743, collision = h0504B2
x = -514.3591, y = -414.8599, z = -89.30476, angle = 21.01078, collision = h0504B2
x = -514.919, y = -414.9393, z = -90.56995, angle = 50.61357, collision = h0504B2
x = -515.9791, y = -414.9464, z = -91.43204, angle = 59.55375, collision = h0504B2
x = -517.3246, y = -414.886, z = -92.17839, angle = 55.57867, collision = h0504B2
x = -518.4116, y = -414.8892, z = -93.01123, angle = 41.52315, collision = h0504B2
x = -519.3829, y = -414.894, z = -93.99499, angle = 48.70515, collision = h0504B2
x = -520.36, y = -414.9107, z = -94.97149, angle = 58.86134, collision = h0504B2
x = -521.3983, y = -414.9423, z = -95.53249, angle = 83.36332, collision = h0504B2
x = -521.2693, y = -414.4836, z = -94.41419, angle = -116.2048, collision = h0504B2
x = -518.4252, y = -414.6341, z = -91.77693, angle = -134.2847, collision = h0504B2
x = -517.425, y = -414.7081, z = -90.88216, angle = -110.4047, collision = h0504B2
x = -516.1268, y = -414.8301, z = -90.39711, angle = -106.8175, collision = h0504B2
x = -513.435, y = -414.9493, z = -89.75542, angle = -109.4538, collision = h0504B2
x = -512.5168, y = -414.9548, z = -89.31802, angle = -171.9238, collision = h0504B2
x = -512.8122, y = -414.7867, z = -86.66244, angle = -136.6674, collision = h0504B2
x = -511.7879, y = -414.8094, z = -86.05156, angle = -74.35959, collision = h0504B2
x = -507.7027, y = -414.9473, z = -85.31159, angle = -120.906, collision = h0502B2
x = -506.5381, y = -414.9492, z = -84.56541, angle = -131.9494, collision = h0502B2
x = -505.5001, y = -414.9312, z = -83.64784, angle = -118.549, collision = h0502B2
x = -504.291, y = -414.9427, z = -82.97137, angle = -118.4032, collision = h0502B2
x = -503.019, y = -414.9638, z = -82.43864, angle = -123.7302, collision = h0502B2
x = -502.1629, y = -414.9568, z = -81.52699, angle = 174.2608, collision = h0502B2
x = -502.3843, y = -414.8911, z = -80.01154, angle = 160.4158, collision = h0502B2
x = -502.7814, y = -414.8271, z = -78.68729, angle = 160.5438, collision = h0502B2
x = -503.2354, y = -414.7618, z = -77.3792, angle = -177.6258, collision = h0502B2
x = -503.1516, y = -414.6662, z = -75.97567, angle = -162.5033, collision = h0502B2
x = -502.8201, y = -414.5499, z = -74.90971, angle = 175.0976, collision = h0502B2
x = -502.8339, y = -414.3242, z = -73.68807, angle = 156.2505, collision = h0502B2
x = -503.0979, y = -413.5249, z = -69.33878, angle = -169.8876, collision = h0502B2
x = -502.8358, y = -413.4532, z = -68.09685, angle = 167.2831, collision = h0502B2
x = -503.0818, y = -413.3877, z = -66.87753, angle = 160.7797, collision = h0502B2
x = -504.821, y = -413.0961, z = -64.57734, angle = 47.24753, collision = h0502B2
x = -506.6587, y = -412.8977, z = -68.65699, angle = 51.0589, collision = h0502B2
x = -507.4308, y = -412.7816, z = -69.41666, angle = 54.60208, collision = h0502B2
x = -508.6576, y = -412.4639, z = -69.98713, angle = 86.6658, collision = h0502B2
x = -510.0337, y = -411.7694, z = -69.97088, angle = 128.7925, collision = h0502B2
x = -511.1105, y = -411.999, z = -69.11102, angle = 67.84782, collision = h0502B2
x = -512.1956, y = -412.3455, z = -69.67884, angle = 7.556034, collision = h0502B2
x = -512.3879, y = -412.2079, z = -71.04282, angle = -9.777375, collision = h0502B2
x = -512.2266, y = -411.9559, z = -72.10726, angle = -1.261085, collision = h0502B2
x = -512.5204, y = -411.8604, z = -73.36916, angle = 89, collision = h0502B2
x = -513.5226, y = -412.205, z = -73.50364, angle = 108.2755, collision = h0502B2
x = -514.7517, y = -412.6535, z = -73.12859, angle = 111.8189, collision = h0502B2
x = -515.9019, y = -413.0614, z = -72.66662, angle = 120.747, collision = h0502B2
x = -516.9742, y = -413.4681, z = -72.04441, angle = 109.5683, collision = h0502B2
x = -518.1728, y = -413.886, z = -71.56847, angle = 80.43564, collision = h0502B2
x = -519.3738, y = -414.1812, z = -71.73028, angle = 73.11342, collision = h0502B2
x = -520.8459, y = -414.437, z = -72.16715, angle = 96.68392, collision = h0502B2
x = -522.0349, y = -414.514, z = -72.06911, angle = 111.3874, collision = h0502B2
x = -523.2961, y = -414.6337, z = -71.57668, angle = 108.9795, collision = h0504B2
x = -524.4173, y = -414.7402, z = -71.18939, angle = 87.92548, collision = h0504B2
x = -525.624, y = -414.8193, z = -71.38608, angle = 5.227799, collision = h0504B2
x = -525.8448, y = -414.7888, z = -72.55446, angle = -19.18979, collision = h0504B2
x = -525.4587, y = -414.6918, z = -73.74928, angle = -69.40981, collision = h0504B2
x = -524.3738, y = -414.5544, z = -74.34266, angle = -70.13234, collision = h0504B2
x = -523.2277, y = -414.4528, z = -74.76127, angle = -60.04175, collision = h0504B2
x = -521.895, y = -414.181, z = -75.50326, angle = -60.7784, collision = h0504B2
x = -520.8393, y = -413.8144, z = -76.11082, angle = -57.99228, collision = h0504B2
x = -519.6959, y = -413.3725, z = -76.82148, angle = -54.76581, collision = h0504B2
x = -518.7173, y = -412.968, z = -77.51293, angle = -40.32373, collision = h0504B2
x = -517.8045, y = -412.5194, z = -78.49653, angle = -26.57368, collision = h0504B2
x = -517.271, y = -412.1562, z = -79.55763, angle = 12.99949, collision = h0504B2
x = -517.537, y = -411.9831, z = -80.75227, angle = 94.13707, collision = h0504B2
x = -518.6465, y = -412.2434, z = -80.85448, angle = 128.0568, collision = h0504B2
x = -519.6424, y = -412.6809, z = -80.09844, angle = 125.0644, collision = h0504B2
x = -520.6884, y = -413.1272, z = -79.3471, angle = 122.9883, collision = h0504B2
x = -521.8898, y = -413.6078, z = -78.55405, angle = 133.0163, collision = h0504B2
x = -522.8762, y = -414.0209, z = -77.70059, angle = 117.9819, collision = h0504B2
x = -523.8932, y = -414.3377, z = -77.0411, angle = 122.0822, collision = h0504B2
x = -525.063, y = -414.4927, z = -76.36073, angle = 113.5866, collision = h0504B2
x = -526.1585, y = -414.6216, z = -75.88672, angle = 106.1908, collision = h0504B2
x = -527.4349, y = -414.7602, z = -75.49153, angle = 74.53622, collision = h0504B2
x = -528.5962, y = -414.8286, z = -75.69338, angle = 37.11269, collision = h0504B2
x = -529.3962, y = -414.7765, z = -76.63062, angle = -41.34152, collision = h0504B2
x = -528.8389, y = -414.6948, z = -77.63498, angle = -67.03295, collision = h0504B2
x = -527.5274, y = -414.5807, z = -78.29873, angle = -50.20407, collision = h0504B2
x = -526.5377, y = -414.4465, z = -79.08907, angle = -44.62335, collision = h0504B2
x = -525.6784, y = -414.2502, z = -79.95693, angle = -45.866, collision = h0504B2
x = -524.7266, y = -413.8791, z = -80.89307, angle = -48.43853, collision = h0504B2
x = -523.8271, y = -413.478, z = -81.69704, angle = -49.23266, collision = h0504B2
x = -522.8098, y = -412.9926, z = -82.58572, angle = -37.012, collision = h0504B2
x = -522.0872, y = -412.5753, z = -83.52688, angle = -17.07236, collision = h0504B2
x = -521.7308, y = -412.1516, z = -84.78494, angle = 43.62472, collision = h0504B2
x = -522.4098, y = -412.0932, z = -85.71684, angle = 100.8265, collision = h0504B2
x = -523.824, y = -412.58, z = -85.45758, angle = 132.8008, collision = h0504B2
x = -524.7581, y = -413.0491, z = -84.65491, angle = 133.5524, collision = h0504B2
x = -525.6617, y = -413.5083, z = -83.79629, angle = 133.4659, collision = h0504B2
x = -526.611, y = -413.9445, z = -82.91801, angle = 132.5715, collision = h0504B2
x = -527.5257, y = -414.2712, z = -82.11707, angle = 132.8173, collision = h0504B2
x = -528.5275, y = -414.4621, z = -81.20964, angle = 125.9408, collision = h0504B2
x = -529.4853, y = -414.5921, z = -80.49495, angle = 91.58685, collision = h0504B2
x = -530.7761, y = -414.6663, z = -80.27914, angle = 73.20954, collision = h0504B2
x = -531.9358, y = -414.7131, z = -80.55528, angle = 60.28687, collision = h0504B2
x = -533.2637, y = -414.7154, z = -81.32626, angle = 43.34336, collision = h0504B2
x = -534.1222, y = -414.7113, z = -82.16859, angle = 43.39308, collision = h0504B2
x = -535.0318, y = -414.6644, z = -83.06772, angle = 85.27828, collision = h0504B2
x = -536.2443, y = -414.6967, z = -83.3091, angle = 91.19981, collision = h0504B2
x = -537.4684, y = -414.726, z = -83.33244, angle = 46.81866, collision = h0504B2
x = -538.4864, y = -414.7155, z = -84.12086, angle = 25.01397, collision = h0504B2
x = -538.9935, y = -414.6554, z = -85.21961, angle = -40.54157, collision = h0504B2
x = -538.4236, y = -414.52, z = -86.20586, angle = -113.2375, collision = h0504B2
x = -537.3577, y = -414.4966, z = -85.83707, angle = -145.3724, collision = h0504B2
x = -536.616, y = -414.5944, z = -84.51466, angle = 126.0406, collision = h0504B2
x = -540.0356, y = -414.6866, z = -85.50971, angle = 56.24936, collision = h0504B2
x = -541.1542, y = -414.6731, z = -86.26673, angle = 57.47335, collision = h0504B2
x = -542.158, y = -414.6608, z = -86.90843, angle = 57.25019, collision = h0504B2
x = -543.287, y = -414.6365, z = -87.58011, angle = 101.5357, collision = h0504B2
x = -544.4762, y = -414.7176, z = -87.50623, angle = 111.2248, collision = h0504B2
x = -545.6675, y = -414.829, z = -87.11697, angle = 70.08944, collision = h0504B2
x = -547.0894, y = -414.8097, z = -87.53412, angle = 72.48092, collision = h0504B2
