x = 1046.643, y = -330, z = 855.022, angle = -173.3502, collision = h0100B1
x = 936.4842, y = -366.6306, z = 941.9309, angle = 119.1644, collision = h0103B1
x = 935.1182, y = -366.5725, z = 942.506, angle = 103.6929, collision = h0103B1
x = 933.8329, y = -366.5389, z = 942.8181, angle = 103.0635, collision = h0103B1
x = 932.4874, y = -366.4806, z = 943.3726, angle = 149.1371, collision = h0103B1
x = 931.8345, y = -366.3603, z = 944.5168, angle = 168.9059, collision = h0103B1
x = 931.6677, y = -366.2218, z = 945.9738, angle = -152.0312, collision = h0103B1
x = 932.322, y = -366.0888, z = 947.1071, angle = -139.6519, collision = h0103B1
x = 933.2055, y = -366.0741, z = 948.1617, angle = -136.3099, collision = h0103B1
x = 934.2457, y = -365.9969, z = 949.0859, angle = -97.68977, collision = h0103B1
x = 935.4583, y = -365.8501, z = 949.7104, angle = 174.952, collision = h0103B1
x = 935.4615, y = -365.6815, z = 951.1196, angle = -158.3461, collision = h0103B1
x = 935.926, y = -365.5358, z = 952.3909, angle = -99.62147, collision = h0103B1
x = 937.0742, y = -365.5089, z = 952.6185, angle = -54.5935, collision = h0103B1
x = 938.501, y = -365.5741, z = 951.998, angle = -89.81389, collision = h0103B1
x = 939.6635, y = -365.6106, z = 951.6505, angle = -20.49257, collision = h0103B1
x = 940.1409, y = -365.7433, z = 950.3876, angle = 4.612645, collision = h0103B1
x = 940.0494, y = -365.8868, z = 949.0223, angle = 87.21924, collision = h0103B1
x = 938.7621, y = -365.8932, z = 948.9618, angle = -175.1701, collision = h0103B1
x = 938.8552, y = -365.7814, z = 950.0258, angle = -34.89044, collision = h0103B1
x = 939.0752, y = -366.1738, z = 947.632, angle = 41.55684, collision = h0103B1
x = 938.1862, y = -366.4191, z = 946.8282, angle = 83.25766, collision = h0103B1
x = 936.785, y = -366.4602, z = 946.4366, angle = 19.07813, collision = h0103B1
x = 936.6063, y = -366.5897, z = 945.2046, angle = -2.179609, collision = h0103B1
x = 936.7903, y = -366.7442, z = 943.7352, angle = 28.12198, collision = h0103B1
x = 934.6513, y = -366.729, z = 943.8792, angle = -159.5039, collision = h0103B1
x = 935.0666, y = -366.5992, z = 945.114, angle = -138.7495, collision = h0103B1
x = 937.4991, y = -366.647, z = 944.6592, angle = -92.3066, collision = h0103B1
x = 938.8315, y = -366.5811, z = 945.0522, angle = -162.5854, collision = h0103B1
x = 939.152, y = -366.4158, z = 946.3067, angle = 153.316, collision = h0103B1
x = 937.8718, y = -366.2754, z = 948.195, angle = 150.0779, collision = h0103B1
x = 937.3439, y = -366.088, z = 949.0777, angle = 130.6508, collision = h0103B1
x = 934.5367, y = -366.2964, z = 947.9953, angle = -8.487712, collision = h0103B1
x = 934.4735, y = -366.4072, z = 946.9413, angle = -99.06359, collision = h0103B1
x = 935.5519, y = -366.3542, z = 947.4451, angle = -77.95582, collision = h0103B1
x = 935.2269, y = -366.4832, z = 946.2187, angle = -70.98206, collision = h0103B1
x = 938.7194, y = -366.5243, z = 944.0201, angle = -10.53439, collision = h0103B1
x = 930.566, y = -366.3453, z = 944.6602, angle = 133.1424, collision = h0103B1
x = 929.8149, y = -366.2458, z = 945.6313, angle = -166.2944, collision = h0103B1
x = 930.2857, y = -366.5269, z = 946.8633, angle = -141.4963, collision = h0103B1
x = 930.3427, y = -367.0946, z = 947.8965, angle = -161.8605, collision = h0103B1
x = 930.6815, y = -367.7354, z = 949.0538, angle = -150.6412, collision = h0103B1
x = 931.42, y = -368.5246, z = 950.343, angle = -144.2409, collision = h0103B1
x = 932.0253, y = -369.052, z = 951.1133, angle = -116.5017, collision = h0103B1
x = 932.8322, y = -369.6022, z = 951.6138, angle = 172.0207, collision = h0103B1
x = 932.9993, y = -369.9006, z = 952.6938, angle = -172.8121, collision = h0103B1
x = 932.6364, y = -369.8202, z = 953.6926, angle = 83.71884, collision = h0103B1
x = 931.6328, y = -369.7995, z = 953.8892, angle = 76.24874, collision = h0103B1
x = 930.6197, y = -369.7718, z = 954.1533, angle = 109.8444, collision = h0103B1
x = 930.1715, y = -369.7018, z = 955.1772, angle = -135.7269, collision = h0103B1
x = 931.2256, y = -369.6611, z = 955.5644, angle = -50.68549, collision = h0103B1
x = 932.4205, y = -369.7147, z = 954.6962, angle = -102.7781, collision = h0103B1
x = 933.0383, y = -369.643, z = 955.7328, angle = -144.1772, collision = h0103B1
x = 933.5271, y = -369.555, z = 956.6086, angle = -110.6802, collision = h0103B1
x = 934.697, y = -369.522, z = 956.9321, angle = -55.78876, collision = h0103B1
x = 935.6232, y = -369.575, z = 956.039, angle = 17.51097, collision = h0103B1
x = 935.0359, y = -369.6739, z = 955.0847, angle = 144.6426, collision = h0103B1
x = 936.5013, y = -369.5239, z = 956.8547, angle = -63.18988, collision = h0103B1
x = 937.5054, y = -369.6014, z = 956.1235, angle = -27.67464, collision = h0103B1
x = 938.2156, y = -369.6501, z = 955.3106, angle = -51.31649, collision = h0103B1
x = 939.11, y = -369.8907, z = 954.6042, angle = -57.61049, collision = h0103B1
x = 939.9951, y = -370.5089, z = 953.8721, angle = -49.47295, collision = h0103B1
x = 940.7525, y = -371.048, z = 953.3132, angle = -63.84033, collision = h0103B1
x = 941.6428, y = -371.5567, z = 952.9416, angle = -75.34026, collision = h0103B1
x = 942.9052, y = -371.9886, z = 952.9227, angle = -99.25047, collision = h0103B1
x = 944.1107, y = -372.3735, z = 953.1614, angle = -100.4238, collision = h0103B1
x = 944.8531, y = -372.2018, z = 954.2532, angle = 172.4241, collision = h0103B1
x = 945.1001, y = -371.7274, z = 955.2905, angle = -99.5087, collision = h0103B1
x = 945.7112, y = -371.1624, z = 955.5729, angle = -151.2187, collision = h0103B1
x = 946.2147, y = -370.9326, z = 956.5278, angle = -158.5516, collision = h0103B1
x = 946.6487, y = -370.7487, z = 957.647, angle = -156.4316, collision = h0103B1
x = 947.5263, y = -370.6573, z = 958.2067, angle = -80.48679, collision = h0103B1
x = 948.5913, y = -370.5115, z = 957.9405, angle = -85.52645, collision = h0103B1
x = 949.7698, y = -370.4689, z = 957.9351, angle = -93.06412, collision = h0103B1
x = 950.8467, y = -370.3893, z = 957.814, angle = -34.73809, collision = h0103B1
x = 951.2634, y = -370.5595, z = 956.7662, angle = 10.57017, collision = h0103B1
x = 950.9357, y = -370.4713, z = 955.6891, angle = 15.0854, collision = h0103B1
x = 950.772, y = -370.4478, z = 954.5268, angle = 4.559766, collision = h0103B1
x = 950.3523, y = -370.3188, z = 953.5461, angle = 57.34238, collision = h0103B1
x = 949.304, y = -370.5345, z = 953.1389, angle = 101.5625, collision = h0103B1
x = 948.4568, y = -370.3881, z = 953.7363, angle = -169.7587, collision = h0103B1
x = 948.7858, y = -369.9386, z = 954.7914, angle = -144.1816, collision = h0103B1
x = 949.126, y = -369.7817, z = 955.8595, angle = 164.9704, collision = h0103B1
x = 947.8084, y = -369.999, z = 955.2387, angle = 95.91508, collision = h0103B1
x = 946.8573, y = -370.5364, z = 955.5958, angle = 107.5746, collision = h0103B1
x = 943.7028, y = -372.5707, z = 952.1453, angle = 22.69623, collision = h0103B1
x = 943.2369, y = -372.9777, z = 951.0888, angle = 41.33562, collision = h0103B1
x = 943.5412, y = -373.6587, z = 949.9869, angle = -14.14684, collision = h0103B1
x = 944.0007, y = -374.3115, z = 949.0406, angle = -3.688425, collision = h0103B1
x = 944.1602, y = -374.9094, z = 948.0657, angle = -4.20364, collision = h0103B1
x = 944.2767, y = -375.7884, z = 946.6839, angle = -21.05754, collision = h0103B1
x = 944.923, y = -376.3921, z = 945.6093, angle = -85.32706, collision = h0103B1
x = 946.9969, y = -377.2091, z = 945.1948, angle = -8.947206, collision = h0103B1
x = 947.3544, y = -377.4772, z = 943.9815, angle = 5.280064, collision = h0103B1
x = 947.2018, y = -377.6133, z = 942.6867, angle = 23.45266, collision = h0103B1
x = 946.7975, y = -377.7104, z = 941.7632, angle = 30.64983, collision = h0103B1
x = 946.1284, y = -377.8351, z = 940.5765, angle = 34.70615, collision = h0103B1
x = 945.0683, y = -377.936, z = 939.6165, angle = 75.51006, collision = h0103B1
x = 943.7812, y = -377.9664, z = 939.3278, angle = 93.35543, collision = h0103B1
x = 942.5988, y = -377.9523, z = 939.4614, angle = 97.99011, collision = h0103B1
x = 941.5581, y = -377.937, z = 939.6074, angle = 96.79214, collision = h0103B1
x = 941.4243, y = -377.8278, z = 940.6462, angle = -149.3864, collision = h0103B1
x = 942.1975, y = -377.6978, z = 941.8832, angle = -148.4263, collision = h0103B1
x = 942.9994, y = -377.588, z = 942.9277, angle = -147.6705, collision = h0103B1
x = 943.718, y = -377.4571, z = 944.0574, angle = -80.07774, collision = h0103B1
x = 944.775, y = -377.4533, z = 943.7552, angle = 48.80618, collision = h0103B1
x = 943.4072, y = -377.8564, z = 940.3745, angle = -160.7435, collision = h0103B1
x = 943.8231, y = -377.7561, z = 941.3281, angle = -165.3508, collision = h0103B1
x = 944.173, y = -377.6161, z = 942.66, angle = -179.8951, collision = h0103B1
x = 945.1873, y = -376.9058, z = 944.641, angle = -20.99432, collision = h0103B1
x = 945.7817, y = -377.5403, z = 943.381, angle = 2.86551, collision = h0103B1
x = 945.7442, y = -377.6849, z = 942.006, angle = 9.396223, collision = h0103B1
x = 943.8983, y = -378.0878, z = 938.1723, angle = -6.755385, collision = h0103B1
x = 943.9445, y = -378.2542, z = 937.0679, angle = 6.820231, collision = h2103B1
x = 943.8225, y = -378.3674, z = 935.9902, angle = 6.904092, collision = h2103B1
x = 943.6973, y = -378.4749, z = 934.9676, angle = 7.47164, collision = h2103B1
x = 943.5417, y = -378.6349, z = 933.7816, angle = 7.51579, collision = h2103B1
x = 943.3918, y = -378.8607, z = 932.7169, angle = 9.032706, collision = h2103B1
x = 943.2182, y = -379.1312, z = 931.5416, angle = 5.480872, collision = h2103B1
x = 943.1172, y = -379.4452, z = 930.4378, angle = 2.904347, collision = h2103B1
x = 943.0679, y = -379.5768, z = 929.429, angle = 3.959146, collision = h2103B1
x = 942.9785, y = -379.7803, z = 928.4254, angle = 6.263324, collision = h2103B1
x = 942.8671, y = -379.9953, z = 927.4108, angle = 3.637609, collision = h2103B1
x = 942.754, y = -380.2791, z = 926.0194, angle = 3.981426, collision = h2103B1
x = 942.6795, y = -380.5663, z = 924.6626, angle = -3.64493, collision = h2103B1
x = 942.7401, y = -380.796, z = 923.6357, angle = -1.894326, collision = h2103B1
x = 942.7857, y = -380.947, z = 922.277, angle = 5.993819, collision = h2103B1
x = 942.6167, y = -380.9941, z = 920.8935, angle = 10.78767, collision = h2103B1
x = 942.3577, y = -381.0533, z = 919.5527, angle = 12.03377, collision = h2103B1
x = 942.1712, y = -381.143, z = 918.5601, angle = 7.090174, collision = h2103B1
x = 942.0004, y = -381.1857, z = 917.1929, angle = 7.730367, collision = h2103B1
x = 941.7749, y = -381.2661, z = 915.71, angle = 17.80308, collision = h2103B1
x = 941.387, y = -381.4933, z = 914.4459, angle = 19.45111, collision = h2103B1
x = 941.0551, y = -381.5732, z = 913.4916, angle = 20.55065, collision = h2103B1
x = 940.5673, y = -381.6377, z = 912.263, angle = 33.2887, collision = h2103B1
x = 939.9841, y = -381.5789, z = 911.3889, angle = 83.14622, collision = h2103B1
x = 938.9888, y = -381.4296, z = 911.4953, angle = 93.68626, collision = h2103B1
x = 938.1259, y = -381.2988, z = 910.7751, angle = 17.59689, collision = h2103B1
x = 938.0657, y = -381.2878, z = 909.5491, angle = 9.294057, collision = h2103B1
x = 938.8358, y = -381.4021, z = 908.7544, angle = -95.69556, collision = h2103B1
x = 939.6911, y = -381.5317, z = 909.4973, angle = -116.261, collision = h2103B1
x = 940.7301, y = -381.6885, z = 909.9301, angle = -111.7587, collision = h2103B1
x = 941.708, y = -381.8357, z = 910.1597, angle = -79.82077, collision = h2103B1
x = 942.7823, y = -381.9966, z = 909.9229, angle = -70.20699, collision = h2103B1
x = 943.6833, y = -382.1312, z = 909.4769, angle = -36.2816, collision = h2103B1
x = 943.4294, y = -382.0914, z = 908.4696, angle = 76.02087, collision = h2103B1
x = 942.299, y = -381.9218, z = 908.5186, angle = 53.38039, collision = h2103B1
x = 941.9725, y = -381.871, z = 907.4985, angle = -92.10289, collision = h2103B1
x = 944.4225, y = -382.2454, z = 908.0916, angle = -66.80728, collision = h2103B1
x = 944.2527, y = -382.4777, z = 907.0529, angle = 18.10861, collision = h2103B1
x = 943.8583, y = -383.1208, z = 905.8624, angle = 24.14962, collision = h2103B1
x = 943.3212, y = -383.7744, z = 904.6633, angle = 28.20057, collision = h2103B1
x = 942.6179, y = -384.4941, z = 903.3519, angle = 26.86029, collision = h2103B1
x = 942.0242, y = -385.141, z = 902.17, angle = 26.10298, collision = h2103B1
x = 941.4395, y = -385.6223, z = 900.8058, angle = 15.95859, collision = h2103B1
x = 941.0533, y = -385.5623, z = 899.5414, angle = 18.54503, collision = h2103B1
x = 940.6603, y = -385.6872, z = 898.1107, angle = 7.47067, collision = h0104B1
x = 940.2633, y = -385.646, z = 897.1782, angle = 53.99468, collision = h0104B1
x = 939.41, y = -385.6415, z = 896.4144, angle = 98.55276, collision = h0104B1
x = 939.226, y = -385.6245, z = 895.2158, angle = -57.57257, collision = h0104B1
x = 940.1146, y = -385.606, z = 894.5251, angle = -13.47124, collision = h0104B1
x = 941.0533, y = -385.6076, z = 895.1553, angle = -112.949, collision = h0104B1
x = 942.0161, y = -385.6056, z = 895.5682, angle = -79.38278, collision = h0104B1
x = 943.1439, y = -385.5892, z = 895.1451, angle = 9.561978, collision = h0104B1
x = 943.2057, y = -385.5661, z = 893.7918, angle = -94.1153, collision = h0104B1
x = 944.4268, y = -385.5555, z = 893.7836, angle = -118.8368, collision = h0104B1
x = 945.7787, y = -385.5553, z = 894.4423, angle = -107.1466, collision = h0104B1
x = 947.1288, y = -385.5452, z = 894.5509, angle = -35.47733, collision = h0104B1
x = 948.1371, y = -385.5207, z = 893.6359, angle = -77.2111, collision = h0104B1
x = 949.1789, y = -385.5068, z = 893.3933, angle = -77.95597, collision = h0104B1
x = 950.1689, y = -385.4939, z = 893.1778, angle = -77.95597, collision = h0104B1
x = 951.1566, y = -385.4928, z = 893.5402, angle = -109.9161, collision = h0104B1
x = 952.5082, y = -385.4867, z = 893.8099, angle = -61.01049, collision = h0104B1
x = 953.5829, y = -385.4634, z = 893.1177, angle = -24.30781, collision = h0104B1
x = 954.0406, y = -385.4391, z = 892.1152, angle = 26.46096, collision = h0104B1
x = 953.074, y = -385.4337, z = 891.4474, angle = 138.8978, collision = h0104B1
x = 952.0904, y = -385.4644, z = 892.5388, angle = 114.7961, collision = h0104B1
x = 949.5251, y = -385.4827, z = 892.3582, angle = 8.728736, collision = h0104B1
x = 950.5096, y = -385.4574, z = 891.5311, angle = -27.48056, collision = h0104B1
x = 950.9622, y = -385.4296, z = 890.3578, angle = 31.3376, collision = h0104B1
x = 950.3976, y = -385.4069, z = 889.0054, angle = 20.13879, collision = h0104B1
x = 949.9311, y = -385.3925, z = 888.1023, angle = 100.5468, collision = h0104B1
x = 948.6242, y = -385.4105, z = 888.4329, angle = 98.86088, collision = h0104B1
x = 947.3168, y = -385.4255, z = 888.6227, angle = 107.5144, collision = h0104B1
x = 945.9088, y = -385.4472, z = 889.0933, angle = 120.2251, collision = h0104B1
x = 944.7667, y = -385.4706, z = 889.7603, angle = 121.0965, collision = h0104B1
x = 943.4952, y = -385.4972, z = 890.5333, angle = 122.9361, collision = h0104B1
x = 942.3351, y = -385.5199, z = 891.1592, angle = 112.1839, collision = h0104B1
x = 941.3062, y = -385.5373, z = 891.5808, angle = 113.5102, collision = h0104B1
x = 940.3268, y = -385.5544, z = 892.006, angle = 113.5102, collision = h0104B1
x = 939.4824, y = -385.5394, z = 890.9131, angle = 57.43953, collision = h0104B1
x = 938.2323, y = -385.5334, z = 890.0953, angle = 55.70392, collision = h0104B1
x = 937.5522, y = -385.5193, z = 889.1169, angle = -20.65045, collision = h0104B1
x = 937.8114, y = -385.4876, z = 887.6666, angle = 5.617749, collision = h0104B1
x = 937.6974, y = -385.4617, z = 886.3489, angle = 1.73077, collision = h0104B1
x = 937.6614, y = -385.4314, z = 884.843, angle = -6.910485, collision = h0104B1
x = 937.8099, y = -385.4034, z = 883.5305, angle = 24.28285, collision = h0104B1
x = 937.3285, y = -385.3819, z = 882.2748, angle = 38.58144, collision = h0104B1
x = 936.3807, y = -385.3662, z = 881.1042, angle = 40.81251, collision = h0104B1
x = 935.5926, y = -385.3511, z = 880.0317, angle = 9.367208, collision = h0104B1
x = 935.4753, y = -385.3221, z = 878.5607, angle = -23.41909, collision = h0104B1
x = 936.1564, y = -385.2948, z = 877.5037, angle = -82.48711, collision = h0104B1
x = 937.4714, y = -385.2793, z = 877.2987, angle = -85.56832, collision = h0104B1
x = 937.6155, y = -385.3047, z = 878.6058, angle = -175.112, collision = h0104B1
x = 937.8124, y = -385.3327, z = 880.061, angle = -169.5346, collision = h0104B1
x = 938.0667, y = -385.3592, z = 881.4713, angle = -166.3449, collision = h0104B1
x = 938.5657, y = -385.382, z = 882.8003, angle = -160.2301, collision = h0104B1
x = 939.1101, y = -385.4037, z = 884.0958, angle = -163.3616, collision = h0104B1
x = 939.4719, y = -385.4285, z = 885.4619, angle = -169.6496, collision = h0104B1
x = 939.7136, y = -385.4544, z = 886.8369, angle = -173.4983, collision = h0104B1
x = 939.8683, y = -385.4817, z = 888.2427, angle = -177.5199, collision = h0104B1
x = 939.947, y = -385.5098, z = 889.655, angle = -169.4228, collision = h0104B1
x = 941.941, y = -385.495, z = 889.7697, angle = 59.79833, collision = h0104B1
x = 940.9155, y = -385.484, z = 888.7989, angle = 22.91123, collision = h0104B1
x = 938.7394, y = -385.2742, z = 877.5823, angle = -135.4941, collision = h0104B1
x = 939.6243, y = -385.2845, z = 878.4603, angle = -149.228, collision = h0104B1
x = 940.4908, y = -385.3026, z = 879.7144, angle = -91.72814, collision = h0104B1
x = 941.8195, y = -385.2932, z = 879.8099, angle = -51.56125, collision = h0104B1
x = 942.9131, y = -384.9401, z = 878.8515, angle = 6.248298, collision = h0104B1
x = 942.8582, y = -384.9615, z = 877.4297, angle = -11.99016, collision = h0104B1
x = 943.0701, y = -385.2094, z = 876.2202, angle = -52.09723, collision = h0104B1
x = 943.8143, y = -385.1888, z = 875.5211, angle = -84.89684, collision = h0104B1
x = 945.1066, y = -384.9814, z = 875.3597, angle = -46.80457, collision = h0104B1
x = 946.1815, y = -385.1464, z = 874.4361, angle = -42.44663, collision = h0104B1
x = 947.2319, y = -385.1508, z = 875.0936, angle = -143.1522, collision = h0104B1
x = 947.8742, y = -385.1626, z = 875.9437, angle = -146.0396, collision = h0104B1
x = 948.8998, y = -385.1703, z = 876.7548, angle = -113.7431, collision = h0104B1
x = 950.2265, y = -385.1716, z = 877.377, angle = -147.9932, collision = h0104B1
x = 950.6398, y = -385.1912, z = 878.5152, angle = 151.4874, collision = h0104B1
x = 950.0023, y = -385.2228, z = 879.7968, angle = 155.5328, collision = h0104B1
x = 949.38, y = -385.2535, z = 881.0447, angle = -161.1793, collision = h0104B1
x = 949.6807, y = -385.2776, z = 882.3522, angle = -139.9696, collision = h0104B1
x = 950.5643, y = -385.2885, z = 883.2604, angle = -118.5328, collision = h0104B1
x = 951.4984, y = -385.291, z = 883.7732, angle = -117.4511, collision = h0104B1
x = 952.7435, y = -385.2939, z = 884.4438, angle = -161.3416, collision = h0104B1
x = 953.1165, y = -385.3149, z = 885.6329, angle = 168.915, collision = h0104B1
x = 952.8724, y = -385.3469, z = 887.098, angle = 173.9594, collision = h0104B1
x = 952.6921, y = -385.3753, z = 888.4196, angle = 114.848, collision = h0104B1
x = 951.563, y = -385.3928, z = 888.803, angle = 71.1806, collision = h0104B1
x = 948.0769, y = -385.3918, z = 887.2825, angle = 92.22201, collision = h0104B1
x = 946.8146, y = -385.4043, z = 887.3682, angle = 113.3192, collision = h0104B1
x = 945.4268, y = -385.4271, z = 887.903, angle = 99.39012, collision = h0104B1
x = 944.1227, y = -385.4416, z = 888.0674, angle = 49.24524, collision = h0104B1
x = 943.2236, y = -385.4285, z = 887.0427, angle = -3.136819, collision = h0104B1
x = 943.332, y = -385.401, z = 885.738, angle = -30.708, collision = h0104B1
x = 944.16, y = -385.369, z = 884.5181, angle = -48.7624, collision = h0104B1
x = 945.1069, y = -385.3422, z = 883.5996, angle = -5.452827, collision = h0104B1
x = 945.0517, y = -384.941, z = 882.2773, angle = 47.1993, collision = h0104B1
x = 944.1721, y = -384.9123, z = 881.3572, angle = 56.97437, collision = h0104B1
x = 943.3057, y = -385.0208, z = 880.7503, angle = -11.71539, collision = h0104B1
x = 943.5903, y = -384.9944, z = 879.6145, angle = -82.29291, collision = h0104B1
x = 944.9776, y = -384.9841, z = 879.5255, angle = -120.6415, collision = h0104B1
x = 946.1332, y = -385.0594, z = 880.1207, angle = -101.0132, collision = h0104B1
x = 947.5836, y = -385.0241, z = 880.3481, angle = -96.2201, collision = h0104B1
x = 949.1605, y = -384.9517, z = 878.3834, angle = 122.9884, collision = h0104B1
x = 948.2194, y = -385.2265, z = 879.2294, angle = -156.9286, collision = h0104B1
x = 949.548, y = -385.3001, z = 883.4001, angle = 60.48986, collision = h0104B1
x = 948.3245, y = -385.2999, z = 882.8765, angle = 52.88232, collision = h0104B1
x = 947.4476, y = -385.2867, z = 881.8605, angle = -8.656035, collision = h0104B1
x = 947.1537, y = -385.2371, z = 879.2997, angle = 47.64971, collision = h0104B1
x = 946.1587, y = -384.9518, z = 878.4371, angle = 73.47735, collision = h0104B1
x = 944.7228, y = -385.0129, z = 878.0911, angle = 93.75894, collision = h0104B1
x = 948.2679, y = -385.1334, z = 874.6788, angle = -136.7585, collision = h0104B1
x = 949.4421, y = -385.1412, z = 875.5551, angle = -21.98937, collision = h0104B1
x = 949.8552, y = -385.1143, z = 874.4119, angle = -5.149006, collision = h0104B1
x = 950.1937, y = -385.0879, z = 873.2563, angle = -104.6296, collision = h0104B1
x = 951.5403, y = -385.0816, z = 873.5115, angle = -83.29074, collision = h0108B1
x = 952.764, y = -385.455, z = 873.3884, angle = -69.5119, collision = h0108B1
x = 953.6754, y = -385.9817, z = 873.1104, angle = -61.70871, collision = h0108B1
x = 954.5496, y = -386.5069, z = 872.6852, angle = -60.83723, collision = h0108B1
x = 955.4007, y = -387.0257, z = 872.2123, angle = -66.84605, collision = h0108B1
x = 956.2678, y = -387.5436, z = 871.8146, angle = -79.48818, collision = h0108B1
x = 957.2034, y = -388.0723, z = 871.6243, angle = -79.14815, collision = h0108B1
x = 958.142, y = -388.601, z = 871.4467, angle = -79.57738, collision = h0108B1
x = 959.4602, y = -388.9686, z = 871.2002, angle = -84.86305, collision = h0108B1
x = 960.9401, y = -388.9933, z = 871.061, angle = -87.15346, collision = h0108B1
x = 962.2795, y = -389.2442, z = 870.9946, angle = -90.7813, collision = h0108B1
x = 963.1793, y = -389.7583, z = 870.9808, angle = -90.93799, collision = h0108B1
x = 964.0977, y = -390.2846, z = 870.9952, angle = -91.67663, collision = h0108B1
x = 965.0526, y = -390.8322, z = 871.0177, angle = -92.11169, collision = h0108B1
x = 966.1357, y = -391.4539, z = 871.0568, angle = -92.33372, collision = h0108B1
x = 967.0537, y = -391.9809, z = 871.0881, angle = -90.72428, collision = h0108B1
x = 968.4656, y = -392.7896, z = 871.1027, angle = -90.75549, collision = h0108B1
x = 969.8515, y = -393.5836, z = 871.1226, angle = -91.5974, collision = h0108B1
x = 970.8983, y = -394.1841, z = 871.1509, angle = -84.92573, collision = h0108B1
x = 972.2599, y = -394.9584, z = 871.0594, angle = -87.99783, collision = h0108B1
x = 973.5967, y = -395.7225, z = 871.0442, angle = -106.0437, collision = h0108B1
x = 974.9402, y = -396.0212, z = 871.4095, angle = -100.6443, collision = h0108B1
x = 976.017, y = -396.0623, z = 872.1934, angle = 176.8912, collision = h0108B1
x = 975.9331, y = -396.1308, z = 873.5015, angle = 132.6568, collision = h0108B1
x = 974.8976, y = -396.1797, z = 874.4344, angle = 110.0362, collision = h0108B1
x = 973.5386, y = -396.1984, z = 874.7913, angle = 76.79451, collision = h0108B1
x = 972.487, y = -396.1898, z = 874.6268, angle = 99.66009, collision = h0108B1
x = 971.2164, y = -396.1997, z = 874.8163, angle = 85.68362, collision = h0108B1
x = 969.8047, y = -396.1839, z = 874.5153, angle = 50.80844, collision = h0108B1
x = 968.6992, y = -396.1493, z = 873.8541, angle = 82.08362, collision = h0108B1
x = 967.616, y = -396.1413, z = 873.7007, angle = 81.34277, collision = h0108B1
x = 966.3302, y = -396.1382, z = 873.6414, angle = 100.7937, collision = h0108B1
x = 965.0634, y = -396.1512, z = 873.8903, angle = 101.4369, collision = h0108B1
x = 964.2392, y = -396.1056, z = 873.021, angle = 85.70461, collision = h0108B1
x = 962.9957, y = -396.0981, z = 872.8766, angle = 105.9757, collision = h0108B1
x = 961.5628, y = -396.119, z = 873.2769, angle = 105.998, collision = h0108B1
x = 960.2935, y = -396.1385, z = 873.649, angle = 106.2939, collision = h0108B1
x = 958.8766, y = -396.0334, z = 874.1, angle = 118.2726, collision = h0108B1
x = 957.7156, y = -396.0562, z = 874.732, angle = 103.1053, collision = h0108B1
x = 956.4203, y = -396.0732, z = 875.0245, angle = 93.00956, collision = h0108B1
x = 955.4153, y = -396.0836, z = 875.1126, angle = 108.5293, collision = h0108B1
x = 954.0222, y = -396.1064, z = 875.6409, angle = 127.7148, collision = h0108B1
x = 953.0056, y = -396.1322, z = 876.4825, angle = 164.6402, collision = h0108B1
x = 952.7579, y = -396.1604, z = 877.7634, angle = -149.5389, collision = h0108B1
x = 953.4283, y = -396.1799, z = 878.9993, angle = -162.7961, collision = h0108B1
x = 953.8456, y = -396.2038, z = 880.3508, angle = -176.0308, collision = h0108B1
x = 953.9569, y = -396.2313, z = 881.7463, angle = 160.6997, collision = h0108B1
x = 953.2485, y = -396.2618, z = 882.9485, angle = 125.1522, collision = h0108B1
x = 952.5079, y = -396.2819, z = 883.6238, angle = -165.8786, collision = h0108B1
x = 953.0201, y = -396.2964, z = 884.5513, angle = -47.75591, collision = h0108B1
x = 954.0508, y = -396.2707, z = 883.7245, angle = -119.3698, collision = h0108B1
x = 955.0208, y = -396.2741, z = 884.3212, angle = 155.7991, collision = h0108B1
x = 954.559, y = -396.3049, z = 885.6181, angle = -160.9648, collision = h0108B1
x = 954.9069, y = -396.3286, z = 886.9327, angle = -113.2135, collision = h0108B1
x = 955.8048, y = -396.3308, z = 887.4321, angle = -82.89186, collision = h0108B1
x = 956.8942, y = -396.3158, z = 887.1801, angle = -16.94179, collision = h0108B1
x = 957.4395, y = -396.2924, z = 886.2834, angle = -52.67767, collision = h0108B1
x = 952.8485, y = -396.204, z = 879.9396, angle = 17.61782, collision = h0108B1
x = 951.9761, y = -396.1467, z = 876.7596, angle = -18.47021, collision = h0108B1
x = 954.3145, y = -396.1307, z = 876.9573, angle = 175.8012, collision = h0108B1
x = 954.4871, y = -396.1568, z = 878.3107, angle = -154.2082, collision = h0108B1
x = 955.0907, y = -396.1772, z = 879.5696, angle = -155.8947, collision = h0108B1
x = 955.6503, y = -396.1981, z = 880.8285, angle = -167.5175, collision = h0108B1
x = 955.9417, y = -396.2228, z = 882.1555, angle = -176.0917, collision = h0108B1
x = 956.0374, y = -396.2495, z = 883.5666, angle = 179.7234, collision = h0108B1
x = 956.113, y = -396.2776, z = 884.9737, angle = -149.0079, collision = h0108B1
x = 958.3367, y = -396.2659, z = 885.384, angle = -86.86106, collision = h0108B1
x = 959.662, y = -396.2614, z = 885.4384, angle = -125.1111, collision = h0108B1
x = 960.8755, y = -396.2605, z = 886.1513, angle = -87.22273, collision = h0108B1
x = 962.1472, y = -396.3861, z = 885.9499, angle = -32.17583, collision = h0108B1
