x = -57.91173, y = -27.25878, z = -17.22461, angle = -110.0368, collision = h1070B1
x = 48.9455, y = 0.5556824, z = -112.95, angle = -141.5297, collision = h1111B1
x = 49.96142, y = 0.8690023, z = -112.0879, angle = -68.06049, collision = h1111B1
x = 51.10347, y = 0.8690004, z = -112.7536, angle = -38.6948, collision = h1111B1
x = 51.81059, y = 0.8813621, z = -113.5558, angle = -62.84024, collision = h1118B1
x = 53.02488, y = 0.880362, z = -114.1272, angle = -69.64797, collision = h1118B1
x = 54.08033, y = 0.8792343, z = -114.7466, angle = -56.72039, collision = h1118B1
x = 54.91888, y = 0.8834393, z = -115.4726, angle = -4.365925, collision = h1118B1
x = 54.82739, y = 0.8864721, z = -116.4971, angle = 10.52726, collision = h1118B1
x = 54.79578, y = 0.8910657, z = -117.8391, angle = -30.66083, collision = h1118B1
x = 55.55629, y = 0.8987676, z = -118.98, angle = -42.07273, collision = h1118B1
x = 56.51841, y = 0.9071161, z = -119.9706, angle = -47.92244, collision = h1118B1
x = 57.28912, y = 0.9133123, z = -120.717, angle = -51.48269, collision = h1118B1
x = 58.47149, y = 0.9160792, z = -121.3614, angle = -88.24539, collision = h1118B1
x = 59.8294, y = 0.9160787, z = -121.245, angle = -138.9541, collision = h1118B1
x = 60.68212, y = 0.9161221, z = -120.2026, angle = -146.7939, collision = h1118B1
x = 61.52656, y = 0.9163517, z = -119.157, angle = -161.0519, collision = h1118B1
x = 61.96288, y = 0.9160322, z = -117.8817, angle = 163.5949, collision = h1118B1
x = 61.69917, y = 0.916078, z = -116.8532, angle = 138.281, collision = h1118B1
x = 60.85971, y = 0.9118257, z = -115.9435, angle = 143.3089, collision = h1118B1
x = 60.15721, y = 0.9055899, z = -115.1029, angle = 138.5909, collision = h1118B1
x = 59.1747, y = 0.8962872, z = -114.1136, angle = 98.52317, collision = h1118B1
x = 57.81124, y = 0.8896759, z = -113.9918, angle = 64.01802, collision = h1118B1
x = 56.59824, y = 0.887762, z = -114.6544, angle = 33.96883, collision = h1118B1
x = 56.08428, y = 0.8901519, z = -115.8769, angle = -91.58419, collision = h1118B1
x = 57.27668, y = 0.8951288, z = -115.775, angle = -134.1051, collision = h1118B1
x = 58.4367, y = 0.8980609, z = -115.1552, angle = -59.24357, collision = h1118B1
x = 59.43332, y = 0.9053441, z = -115.9215, angle = 41.36311, collision = h1118B1
x = 58.57099, y = 0.905031, z = -116.8911, angle = 58.94545, collision = h1118B1
x = 57.66406, y = 0.9030682, z = -117.4655, angle = 49.21442, collision = h1118B1
x = 56.61974, y = 0.9016911, z = -118.3677, angle = 42.7533, collision = h1118B1
x = 58.8975, y = 0.9160793, z = -120.1823, angle = -159.7142, collision = h1118B1
x = 59.29213, y = 0.9160794, z = -119.222, angle = -175.701, collision = h1118B1
x = 59.33277, y = 0.9119612, z = -117.8485, angle = 121.7425, collision = h1118B1
x = 60.93783, y = 0.9160782, z = -118.3154, angle = 158.6408, collision = h1118B1
x = 60.52876, y = 0.9145696, z = -117.0965, angle = 165.6981, collision = h1118B1
x = 54.00137, y = 1.285919, z = -113.4745, angle = -160.6081, collision = h1118B1
x = 54.78417, y = 1.771116, z = -112.7549, angle = -103.2063, collision = h1118B1
x = 55.71931, y = 2.395428, z = -112.0727, angle = -154.2723, collision = h1118B1
x = 56.62918, y = 2.99757, z = -111.2957, angle = -59.94069, collision = h1118B1
x = 57.69624, y = 3.482625, z = -112.0837, angle = -53.38701, collision = h1118B1
x = 58.50188, y = 4.024775, z = -112.6533, angle = -117.5928, collision = h1118B1
x = 59.75615, y = 4.701414, z = -112.0951, angle = -70.2001, collision = h1118B1
x = 60.62344, y = 5.22788, z = -112.3219, angle = -49.00394, collision = h1118B1
x = 61.32904, y = 5.759094, z = -112.9122, angle = -39.09476, collision = h1118B1
x = 61.97643, y = 6.310443, z = -113.5502, angle = -92.5641, collision = h1118B1
x = 63.35465, y = 6.853328, z = -113.5314, angle = -22.12668, collision = h1118B1
x = 63.78086, y = 7.508502, z = -114.7543, angle = 9.971721, collision = h1118B1
x = 63.78661, y = 8.041952, z = -115.8059, angle = -38.55453, collision = h1118B1
x = 64.33562, y = 8.578262, z = -116.5416, angle = 3.566848, collision = h1118B1
x = 64.41687, y = 9.107914, z = -117.4154, angle = 19.50867, collision = h1118B1
x = 64.36668, y = 9.719862, z = -118.7029, angle = -36.91296, collision = h1118B1
x = 64.3214, y = 10.27602, z = -119.7503, angle = 59.26899, collision = h1118B1
x = 63.14506, y = 10.6804, z = -120.4511, angle = 49.36676, collision = h1118B1
x = 62.03965, y = 10.6804, z = -120.5809, angle = 138.5633, collision = h1118B1
x = 61.78672, y = 10.66122, z = -119.5322, angle = -150.8927, collision = h1118B1
x = 62.23936, y = 10.6804, z = -118.2158, angle = -173.3102, collision = h1118B1
x = 62.20222, y = 10.6804, z = -116.8534, angle = 145.4918, collision = h1118B1
x = 61.43251, y = 10.68022, z = -115.6877, angle = 174.6015, collision = h1118B1
x = 61.36461, y = 10.67946, z = -114.3632, angle = -145.8406, collision = h1118B1
x = 62.18582, y = 10.6804, z = -113.2725, angle = -172.6893, collision = h1118B1
x = 60.32469, y = 10.67992, z = -115.2128, angle = 109.5343, collision = h1118B1
x = 58.90918, y = 10.6801, z = -115.2165, angle = 23.02093, collision = h1118B1
x = 58.52542, y = 10.6804, z = -116.4701, angle = 19.82262, collision = h1118B1
x = 58.02426, y = 10.66974, z = -117.7529, angle = 82.46526, collision = h1118B1
x = 56.86695, y = 10.6804, z = -117.978, angle = 123.4395, collision = h1118B1
x = 55.73626, y = 10.6804, z = -117.1692, angle = 108.5765, collision = h1118B1
x = 54.78094, y = 10.6804, z = -116.8469, angle = 53.03098, collision = h1118B1
x = 54.11322, y = 10.6804, z = -117.7945, angle = -32.22541, collision = h1118B1
x = 54.93533, y = 10.6804, z = -118.931, angle = -85.85523, collision = h1118B1
x = 56.39364, y = 10.6804, z = -119.1308, angle = -73.29648, collision = h1118B1
x = 57.76348, y = 10.6804, z = -119.4683, angle = -96.20264, collision = h1118B1
x = 59.01075, y = 10.6804, z = -119.0697, angle = -153.1331, collision = h1118B1
x = 59.63309, y = 10.6804, z = -117.848, angle = -179.7261, collision = h1118B1
x = 59.57434, y = 10.6804, z = -116.4867, angle = 141.4106, collision = h1118B1
x = 57.76891, y = 10.67985, z = -114.7944, angle = 111.678, collision = h1118B1
x = 55.34363, y = 10.6804, z = -120.05, angle = -58.79557, collision = h1118B1
x = 56.54428, y = 10.6804, z = -120.7062, angle = -67.96695, collision = h1118B1
x = 57.54298, y = 10.6804, z = -121.1, angle = -67.49575, collision = h1118B1
x = 58.84398, y = 10.6804, z = -121.5517, angle = -119.8446, collision = h1118B1
x = 59.91677, y = 10.6804, z = -120.7936, angle = 157.5923, collision = h1118B1
x = 60.66069, y = 10.6804, z = -117.4034, angle = -25.85977, collision = h1118B1
x = 60.90691, y = 10.68007, z = -118.6068, angle = 80.954, collision = h1118B1
x = 58.74243, y = 10.6804, z = -120.0867, angle = -84.46719, collision = h1118B1
x = 61.73177, y = 10.6804, z = -121.5894, angle = 57.16837, collision = h1118B1
x = 60.61639, y = 11.30783, z = -122.3938, angle = 23.06911, collision = h1118B1
x = 60.11497, y = 11.8098, z = -123.633, angle = 41.04046, collision = h1118B1
x = 58.88386, y = 12.44144, z = -123.3075, angle = 86.58769, collision = h1118B1
x = 57.79367, y = 13.03957, z = -123.0945, angle = 84.25646, collision = h1118B1
x = 56.78503, y = 13.65312, z = -123.3076, angle = 122.4677, collision = h1118B1
x = 55.68878, y = 14.30638, z = -122.6161, angle = 85.18427, collision = h1118B1
x = 54.65832, y = 14.94369, z = -122.4569, angle = 115.4169, collision = h1118B1
x = 53.68561, y = 15.4633, z = -121.9564, angle = 163.3846, collision = h1118B1
x = 53.35292, y = 16.03599, z = -120.9839, angle = 123.6257, collision = h1118B1
x = 52.46385, y = 16.62497, z = -120.1754, angle = 134.3357, collision = h1118B1
x = 53.01759, y = 17.20854, z = -118.979, angle = 178.2531, collision = h1118B1
x = 53.36102, y = 17.2128, z = -117.9262, angle = -84.57405, collision = h1118B1
x = 54.32133, y = 17.21353, z = -118.5694, angle = -61.45375, collision = h1118B1
x = 55.66971, y = 17.21455, z = -119.2734, angle = -23.54342, collision = h1118B1
x = 56.25219, y = 17.21309, z = -120.4028, angle = -38.49978, collision = h1118B1
x = 56.97088, y = 17.21282, z = -121.5463, angle = -67.13428, collision = h1118B1
x = 58.17373, y = 17.21315, z = -122.1568, angle = -49.5171, collision = h1118B1
x = 58.22793, y = 17.21296, z = -123.4367, angle = -84.40608, collision = h1118B1
x = 59.28537, y = 17.21292, z = -121.4619, angle = -86.99489, collision = h1118B1
x = 60.51027, y = 17.21288, z = -121.753, angle = -50.31257, collision = h1118B1
x = 61.58159, y = 17.21293, z = -121.3831, angle = 80.60461, collision = h1118B1
x = 59.80906, y = 17.21282, z = -120.3102, angle = -114.0984, collision = h1118B1
x = 61.06039, y = 17.21282, z = -119.626, angle = -93.50223, collision = h1118B1
x = 62.2961, y = 17.21282, z = -119.2787, angle = -106.2591, collision = h1118B1
x = 63.0662, y = 17.21512, z = -118.5836, angle = -127.9785, collision = h1118B1
x = 64.12256, y = 17.21824, z = -117.7023, angle = -147.3532, collision = h1118B1
x = 64.71357, y = 17.21573, z = -116.5295, angle = 169.4057, collision = h1118B1
x = 64.30931, y = 17.21598, z = -115.248, angle = 140.0498, collision = h1118B1
x = 63.59488, y = 17.21453, z = -114.0521, angle = 162.7942, collision = h1118B1
x = 62.69914, y = 17.21283, z = -113.0609, angle = 37.53744, collision = h1118B1
x = 62.04032, y = 17.21284, z = -113.9079, angle = -21.62024, collision = h1118B1
x = 62.46968, y = 17.214, z = -115.08, angle = -85.09953, collision = h1118B1
x = 63.61097, y = 17.22043, z = -116.5728, angle = 101.7828, collision = h1118B1
x = 62.36989, y = 17.21965, z = -116.353, angle = 117.0745, collision = h1118B1
x = 61.26622, y = 17.21578, z = -115.6528, angle = -168.1833, collision = h1118B1
x = 60.99121, y = 17.21283, z = -114.2194, angle = 83.71745, collision = h1118B1
x = 59.67971, y = 17.21283, z = -114.3397, angle = 85.70328, collision = h1118B1
x = 58.61935, y = 17.21283, z = -114.4312, angle = 90.08324, collision = h1118B1
x = 57.1408, y = 17.21283, z = -114.478, angle = 58.14698, collision = h1118B1
x = 56.05172, y = 17.21282, z = -115.1074, angle = 39.84086, collision = h1118B1
x = 55.35606, y = 17.21292, z = -115.8827, angle = 20.99741, collision = h1118B1
x = 54.79205, y = 17.21412, z = -117.3226, angle = 35.86143, collision = h1118B1
x = 53.42884, y = 16.70738, z = -119.6136, angle = -109.452, collision = h1118B1
x = 56.61477, y = 17.21578, z = -118.5888, angle = -100.57, collision = h1118B1
x = 57.99519, y = 17.21719, z = -118.4093, angle = -95.84324, collision = h1118B1
x = 59.01337, y = 17.21821, z = -118.3214, angle = -132.5638, collision = h1118B1
x = 59.76889, y = 17.21931, z = -117.2842, angle = 166.4665, collision = h1118B1
x = 59.44724, y = 17.21589, z = -115.9423, angle = 165.7835, collision = h1118B1
x = 58.03769, y = 17.21283, z = -115.4534, angle = -31.25163, collision = h1118B1
x = 58.18489, y = 17.21282, z = -120.7705, angle = 143.7538, collision = h1118B1
x = 57.51131, y = 17.21433, z = -119.8851, angle = 148.9567, collision = h1118B1
x = 55.84318, y = 17.21522, z = -117.4592, angle = 122.1192, collision = h1118B1
x = 53.78065, y = 17.21303, z = -116.7854, angle = 106.3527, collision = h1118B1
x = 52.72944, y = 17.2911, z = -116.0554, angle = -149.3165, collision = h1118B1
x = 53.16384, y = 17.84799, z = -115.2114, angle = -164.0057, collision = h1118B1
x = 53.45526, y = 18.3515, z = -114.329, angle = -137.14, collision = h1118B1
x = 54.44549, y = 19.06326, z = -113.6744, angle = -0.03662347, collision = h1118B1
x = 54.41695, y = 18.40075, z = -114.9935, angle = 23.69988, collision = h1118B1
x = 54.15067, y = 17.79977, z = -115.7424, angle = -0.3239286, collision = h1118B1
x = 52.29, y = 17.21274, z = -118.227, angle = 54.72364, collision = h1118B1
x = -4.492532, y = 17.095, z = -111.8036, angle = 153.5056, collision = h1066B1
x = -5.086071, y = 17.1424, z = -110.9563, angle = 90.64257, collision = h1066B1
x = -6.27634, y = 17.1509, z = -110.8603, angle = 74.72511, collision = h1066B1
x = -7.780811, y = 17.1509, z = -111.3449, angle = 107.4288, collision = h1066B1
x = -9.088147, y = 17.1509, z = -111.0349, angle = 137.192, collision = h1066B1
x = -10.06648, y = 17.1509, z = -110.0858, angle = 140.9768, collision = h1066B1
x = -10.94732, y = 17.1509, z = -109.0248, angle = 140.8189, collision = h1066B1
x = -12.00831, y = 17.1509, z = -108.5145, angle = -3.919477, collision = h1066B1
x = -11.81908, y = 17.1509, z = -109.9294, angle = 2.594461, collision = h1066B1
x = -11.994, y = 17.1509, z = -111.1456, angle = 80.4278, collision = h1066B1
x = -13.0005, y = 17.1509, z = -111.24, angle = -164.4163, collision = h1066B1
x = -11.12154, y = 17.1509, z = -112.0705, angle = -7.585472, collision = h1066B1
x = -10.11509, y = 17.1509, z = -112.6459, angle = -109.1739, collision = h1066B1
x = -8.816772, y = 17.1509, z = -112.3255, angle = -49.90713, collision = h1066B1
x = -7.745299, y = 17.1509, z = -112.8558, angle = -44.4486, collision = h1066B1
x = -6.721598, y = 17.14469, z = -113.1511, angle = -168.1898, collision = h1066B1
x = -6.738995, y = 17.1509, z = -111.9986, angle = 135.4179, collision = h1066B1
x = -7.314219, y = 17.1509, z = -110.3631, angle = -134.0022, collision = h1066B1
x = -6.571722, y = 17.1509, z = -109.6124, angle = -102.0565, collision = h1066B1
x = -5.239891, y = 17.1509, z = -109.2752, angle = -114.6202, collision = h1066B1
x = -4.261765, y = 17.14781, z = -108.5536, angle = 152.0514, collision = h1066B1
x = -4.951693, y = 17.1509, z = -107.4073, angle = 96.79285, collision = h1066B1
x = -6.129586, y = 17.1509, z = -107.5873, angle = 21.02223, collision = h1066B1
x = -7.077283, y = 17.1509, z = -108.3862, angle = 138.5892, collision = h1066B1
x = -7.804497, y = 17.1509, z = -107.6768, angle = 161.1652, collision = h1066B1
x = -8.333842, y = 17.1509, z = -106.4141, angle = 131.3784, collision = h1066B1
x = -9.483047, y = 17.1509, z = -105.698, angle = 98.31668, collision = h1066B1
x = -10.84757, y = 17.14993, z = -105.502, angle = 131.302, collision = h1066B1
x = -11.40607, y = 17.14955, z = -106.3628, angle = -36.93365, collision = h1066B1
x = -10.76952, y = 17.1509, z = -107.2197, angle = -45.99337, collision = h1066B1
x = -9.764013, y = 17.1509, z = -108.1631, angle = -51.30393, collision = h1066B1
x = -8.581705, y = 17.1509, z = -108.8234, angle = -110.184, collision = h1066B1
x = -12.01841, y = 17.15003, z = -107.5118, angle = 153.002, collision = h1066B1
x = -12.56948, y = 17.13088, z = -106.6041, angle = 116.0556, collision = h1066B1
x = -13.82156, y = 17.12581, z = -106.0783, angle = 83.43452, collision = h1066B1
x = -14.94246, y = 17.12772, z = -106.0355, angle = 18.41631, collision = h1066B1
x = -13.81884, y = 17.12627, z = -104.8397, angle = 122.362, collision = h1066B1
x = -14.81052, y = 17.12785, z = -104.1214, angle = 78.00116, collision = h1066B1
x = -15.98388, y = 17.12843, z = -103.5394, angle = 48.75079, collision = h1066B1
x = -17.01411, y = 17.12771, z = -104.4849, angle = 87.51991, collision = h1066B1
x = -18.0229, y = 17.12842, z = -104.0269, angle = 146.8916, collision = h1066B1
x = -18.62849, y = 17.12739, z = -103.1473, angle = 129.413, collision = h1066B1
x = -19.69199, y = 17.1276, z = -102.4422, angle = 67.22195, collision = h1066B1
x = -20.81683, y = 17.1296, z = -102.5049, angle = 162.1636, collision = h1066B1
x = -21.49593, y = 17.12837, z = -101.4176, angle = 71.16226, collision = h1066B1
x = -22.8214, y = 17.13014, z = -101.7788, angle = 123.5135, collision = h1066B1
x = -23.97172, y = 17.13014, z = -101.0531, angle = 126.3444, collision = h1066B1
x = -24.81475, y = 17.13014, z = -100.3878, angle = 122.7827, collision = h1066B1
x = -25.96093, y = 17.13014, z = -99.62844, angle = 92.25392, collision = h1066B1
x = -27.32249, y = 17.13014, z = -99.46494, angle = -169.3451, collision = h1066B1
x = -26.88476, y = 17.13014, z = -98.56218, angle = -49.58074, collision = h1066B1
x = -23.65917, y = 17.13217, z = -99.67976, angle = -170.6996, collision = h1066B1
x = -24.53804, y = 17.02268, z = -98.84512, angle = 104.3343, collision = h1066B1
x = -25.87019, y = 16.28383, z = -98.51021, angle = 132.1806, collision = h1066B1
x = -26.94428, y = 15.53864, z = -97.67072, angle = 144.7744, collision = h1066B1
x = -27.80965, y = 14.83943, z = -96.63535, angle = 134.1012, collision = h1066B1
x = -28.69759, y = 14.26793, z = -96.10376, angle = 98.41379, collision = h1066B1
x = -30.0616, y = 13.57336, z = -95.95556, angle = 105.5173, collision = h1066B1
x = -31.39521, y = 13.15343, z = -95.667, angle = 101.9934, collision = h1066B1
x = -31.61256, y = 13.15305, z = -96.92606, angle = -38.85654, collision = h1066B1
x = -30.98131, y = 12.75902, z = -97.7918, angle = -53.5165, collision = h1066B1
x = -30.27003, y = 12.23688, z = -98.39243, angle = -44.56832, collision = h1066B1
x = -29.24591, y = 11.64821, z = -98.68499, angle = -84.24336, collision = h1066B1
x = -28.05405, y = 10.97451, z = -98.98876, angle = -55.9425, collision = h1066B1
x = -27.14356, y = 10.36218, z = -99.54758, angle = -50.88619, collision = h1066B1
x = -26.4276, y = 9.841434, z = -100.1251, angle = -80.90881, collision = h1066B1
x = -25.40133, y = 9.518174, z = -100.3288, angle = -106, collision = h1066B1
x = -24.23337, y = 9.514685, z = -98.38348, angle = 105.5462, collision = h1066B1
x = -25.53395, y = 9.512862, z = -98.11474, angle = 73.31011, collision = h1066B1
x = -24.93809, y = 9.518818, z = -99.11163, angle = -42.54182, collision = h1066B1
x = -21.78205, y = 9.467966, z = -100.8431, angle = -76.85289, collision = h1116B1
x = -22.55058, y = 9.467964, z = -101.954, angle = 24.16278, collision = h1116B1
x = -23.20245, y = 9.467965, z = -103.3435, angle = 20.82163, collision = h1116B1
x = -23.6733, y = 9.382749, z = -104.6397, angle = -32.09115, collision = h1114B1
x = -22.90751, y = 9.223707, z = -105.6507, angle = -57.06675, collision = h1114B1
x = -21.88558, y = 9.146028, z = -106.5186, angle = -29.53721, collision = h1114B1
x = -21.23013, y = 9.043821, z = -107.7333, angle = -69.81062, collision = h1114B1
x = -20.08135, y = 9.034517, z = -108.4372, angle = 17.34996, collision = h1114B1
x = -20.40714, y = 9.013062, z = -109.3839, angle = 36.78099, collision = h1114B1
x = -21.30663, y = 8.70173, z = -110.4273, angle = 12.08946, collision = h1114B1
x = -21.63346, y = 8.026829, z = -111.7312, angle = -3.327313, collision = h1114B1
x = -21.80251, y = 7.38346, z = -113.056, angle = 48.03545, collision = h1114B1
x = -22.86897, y = 6.711062, z = -113.9263, angle = 71.71393, collision = h1114B1
x = -24.29897, y = 6.569509, z = -114.4598, angle = 7.001067, collision = h1114B1
x = -24.42008, y = 6.609197, z = -115.7953, angle = -2.690043, collision = h1114B1
x = -24.30839, y = 6.637628, z = -116.8666, angle = -2.690043, collision = h1114B1
x = -24.85369, y = 6.670363, z = -117.711, angle = -14.93542, collision = h1114B1
x = -24.6495, y = 6.705157, z = -119.061, angle = 39.28818, collision = h1114B1
x = -25.55397, y = 6.143022, z = -120.0587, angle = 62.59383, collision = h1114B1
x = -26.77645, y = 5.478236, z = -120.7071, angle = 54.1114, collision = h1114B1
x = -27.91257, y = 4.771297, z = -121.4912, angle = 33.90462, collision = h1114B1
x = -28.46534, y = 4.262928, z = -122.2076, angle = 7.400537, collision = h1114B1
x = -28.63824, y = 4.068025, z = -123.265, angle = 12.13054, collision = h1114B1
x = -29.16306, y = 4.079864, z = -124.4834, angle = 69.20649, collision = h1114B1
x = -30.46428, y = 4.084894, z = -124.935, angle = 86.79783, collision = h1114B1
x = -31.82382, y = 4.086768, z = -124.8674, angle = 124.1608, collision = h1114B1
x = -32.76259, y = 4.082679, z = -123.962, angle = -169.3978, collision = h1114B1
x = -33.06917, y = 4.074945, z = -122.6451, angle = 101.8918, collision = h1114B1
x = -34.41471, y = 4.075321, z = -122.3422, angle = 82.02944, collision = h1114B1
x = -35.77861, y = 4.083435, z = -122.5163, angle = 44.39999, collision = h1114B1
x = -36.95099, y = 4.09451, z = -123.1408, angle = 145.3776, collision = h1114B1
x = -37.71922, y = 4.091014, z = -122.0522, angle = 170.2893, collision = h1114B1
x = -37.87669, y = 4.079613, z = -120.6909, angle = -138.6401, collision = h1114B1
x = -36.79749, y = 4.068345, z = -120.172, angle = 5.200984, collision = h1114B1
x = -36.84513, y = 4.080554, z = -121.485, angle = 16.54534, collision = h1114B1
x = -36.23851, y = 4.095857, z = -124.0686, angle = -61.08941, collision = h1114B1
x = -35.1294, y = 4.096306, z = -124.7665, angle = -67.46632, collision = h1114B1
x = -34.16274, y = 4.096209, z = -125.1533, angle = -120.6388, collision = h1114B1
x = -33.81303, y = 4.08259, z = -123.6643, angle = 92.28638, collision = h1114B1
x = -34.96729, y = 4.08696, z = -123.4477, angle = 50.00249, collision = h1114B1
x = -35.52041, y = 4.063103, z = -120.0945, angle = -36.87757, collision = h1114B1
x = -34.82977, y = 4.066989, z = -120.9008, angle = -35.6103, collision = h1114B1
x = -33.38294, y = 4.069073, z = -121.6235, angle = -138.2088, collision = h1114B1
x = -32.45424, y = 4.056881, z = -120.6155, angle = -141.6404, collision = h1114B1
x = -31.58924, y = 4.68688, z = -119.5404, angle = -139.358, collision = h1114B1
x = -30.99265, y = 5.200045, z = -118.8395, angle = -137.6604, collision = h1114B1
x = -30.37401, y = 5.710326, z = -118.1572, angle = -135.6445, collision = h1114B1
x = -29.62412, y = 6.299155, z = -117.3907, angle = -174.2921, collision = h1114B1
x = -29.60125, y = 6.703168, z = -116.1317, angle = 120.0339, collision = h1114B1
x = -30.69833, y = 6.703296, z = -115.9322, angle = 16.24959, collision = h1114B1
x = -31.06872, y = 6.199552, z = -116.7596, angle = 16.8203, collision = h1114B1
x = -31.33731, y = 5.691232, z = -117.64, angle = 16.81128, collision = h1114B1
x = -33.93675, y = 4.062602, z = -120.4416, angle = -139.6787, collision = h1114B1
x = -33.04527, y = 4.348845, z = -119.3884, angle = -143.3931, collision = h1114B1
x = -32.49331, y = 4.866837, z = -118.6519, angle = -142.2037, collision = h1114B1
x = -30.49214, y = 6.683924, z = -114.9358, angle = 151.1602, collision = h1114B1
x = -31.27503, y = 6.675276, z = -114.1776, angle = 54.76884, collision = h1114B1
x = -32.27283, y = 6.701957, z = -115.0304, angle = 25.94014, collision = h1114B1
x = -32.67832, y = 6.185543, z = -115.8588, angle = 29.22071, collision = h1114B1
x = -33.19797, y = 5.57701, z = -116.7984, angle = 32.1576, collision = h1114B1
x = -33.68394, y = 5.056182, z = -117.5788, angle = 32.23782, collision = h1114B1
x = -34.18297, y = 4.534471, z = -118.3534, angle = 36.10049, collision = h1114B1
x = -36.2845, y = 4.058746, z = -119.1932, angle = -145.0482, collision = h1114B1
x = -35.48509, y = 4.305361, z = -118.0683, angle = -150.0251, collision = h1114B1
x = -35.00486, y = 4.826728, z = -117.2835, angle = -152.404, collision = h1114B1
x = -34.57331, y = 5.347802, z = -116.4712, angle = -148.2398, collision = h1114B1
x = -34.09117, y = 5.868592, z = -115.6888, angle = -147.5865, collision = h1114B1
x = -33.5853, y = 6.388445, z = -114.9219, angle = -140.3602, collision = h1114B1
x = -32.73265, y = 6.689524, z = -113.8406, angle = 146.6146, collision = h1114B1
x = -33.67571, y = 6.680182, z = -113.009, angle = 58.17571, collision = h1114B1
x = -34.61682, y = 6.61133, z = -113.8723, angle = 1.219216, collision = h1114B1
x = -36.35415, y = 4.41347, z = -117.347, angle = 163.1639, collision = h1114B1
x = -36.37595, y = 5.031752, z = -116.0743, angle = -137.6884, collision = h1114B1
x = -35.76672, y = 5.542032, z = -115.3866, angle = -129.3256, collision = h1114B1
x = -33.12146, y = 6.603359, z = -111.7078, angle = 177.4744, collision = h1114B1
x = -33.11145, y = 6.582697, z = -110.2959, angle = -135.0815, collision = h1114B1
x = -32.09864, y = 6.538545, z = -109.4973, angle = -67.68418, collision = h1114B1
x = -31.08223, y = 6.510504, z = -109.8252, angle = -152.9054, collision = h1114B1
x = -30.81978, y = 7.02654, z = -108.6359, angle = 142.8696, collision = h1114B1
x = -31.45819, y = 7.401219, z = -107.4401, angle = -138.1449, collision = h1114B1
x = -30.49878, y = 8.001893, z = -106.6635, angle = -92.363, collision = h1114B1
x = -29.43792, y = 8.529942, z = -106.1093, angle = 168.6852, collision = h1114B1
x = -29.47723, y = 9.004333, z = -104.6083, angle = -121.2092, collision = h1114B1
x = -28.28139, y = 9.029494, z = -103.9657, angle = -133.9674, collision = h1114B1
x = -27.50086, y = 9.063123, z = -102.9735, angle = -117.8096, collision = h1114B1
x = -26.55376, y = 9.07122, z = -103.4919, angle = 35.49619, collision = h1114B1
x = -27.84722, y = 9.01484, z = -105.0967, angle = -68.90208, collision = h1114B1
x = -26.4675, y = 9.050543, z = -105.1592, angle = -177.2579, collision = h1114B1
x = -25.33784, y = 9.24473, z = -104.1726, angle = -39.88052, collision = h1114B1
x = -24.89307, y = 9.084611, z = -105.1048, angle = 34.90926, collision = h1114B1
x = -25.68267, y = 9.065674, z = -106.2276, angle = 34.16086, collision = h1114B1
x = -26.06001, y = 9.054108, z = -107.4569, angle = -83.8316, collision = h1114B1
x = -25.01941, y = 9.075566, z = -107.2497, angle = -170.5094, collision = h1114B1
x = -21.24394, y = 9.467964, z = -101.8909, angle = 6.641047, collision = h1116B1
x = -21.69723, y = 9.467962, z = -103.1899, angle = 50.30878, collision = h1116B1
x = -24.49299, y = 9.076689, z = -106.0988, angle = -48.51031, collision = h1114B1
x = -23.43356, y = 9.051441, z = -106.8132, angle = -98.48804, collision = h1114B1
x = -21.88734, y = 9.473128, z = -105.3169, angle = -148.7921, collision = h1116B1
x = -21.29421, y = 9.467961, z = -104.1068, angle = -149.0833, collision = h1116B1
x = -20.98773, y = 9.472032, z = -105.8522, angle = -147.9583, collision = h1114B1
x = -21.08033, y = 9.467964, z = -99.96433, angle = -143.2639, collision = h1116B1
x = -20.34384, y = 9.467962, z = -98.98153, angle = -141.9662, collision = h1113B1
x = -19.47742, y = 9.536483, z = -97.84164, angle = -147.8046, collision = h1113B1
x = -18.71364, y = 9.536431, z = -96.63063, angle = -146.8146, collision = h1113B1
x = -17.9408, y = 9.536381, z = -95.45691, angle = -138.4535, collision = h1113B1
x = -17.25349, y = 9.536345, z = -94.65607, angle = -114.2424, collision = h1113B1
x = -16.06293, y = 9.536323, z = -94.25293, angle = -48.20738, collision = h1113B1
x = -15.23402, y = 9.536344, z = -94.9221, angle = 32.45467, collision = h1113B1
x = -15.95604, y = 9.536375, z = -95.6284, angle = 138.1866, collision = h1113B1
x = -16.10664, y = 9.536283, z = -93.24957, angle = -154.0981, collision = h1113B1
x = -15.50755, y = 9.536231, z = -92.00593, angle = -158.0495, collision = h1113B1
x = -15.10361, y = 9.53619, z = -91.01036, angle = -166.7131, collision = h1113B1
x = -14.90552, y = 9.536137, z = -89.66017, angle = 175.7846, collision = h1113B1
x = -14.99539, y = 9.536083, z = -88.28263, angle = -160.5296, collision = h1113B1
x = -14.60817, y = 9.536031, z = -86.98712, angle = -160.8627, collision = h1113B1
x = -14.19588, y = 9.535981, z = -85.79092, angle = -135.6082, collision = h1113B1
x = -13.10262, y = 9.535948, z = -85.08471, angle = -72.29173, collision = h1113B1
x = -11.83813, y = 9.535949, z = -85.27452, angle = -114.568, collision = h1113B1
x = -10.82703, y = 9.535925, z = -84.81661, angle = -161.3172, collision = h1113B1
