x = 230.0119, y = 199.9796, z = 473.7116, angle = -139.4778, collision = h0102B0
x = 293.0732, y = 310.6414, z = 518.6647, angle = 43.79156, collision = h0008B0
x = 292.3433, y = 310.6414, z = 517.6453, angle = 9.688418, collision = h0008B0
x = 292.1181, y = 310.6414, z = 516.5536, angle = 50.19412, collision = h0008B0
x = 291.1994, y = 310.6414, z = 515.6741, angle = 79.12734, collision = h0008B0
x = 290.176, y = 310.6414, z = 515.3041, angle = 97.24006, collision = h0008B0
x = 288.821, y = 310.6414, z = 515.2218, angle = 23.30626, collision = h0008B0
x = 288.4413, y = 310.6414, z = 514.1122, angle = 14.61561, collision = h0008B0
x = 288.1271, y = 310.6414, z = 512.9361, angle = 16.13463, collision = h0008B0
x = 287.7632, y = 310.6414, z = 511.705, angle = 62.46831, collision = h0008B0
x = 286.6377, y = 310.6414, z = 511.2294, angle = 76.49642, collision = h0008B0
x = 285.3985, y = 310.6414, z = 510.9081, angle = 73.0827, collision = h0008B0
x = 284.2527, y = 310.6414, z = 510.5722, angle = 36.87931, collision = h0008B0
x = 283.5402, y = 310.6414, z = 509.5645, angle = 36.90515, collision = h0008B0
x = 282.6758, y = 310.6414, z = 508.4762, angle = 85.01184, collision = h0008B0
x = 281.6212, y = 310.6414, z = 508.2129, angle = 97.88043, collision = h0008B0
x = 280.2982, y = 310.6414, z = 508.3355, angle = 66.80434, collision = h0008B0
x = 278.9978, y = 310.6414, z = 507.8673, angle = 62.33165, collision = h0008B0
x = 278.0322, y = 310.6414, z = 507.3616, angle = 70.73375, collision = h0008B0
x = 276.6898, y = 310.6414, z = 506.9259, angle = 105.9765, collision = h0008B0
x = 275.6514, y = 310.6414, z = 507.1659, angle = 106.8395, collision = h0008B0
x = 274.2827, y = 310.6414, z = 507.5863, angle = 109.0549, collision = h0008B0
x = 273.0909, y = 310.6414, z = 508.0581, angle = -173.4468, collision = h0008B0
x = 274.0134, y = 310.6414, z = 508.6567, angle = -55.72023, collision = h0008B0
x = 275.2007, y = 310.6414, z = 508.1153, angle = -118.4171, collision = h0008B0
x = 276.0749, y = 310.6414, z = 509.0871, angle = -175.8548, collision = h0008B0
x = 276.8888, y = 310.6414, z = 508.2119, angle = -96.5979, collision = h0008B0
x = 281.6764, y = 310.6414, z = 507.1656, angle = -67.56567, collision = h0008B0
x = 282.9769, y = 310.6414, z = 507.1994, angle = -120.6299, collision = h0008B0
x = 283.9386, y = 310.6414, z = 508.0351, angle = 170.0213, collision = h0008B0
x = 286.1049, y = 310.6414, z = 509.9964, angle = -129.7346, collision = h0008B0
x = 286.897, y = 310.6414, z = 512.4617, angle = -103.8552, collision = h0008B0
x = 289.1295, y = 310.6414, z = 513.0019, angle = -127.899, collision = h0008B0
x = 290.0038, y = 310.6414, z = 513.7449, angle = -165.4023, collision = h0008B0
x = 290.7218, y = 310.6414, z = 516.6476, angle = -140.2416, collision = h0008B0
x = 295.3723, y = 310.6414, z = 519.8939, angle = -120.245, collision = h0008B0
x = 296.4997, y = 310.6414, z = 520.5923, angle = 175.584, collision = h0008B0
x = 296.2963, y = 310.6414, z = 522.0215, angle = 143.9976, collision = h0008B0
x = 295.5007, y = 310.6414, z = 523.0751, angle = 138.7114, collision = h0008B0
x = 296.5439, y = 310.6414, z = 523.4262, angle = -66.51017, collision = h0008B0
x = 297.7389, y = 310.6414, z = 522.8605, angle = -65.68104, collision = h0008B0
x = 299.1314, y = 310.6414, z = 522.3998, angle = -160.0323, collision = h0008B0
x = 298.8374, y = 310.6414, z = 523.9685, angle = 167.5341, collision = h0008B0
x = 299.1957, y = 310.6414, z = 525.4467, angle = -107.7422, collision = h0008B0
x = 300.0301, y = 310.6414, z = 526.0163, angle = -72.5975, collision = h0008B0
x = 301.3286, y = 310.6414, z = 525.6823, angle = -56.04243, collision = h0008B0
x = 302.5811, y = 310.6414, z = 525.6959, angle = -161.5648, collision = h0008B0
x = 303.1049, y = 310.6414, z = 526.7255, angle = 149.0999, collision = h0008B0
x = 302.6398, y = 310.6414, z = 527.8879, angle = 162.098, collision = h0008B0
x = 302.0526, y = 310.6414, z = 528.89, angle = -119.1273, collision = h0008B0
x = 303.9643, y = 310.6414, z = 528.53, angle = -119.0448, collision = h0008B0
x = 305.0743, y = 310.6414, z = 529.1708, angle = 176.805, collision = h0008B0
x = 305.2216, y = 310.6414, z = 530.2601, angle = 122.6012, collision = h0008B0
x = 304.1956, y = 310.6414, z = 530.9507, angle = 82.56302, collision = h0008B0
x = 303.253, y = 310.6414, z = 530.4955, angle = -16.98896, collision = h0008B0
x = 305.8771, y = 310.6414, z = 531.5593, angle = 175.2688, collision = h0008B0
x = 305.8075, y = 310.6414, z = 532.8918, angle = -98.89324, collision = h0008B0
x = 307.2226, y = 310.6414, z = 532.8437, angle = -79.30385, collision = h0008B0
x = 308.5225, y = 310.6414, z = 532.6119, angle = -91.90337, collision = h0008B0
x = 309.7214, y = 310.6414, z = 532.8362, angle = 174.0434, collision = h0008B0
x = 309.972, y = 310.6414, z = 533.8464, angle = 123.6469, collision = h0008B0
x = 309.0114, y = 310.6414, z = 534.7015, angle = -163.0611, collision = h0008B0
x = 310.3002, y = 310.6414, z = 535.6302, angle = -151.1036, collision = h0008B0
x = 310.9376, y = 310.6414, z = 536.7369, angle = -171.725, collision = h0008B0
x = 311.1592, y = 310.6415, z = 537.8835, angle = 124.0343, collision = h0008B0
x = 310.169, y = 310.6416, z = 538.6794, angle = 107.747, collision = h0008B0
x = 308.8377, y = 310.6417, z = 539.1107, angle = 119.3728, collision = h0008B0
x = 307.5672, y = 310.6417, z = 539.7782, angle = 140.2507, collision = h0008B0
x = 306.567, y = 310.6419, z = 540.8778, angle = 134.6385, collision = h0008B0
x = 305.6012, y = 310.642, z = 541.7801, angle = 151.7264, collision = h0008B0
x = 308.0756, y = 310.6418, z = 540.8281, angle = -129.0633, collision = h0008B0
x = 309.2027, y = 310.6418, z = 540.5697, angle = -6.318758, collision = h0008B0
x = 309.3441, y = 310.6415, z = 537.777, angle = -46.53574, collision = h0008B0
x = 312.2323, y = 310.6415, z = 537.3425, angle = -56.68464, collision = h0008B0
x = 312.449, y = 310.6416, z = 538.7198, angle = -117.0122, collision = h0008B0
x = 313.7956, y = 310.6415, z = 539.233, angle = -128.2232, collision = h0008B0
x = 314.8328, y = 310.6415, z = 539.9873, angle = -135.0705, collision = h0008B0
x = 315.6564, y = 310.6414, z = 540.757, angle = -130.8689, collision = h0008B0
x = 313.6516, y = 310.6415, z = 538.1542, angle = -31.66429, collision = h0008B0
x = 316.7198, y = 310.6773, z = 541.2145, angle = 172.2002, collision = h0018B0
x = 316.5692, y = 310.6905, z = 542.4728, angle = -127.9516, collision = h0018B0
x = 317.6248, y = 310.6906, z = 543.4332, angle = -61.5085, collision = h0018B0
x = 318.7077, y = 310.6906, z = 543.1406, angle = -150.6684, collision = h0018B0
x = 319.1493, y = 310.6906, z = 544.4517, angle = -165.9305, collision = h0018B0
x = 319.2697, y = 310.6906, z = 545.5084, angle = -104.3987, collision = h0018B0
x = 320.3823, y = 310.6906, z = 545.9202, angle = -51.05764, collision = h0018B0
x = 321.344, y = 310.6905, z = 545.3608, angle = -110.6978, collision = h0018B0
x = 322.1321, y = 310.6905, z = 546.4299, angle = 143.2492, collision = h0018B0
x = 321.1392, y = 310.6905, z = 547.2946, angle = 80.15643, collision = h0018B0
x = 319.8283, y = 310.6906, z = 547.1423, angle = 105.077, collision = h0018B0
x = 318.9666, y = 310.6907, z = 548.0051, angle = 170.1861, collision = h0018B0
x = 318.7326, y = 310.6907, z = 549.3068, angle = 145.6267, collision = h0018B0
x = 317.7907, y = 310.6908, z = 550.3141, angle = 124.4303, collision = h0018B0
x = 317.1172, y = 310.6909, z = 551.142, angle = 175.8723, collision = h0018B0
x = 317.1165, y = 310.691, z = 552.4586, angle = -97.615, collision = h0018B0
x = 318.2456, y = 310.6909, z = 552.1462, angle = -9.215004, collision = h0018B0
x = 320.13, y = 310.6906, z = 549.2876, angle = -60.47553, collision = h0018B0
x = 323.2982, y = 310.6905, z = 546.4838, angle = -111.859, collision = h0018B0
x = 324.2414, y = 310.6905, z = 547.4572, angle = 155.7029, collision = h0018B0
x = 323.727, y = 310.6905, z = 548.6288, angle = 171.0901, collision = h0018B0
x = 323.6086, y = 310.6905, z = 550.042, angle = -84.55606, collision = h0018B0
x = 324.8805, y = 310.6905, z = 550.0279, angle = -94.7661, collision = h0018B0
x = 326.3435, y = 310.6905, z = 550.1528, angle = -177.783, collision = h0018B0
x = 326.2612, y = 310.6905, z = 551.2792, angle = 167.4163, collision = h0018B0
x = 326.318, y = 310.6905, z = 552.3793, angle = -84.71661, collision = h0018B0
x = 327.585, y = 310.6905, z = 552.2711, angle = -95.2109, collision = h0018B0
x = 328.7975, y = 310.6905, z = 552.8234, angle = -164.3951, collision = h0018B0
x = 329.3334, y = 310.6905, z = 554.0155, angle = -100.1318, collision = h0018B0
x = 330.7237, y = 310.6905, z = 554.0487, angle = -54.5652, collision = h0018B0
x = 330.8819, y = 310.6905, z = 555.1471, angle = 115.4184, collision = h0018B0
x = 329.9084, y = 310.6905, z = 555.9251, angle = -132.1586, collision = h0018B0
x = 330.9705, y = 310.6905, z = 556.7103, angle = -66.37433, collision = h0018B0
x = 332.3869, y = 310.6905, z = 556.4534, angle = -147.6246, collision = h0018B0
x = 332.7729, y = 310.6905, z = 557.4726, angle = 135.6051, collision = h0018B0
x = 332.2307, y = 310.6905, z = 558.5759, angle = -133.3288, collision = h0018B0
x = 333.2805, y = 310.6905, z = 558.9578, angle = -90.45468, collision = h0018B0
x = 334.6165, y = 310.6905, z = 559.2843, angle = 176.1035, collision = h0018B0
x = 334.5628, y = 310.6905, z = 560.5704, angle = 175.4387, collision = h0018B0
x = 334.6971, y = 310.6905, z = 561.97, angle = -99.24605, collision = h0018B0
x = 335.9613, y = 310.6905, z = 562.2979, angle = -136.4344, collision = h0018B0
x = 336.9036, y = 310.6905, z = 563.3488, angle = -153.4124, collision = h0018B0
x = 337.1006, y = 310.6905, z = 564.5567, angle = 71.16689, collision = h0018B0
x = 335.8797, y = 310.6905, z = 564.1622, angle = 23.04581, collision = h0018B0
x = 336.3492, y = 310.6905, z = 561.1873, angle = -64.88838, collision = h0018B0
x = 337.6241, y = 310.6905, z = 560.7289, angle = -114.9897, collision = h0018B0
x = 338.2736, y = 310.6905, z = 561.6517, angle = 168.0015, collision = h0018B0
x = 338.048, y = 310.6905, z = 563.1183, angle = 176.7109, collision = h0018B0
x = 338.3292, y = 310.6905, z = 564.8159, angle = -100.3287, collision = h0018B0
x = 339.774, y = 310.6905, z = 565.0036, angle = -93.38548, collision = h0018B0
x = 340.9445, y = 310.6905, z = 565.3851, angle = -151.0115, collision = h0018B0
x = 341.5598, y = 310.6905, z = 566.6754, angle = -111.975, collision = h0018B0
x = 342.6282, y = 310.6905, z = 567.2465, angle = -61.34801, collision = h0018B0
x = 343.559, y = 310.6904, z = 566.7025, angle = -89.88255, collision = h0018B0
x = 344.1893, y = 310.6904, z = 567.5124, angle = 177.8272, collision = h0018B0
x = 344.0977, y = 310.6905, z = 568.9734, angle = -178.244, collision = h0018B0
x = 344.3006, y = 310.6904, z = 570.1283, angle = -119.8373, collision = h0018B0
x = 345.601, y = 310.6904, z = 570.5114, angle = -108.6216, collision = h0018B0
x = 346.6834, y = 310.6904, z = 571.008, angle = -150.4707, collision = h0018B0
x = 346.7787, y = 310.6904, z = 572.1776, angle = 143.2961, collision = h0018B0
x = 346.8297, y = 310.6904, z = 573.4234, angle = -139.1223, collision = h0018B0
x = 347.6303, y = 310.6904, z = 574.0481, angle = -89.75083, collision = h0018B0
x = 348.7686, y = 310.6904, z = 573.742, angle = -24.6282, collision = h0018B0
x = 349.4022, y = 310.6904, z = 572.6101, angle = -114.4155, collision = h0018B0
x = 350.0446, y = 310.6904, z = 573.5508, angle = 174.5274, collision = h0018B0
x = 349.8896, y = 310.6904, z = 575.0052, angle = -169.8875, collision = h0018B0
x = 350.0725, y = 310.6904, z = 576.4733, angle = -168.8459, collision = h0018B0
x = 350.3291, y = 310.6904, z = 577.7708, angle = -168.3931, collision = h0018B0
x = 350.5963, y = 310.6904, z = 579.0662, angle = -169.9167, collision = h0018B0
x = 350.7913, y = 310.6904, z = 580.5377, angle = 163.0666, collision = h0018B0
x = 350.3413, y = 310.6904, z = 581.9319, angle = 153.4296, collision = h0018B0
x = 349.7448, y = 310.6904, z = 583.1124, angle = 149.8784, collision = h0018B0
x = 349.2919, y = 310.6904, z = 584.0172, angle = -165.1635, collision = h0018B0
x = 349.826, y = 310.6904, z = 585.2203, angle = -104.0882, collision = h0018B0
x = 350.8366, y = 310.6904, z = 584.6608, angle = 5.786195, collision = h0018B0
x = 349.7624, y = 310.6904, z = 580.8459, angle = -3.355125, collision = h0018B0
x = 349.7656, y = 310.6904, z = 579.8018, angle = 5.331059, collision = h0018B0
x = 349.5905, y = 310.6904, z = 578.549, angle = 17.94154, collision = h0018B0
x = 348.8654, y = 310.6904, z = 575.7311, angle = 30.49164, collision = h0018B0
x = 342.7513, y = 310.6905, z = 568.5082, angle = 50.40808, collision = h0018B0
x = 334.7862, y = 310.6905, z = 564.278, angle = 138.4077, collision = h0018B0
x = 334.0839, y = 310.6902, z = 565.0609, angle = 107.2857, collision = h0125B0_0000
x = 320.2136, y = 310.6403, z = 578.9075, angle = 131.8295, collision = h0014B0
x = 319.085, y = 310.6403, z = 579.8655, angle = 137.1727, collision = h0014B0
x = 318.0306, y = 310.6403, z = 580.4993, angle = 32.48528, collision = h0014B0
x = 317.3391, y = 310.6403, z = 579.2499, angle = 12.19172, collision = h0014B0
x = 317.1478, y = 310.6403, z = 578.2005, angle = 55.97239, collision = h0014B0
x = 315.6186, y = 310.6403, z = 578.1343, angle = 83.35918, collision = h0014B0
x = 314.3687, y = 310.6403, z = 577.9388, angle = 43.65735, collision = h0014B0
x = 313.4857, y = 310.6403, z = 577.1202, angle = 43.84253, collision = h0014B0
x = 312.5877, y = 310.6403, z = 576.1875, angle = 43.97485, collision = h0014B0
x = 311.6116, y = 310.6403, z = 575.1753, angle = 31.60946, collision = h0014B0
x = 310.9655, y = 310.6403, z = 574.2985, angle = 30.57033, collision = h0014B0
x = 310.2514, y = 310.6403, z = 573.1642, angle = 48.42223, collision = h0014B0
x = 309.2465, y = 310.6403, z = 572.2227, angle = 54.76476, collision = h0014B0
x = 308.3648, y = 310.6403, z = 571.5861, angle = 49.41346, collision = h0014B0
x = 307.2637, y = 310.6403, z = 570.6649, angle = 48.71538, collision = h0014B0
x = 306.3017, y = 310.6403, z = 569.8082, angle = 49.71725, collision = h0014B0
x = 305.3644, y = 310.6403, z = 569.0248, angle = 46.88995, collision = h0014B0
x = 304.3751, y = 310.6403, z = 568.0988, angle = 38.72272, collision = h0014B0
x = 303.6143, y = 310.6403, z = 567.1885, angle = 20.87829, collision = h0014B0
x = 303.0625, y = 310.6403, z = 566.0117, angle = 4.004977, collision = h0014B0
x = 302.9436, y = 310.6684, z = 564.6372, angle = -12.00275, collision = h0014B0
x = 303.9684, y = 310.6685, z = 563.4572, angle = -73.16737, collision = h0014B0
x = 305.2854, y = 310.6685, z = 562.9816, angle = -83.47024, collision = h0014B0
x = 306.6097, y = 310.6686, z = 562.7853, angle = -74.04472, collision = h0014B0
x = 307.7497, y = 310.6688, z = 562.0094, angle = -42.05202, collision = h0014B0
x = 308.5365, y = 310.669, z = 561.0185, angle = -22.61631, collision = h0014B0
x = 305.7842, y = 310.6687, z = 561.7515, angle = 30.19259, collision = h0014B0
x = 305.8053, y = 310.6684, z = 563.9477, angle = 139.9346, collision = h0014B0
x = 305.0147, y = 310.6683, z = 564.7413, angle = 63.79141, collision = h0014B0
x = 305.1356, y = 310.6403, z = 567.2997, angle = -112.9454, collision = h0014B0
x = 305.9916, y = 310.6403, z = 567.8473, angle = 148.0817, collision = h0014B0
x = 304.9061, y = 310.6403, z = 570.2736, angle = -126.9688, collision = h0014B0
x = 306.0834, y = 310.6403, z = 570.8741, angle = -65.71655, collision = h0014B0
x = 308.2973, y = 310.6403, z = 570.378, angle = -98.02388, collision = h0014B0
x = 308.7552, y = 310.6403, z = 573.3938, angle = -114.0812, collision = h0014B0
x = 309.9637, y = 310.6403, z = 574.3977, angle = 48.40944, collision = h0014B0
x = 310.1596, y = 310.6403, z = 571.3159, angle = -123.8501, collision = h0014B0
x = 311.0229, y = 310.6403, z = 571.99, angle = -149.4571, collision = h0014B0
x = 312.1263, y = 310.6403, z = 573.7399, angle = -84.12516, collision = h0014B0
x = 313.1686, y = 310.6403, z = 573.9925, angle = 172.2107, collision = h0014B0
x = 314.8258, y = 310.6403, z = 579.1864, angle = -146.2319, collision = h0014B0
x = 315.5327, y = 310.6403, z = 580.3034, angle = -171.9449, collision = h0014B0
x = 315.9951, y = 310.6403, z = 581.4638, angle = -131.7577, collision = h0014B0
x = 317.0072, y = 310.6403, z = 582.2671, angle = -130.3161, collision = h0014B0
x = 317.917, y = 310.6403, z = 583.0014, angle = -151.5477, collision = h0014B0
x = 318.689, y = 310.6403, z = 584.1578, angle = -102.4801, collision = h0014B0
x = 319.9344, y = 310.6403, z = 584.2112, angle = -100.1275, collision = h0014B0
x = 321.3499, y = 310.6403, z = 584.4698, angle = -136.8329, collision = h0014B0
x = 322.1591, y = 310.6403, z = 585.1046, angle = 177.4077, collision = h0014B0
x = 322.1357, y = 310.6403, z = 586.4474, angle = 127.3475, collision = h0014B0
x = 322.2438, y = 310.6403, z = 587.7302, angle = -90.29516, collision = h0014B0
x = 323.3232, y = 310.6403, z = 587.9193, angle = -74.32413, collision = h0014B0
x = 324.5949, y = 310.6403, z = 587.5792, angle = -80.70354, collision = h0014B0
x = 325.6041, y = 310.6403, z = 587.1646, angle = -166.559, collision = h0014B0
x = 324.7612, y = 310.6403, z = 588.6566, angle = 148.5498, collision = h0014B0
x = 324.2084, y = 310.6403, z = 589.741, angle = -151.7973, collision = h0014B0
x = 324.9331, y = 310.6403, z = 590.4658, angle = -77.73031, collision = h0014B0
x = 326.1495, y = 310.6403, z = 590.3846, angle = -53.18966, collision = h0014B0
x = 327.2999, y = 310.6403, z = 589.583, angle = -121.1133, collision = h0014B0
x = 327.2021, y = 310.6403, z = 590.6382, angle = -156.3404, collision = h0014B0
x = 327.7666, y = 310.6403, z = 592.1065, angle = -166.5992, collision = h0014B0
x = 328.119, y = 310.6402, z = 593.4927, angle = 179.9511, collision = h0014B0
x = 329.1685, y = 310.6402, z = 594.2542, angle = -108.0807, collision = h0014B0
x = 330.4684, y = 310.6402, z = 594.7232, angle = -92.45638, collision = h0014B0
x = 331.7744, y = 310.6402, z = 594.8428, angle = -116.7698, collision = h0014B0
x = 332.9012, y = 310.6402, z = 595.2823, angle = -114.353, collision = h0014B0
x = 334.1935, y = 310.6402, z = 594.8096, angle = -103.6438, collision = h0014B0
x = 335.5445, y = 310.6402, z = 595.1015, angle = -133.0272, collision = h0014B0
x = 336.515, y = 310.6402, z = 595.9592, angle = -112.3997, collision = h0014B0
x = 337.764, y = 310.6402, z = 596.0049, angle = -76.30891, collision = h0014B0
x = 338.816, y = 310.6402, z = 595.7323, angle = -71.01385, collision = h0014B0
x = 339.9465, y = 310.6402, z = 595.3595, angle = -59.8667, collision = h0014B0
x = 339.9461, y = 310.6402, z = 594.2198, angle = -16.86555, collision = h0014B0
x = 339.6205, y = 310.6402, z = 592.9543, angle = 27.80416, collision = h0014B0
x = 338.6967, y = 310.6403, z = 592.2636, angle = 156.9263, collision = h0014B0
x = 338.1707, y = 310.6402, z = 593.3483, angle = 127.79, collision = h0014B0
x = 337.1523, y = 310.6402, z = 593.8171, angle = 23.52399, collision = h0014B0
x = 335.8259, y = 310.6402, z = 593.9619, angle = 96.21955, collision = h0014B0
x = 334.6077, y = 310.6402, z = 593.8602, angle = 75.4984, collision = h0014B0
x = 333.2913, y = 310.6402, z = 593.9288, angle = 115.3033, collision = h0014B0
x = 331.8263, y = 310.6402, z = 593.7878, angle = -35.78897, collision = h0014B0
x = 332.3681, y = 310.6402, z = 592.7625, angle = -82.79652, collision = h0014B0
x = 335.3257, y = 310.6403, z = 592.7572, angle = 55.54586, collision = h0014B0
x = 330.0796, y = 310.6402, z = 593.3762, angle = 21.65166, collision = h0014B0
x = 329.5627, y = 310.6402, z = 592.19, angle = 34.45242, collision = h0014B0
x = 328.751, y = 310.6403, z = 591.0434, angle = 52.09104, collision = h0014B0
x = 326.2134, y = 310.6403, z = 589.1494, angle = 67.78943, collision = h0014B0
x = 323.5266, y = 310.6403, z = 586.6707, angle = 36.95369, collision = h0014B0
x = 320.6602, y = 310.6403, z = 583.092, angle = 36.08654, collision = h0014B0
x = 319.8971, y = 310.6403, z = 582.0475, angle = 29.28385, collision = h0014B0
x = 319.34, y = 310.6403, z = 581.0999, angle = 4.658353, collision = h0014B0
x = 334.5476, y = 299.6189, z = 563.5753, angle = -23.60071, collision = h0017B0
x = 335.0131, y = 299.6189, z = 562.4815, angle = -47.83179, collision = h0017B0
x = 335.9509, y = 299.6189, z = 561.5204, angle = -68.66214, collision = h0017B0
x = 337.2409, y = 299.6189, z = 561.0466, angle = -115.357, collision = h0017B0
x = 338.5598, y = 299.6189, z = 561.6512, angle = 102.7393, collision = h0017B0
x = 337.4, y = 299.6189, z = 562.4001, angle = -148.2386, collision = h0017B0
x = 338.1384, y = 299.6189, z = 563.6862, angle = -168.8173, collision = h0017B0
x = 338.6783, y = 299.6189, z = 564.816, angle = -118.5407, collision = h0017B0
x = 339.9708, y = 299.6189, z = 565.5519, angle = -120.2108, collision = h0017B0
x = 341.187, y = 299.6189, z = 566.2819, angle = -137.01, collision = h0017B0
x = 342.137, y = 299.6189, z = 567.1996, angle = -123.2205, collision = h0017B0
x = 343.2249, y = 299.6189, z = 567.871, angle = -78.07204, collision = h0017B0
x = 344.2445, y = 299.6189, z = 567.6782, angle = -78.07204, collision = h0017B0
x = 345.1137, y = 299.6189, z = 568.2405, angle = -159.2, collision = h0017B0
x = 345.2875, y = 299.6189, z = 569.3154, angle = 156.1792, collision = h0017B0
x = 345.2208, y = 299.6189, z = 570.4414, angle = -124.8329, collision = h0017B0
x = 346.1969, y = 299.6189, z = 571.1934, angle = -126.9247, collision = h0017B0
x = 347.454, y = 299.6189, z = 571.9723, angle = -158.6095, collision = h0017B0
x = 347.8706, y = 299.6189, z = 573.0806, angle = 141.4722, collision = h0017B0
x = 347.4179, y = 299.6189, z = 574.2049, angle = -89.25038, collision = h0017B0
x = 348.4342, y = 299.6189, z = 573.9129, angle = -88.28355, collision = h0017B0
x = 349.8102, y = 299.6189, z = 574.1544, angle = -149.71, collision = h0017B0
x = 350.3567, y = 299.6189, z = 575.2995, angle = -179.5013, collision = h0017B0
x = 350.0159, y = 299.6189, z = 576.6866, angle = 139.2418, collision = h0017B0
x = 349.5312, y = 299.6189, z = 577.8741, angle = -154.4738, collision = h0017B0
x = 350.0441, y = 299.6189, z = 579.1063, angle = -152.6858, collision = h0017B0
x = 350.6339, y = 299.6188, z = 580.2773, angle = -155.474, collision = h0017B0
x = 351.1329, y = 299.6188, z = 581.3875, angle = 175.6019, collision = h0017B0
x = 351.1085, y = 299.6188, z = 582.6552, angle = 147.984, collision = h0017B0
x = 350.359, y = 299.6188, z = 583.869, angle = 119.8094, collision = h0017B0
x = 349.4715, y = 299.6188, z = 584.4458, angle = 137.1361, collision = h0017B0
x = 350.1815, y = 299.6188, z = 585.5708, angle = -66.2925, collision = h0017B0
x = 344.2097, y = 299.6189, z = 569.0042, angle = -6.461796, collision = h0017B0
x = 344.8989, y = 299.6189, z = 566.7264, angle = -34.19512, collision = h0017B0
x = 346.0852, y = 299.3633, z = 566.8441, angle = -58.10587, collision = h0017B0
x = 347.1789, y = 298.6594, z = 565.953, angle = -15.24897, collision = h0017B0
x = 347.6158, y = 298.0655, z = 564.7155, angle = -63.51016, collision = h0017B0
x = 348.9356, y = 297.371, z = 564.0771, angle = -60.56883, collision = h0017B0
x = 349.826, y = 296.8709, z = 563.1729, angle = 28.83497, collision = h0090B0
x = 349.353, y = 296.8736, z = 562.076, angle = 40.94717, collision = h0090B0
x = 348.5703, y = 296.8739, z = 561.2463, angle = 30.60172, collision = h0090B0
x = 347.8952, y = 296.8761, z = 560.0876, angle = 69.79973, collision = h0090B0
x = 346.786, y = 296.8736, z = 559.543, angle = 53.67202, collision = h0090B0
x = 345.8379, y = 296.8723, z = 558.8856, angle = 90.7783, collision = h0090B0
x = 350.5742, y = 296.8695, z = 564.0497, angle = -116.3426, collision = h0090B0
x = 351.7098, y = 296.8695, z = 564.4829, angle = -133.4986, collision = h0090B0
x = 352.6204, y = 296.2758, z = 565.3011, angle = -130.4171, collision = h0090B0
x = 353.5541, y = 295.5708, z = 566.1747, angle = -146.3517, collision = h0090B0
x = 354.3613, y = 294.7904, z = 567.3665, angle = -139.535, collision = h0090B0
x = 355.0434, y = 294.2061, z = 568.1818, angle = -139.9153, collision = h0090B0
x = 355.9841, y = 293.4248, z = 569.2229, angle = -118.671, collision = h0090B0
x = 357.116, y = 292.7273, z = 569.8868, angle = -151.0624, collision = h0090B0
x = 357.8263, y = 292.7198, z = 570.7056, angle = 170.1902, collision = h0090B0
x = 357.7517, y = 292.7014, z = 572.052, angle = 166.9887, collision = h0090B0
x = 357.397, y = 292.676, z = 573.3188, angle = -176.9821, collision = h0091B0
x = 357.4151, y = 292.8184, z = 574.7981, angle = 151.8907, collision = h0091B0
x = 356.6759, y = 292.8188, z = 575.9619, angle = 121.2816, collision = h0091B0
x = 357.7576, y = 292.8347, z = 576.8795, angle = -122.7534, collision = h0091B0
x = 358.6064, y = 292.8299, z = 577.4707, angle = -77.10748, collision = h0091B0
x = 359.6545, y = 292.8299, z = 577.2554, angle = -76.52271, collision = h0091B0
x = 360.1605, y = 292.836, z = 576.0624, angle = 46.52016, collision = h0091B0
x = 359.2049, y = 292.8451, z = 575.253, angle = 92.28595, collision = h0091B0
x = 355.4455, y = 292.7917, z = 576.3892, angle = 166.2032, collision = h0091B0
x = 356.5944, y = 292.8342, z = 577.2556, angle = -54.54907, collision = h0091B0
x = 357.9879, y = 292.8299, z = 578.5834, angle = -138.7383, collision = h0091B0
x = 358.7496, y = 292.8299, z = 579.543, angle = -61.63038, collision = h0091B0
x = 359.8672, y = 292.8299, z = 579.1891, angle = -52.38386, collision = h0091B0
x = 360.7995, y = 292.8299, z = 578.4974, angle = -141.5862, collision = h0091B0
x = 359.5722, y = 292.8299, z = 580.4884, angle = -175.104, collision = h0091B0
x = 360.6013, y = 292.7638, z = 581.5618, angle = -111.4322, collision = h0092B0
x = 361.6039, y = 292.7674, z = 581.9838, angle = -133.6698, collision = h0092B0
x = 362.6722, y = 292.7694, z = 582.9204, angle = -149.0343, collision = h0092B0
x = 363.3523, y = 292.7686, z = 584.0181, angle = -139.93, collision = h0092B0
x = 364.0709, y = 292.7686, z = 585.0051, angle = -128.3754, collision = h0092B0
x = 365.0401, y = 292.7704, z = 585.8406, angle = -128.5924, collision = h0092B0
x = 366.0566, y = 292.7718, z = 586.8276, angle = -130.3343, collision = h0092B0
x = 366.8481, y = 292.7727, z = 587.5419, angle = -143.7479, collision = h0092B0
x = 367.6689, y = 292.7727, z = 588.6453, angle = -139.497, collision = h0092B0
x = 368.5354, y = 292.7729, z = 589.6733, angle = -139.4079, collision = h0092B0
x = 369.2487, y = 292.7731, z = 590.5037, angle = -139.3302, collision = h0092B0
x = 370.175, y = 292.7733, z = 591.563, angle = -135.9609, collision = h0092B0
x = 371.0833, y = 292.7737, z = 592.5031, angle = -135.4797, collision = h0092B0
x = 371.943, y = 292.774, z = 593.3799, angle = -135.4472, collision = h0092B0
