x = 177.8432, y = 207.2, z = 131.9724, angle = -100, collision = h0000B1_0000
x = 522.3506, y = 135, z = 187.4226, angle = 69.61273, collision = h0016B1_0000
x = 512.5007, y = 135, z = 184.9206, angle = 85.31414, collision = h0016B1_0000
x = 511.0731, y = 135, z = 184.798, angle = 82.50867, collision = h0016B1_0000
x = 509.7628, y = 135, z = 184.4239, angle = 57.50048, collision = h0016B1_0000
x = 508.5546, y = 135, z = 184.66, angle = 108.8867, collision = h0116B1_0000
x = 507.5742, y = 135, z = 185.2349, angle = 153.0792, collision = h0116B1_0000
x = 507.0287, y = 135, z = 186.5495, angle = -171.5327, collision = h0116B1_0000
x = 507.3726, y = 135, z = 187.9174, angle = -157.8832, collision = h0116B1_0000
x = 507.8574, y = 135, z = 189.2581, angle = 161.6316, collision = h0116B1_0000
x = 506.8745, y = 135, z = 188.8812, angle = 3.130235, collision = h0116B1_0000
x = 506.0513, y = 135, z = 187.0389, angle = 93.03602, collision = h0116B1_0000
x = 504.7985, y = 135, z = 187.4093, angle = 149.1028, collision = h0116B1_0000
x = 503.882, y = 135, z = 188.4623, angle = 55.10283, collision = h0116B1_0000
x = 503.3818, y = 135, z = 187.2287, angle = 42.37197, collision = h0116B1_0000
x = 502.2791, y = 135, z = 186.4704, angle = 105.6608, collision = h0116B1_0000
x = 501.056, y = 135, z = 186.8094, angle = 150.0756, collision = h0116B1_0000
x = 500.5381, y = 135, z = 188.0336, angle = -173.5744, collision = h0116B1_0000
x = 500.8369, y = 135, z = 189.2934, angle = 91.61536, collision = h0116B1_0000
x = 500.626, y = 135, z = 185.713, angle = -22.93593, collision = h0116B1_0000
x = 501.2066, y = 135, z = 184.4039, angle = -43.86409, collision = h0116B1_0000
x = 502.1837, y = 135, z = 183.3672, angle = 4.143275, collision = h0116B1_0000
x = 502.072, y = 135, z = 182.0342, angle = 34.41724, collision = h0116B1_0000
x = 501.3164, y = 135, z = 180.8262, angle = -10.97125, collision = h0116B1_0000
x = 501.5337, y = 135, z = 179.4174, angle = 3.917291, collision = h0116B1_0000
x = 501.3405, y = 135, z = 178.1954, angle = 42.06091, collision = h0116B1_0000
x = 500.7114, y = 135, z = 176.9986, angle = -47.48607, collision = h0116B1_0000
x = 501.7558, y = 135, z = 176.0664, angle = -17.82851, collision = h0116B1_0000
x = 502.1193, y = 135, z = 174.7616, angle = 16.74609, collision = h0116B1_0000
x = 501.6934, y = 135, z = 173.3976, angle = 18.08724, collision = h0116B1_0000
x = 501.2818, y = 135, z = 172.0275, angle = 5.913018, collision = h0116B1_0000
x = 501.1689, y = 135, z = 170.7672, angle = -9.708527, collision = h0116B1_0000
x = 502.2496, y = 135, z = 170.344, angle = -116.8399, collision = h0116B1_0000
x = 503.4767, y = 135, z = 171.0498, angle = -104.6915, collision = h0116B1_0000
x = 504.8319, y = 135, z = 171.368, angle = -88.90965, collision = h0116B1_0000
x = 506.2646, y = 135, z = 171.3508, angle = -97.78094, collision = h0116B1_0000
x = 507.6735, y = 135, z = 171.5883, angle = -113.8681, collision = h0116B1_0000
x = 508.452, y = 135, z = 172.3151, angle = 132.6693, collision = h0116B1_0000
x = 507.4465, y = 135, z = 173.2051, angle = 145.8571, collision = h0116B1_0000
x = 506.5982, y = 135, z = 174.3477, angle = -179.0728, collision = h0116B1_0000
x = 506.8685, y = 135, z = 175.6049, angle = -124.0231, collision = h0116B1_0000
x = 508.0762, y = 135, z = 176.3399, angle = -141.1935, collision = h0116B1_0000
x = 507.5789, y = 135, z = 177.2124, angle = 82.18822, collision = h0116B1_0000
x = 506.407, y = 135, z = 177.4075, angle = -175.6535, collision = h0116B1_0000
x = 506.6351, y = 135, z = 178.7497, angle = -128.5389, collision = h0116B1_0000
x = 507.7323, y = 135, z = 179.6701, angle = -129.0239, collision = h0116B1_0000
x = 507.0946, y = 135, z = 180.7706, angle = -163.2046, collision = h0116B1_0000
x = 507.4729, y = 135, z = 181.9553, angle = -159.5121, collision = h0116B1_0000
x = 507.5436, y = 135, z = 183.2186, angle = 72.64442, collision = h0116B1_0000
x = 506.2701, y = 135, z = 182.7812, angle = 54.35857, collision = h0116B1_0000
x = 505.222, y = 135, z = 181.8336, angle = -29.34159, collision = h0116B1_0000
x = 505.4927, y = 135, z = 180.5689, angle = -17.43373, collision = h0116B1_0000
x = 505.6214, y = 135, z = 178.4414, angle = 37.88929, collision = h0116B1_0000
x = 504.6581, y = 135, z = 177.4041, angle = 69.62502, collision = h0116B1_0000
x = 503.4325, y = 135, z = 176.7039, angle = 30.34227, collision = h0116B1_0000
x = 503.144, y = 135, z = 174.0498, angle = -28.37744, collision = h0116B1_0000
x = 504.0715, y = 135, z = 173.1175, angle = -120.5823, collision = h0116B1_0000
x = 505.009, y = 135, z = 173.8229, angle = -166.2543, collision = h0116B1_0000
x = 505.363, y = 135, z = 175.2103, angle = 162.1496, collision = h0116B1_0000
x = 504.6843, y = 135, z = 176.2463, angle = 25.69841, collision = h0116B1_0000
x = 504.1645, y = 135, z = 175.3495, angle = 45.01033, collision = h0116B1_0000
x = 503.14, y = 135, z = 175.0801, angle = 34.9102, collision = h0116B1_0000
x = 501.0006, y = 135, z = 174.188, angle = -152.8023, collision = h0116B1_0000
x = 500.7531, y = 135, z = 175.7839, angle = 93.7234, collision = h0116B1_0000
x = 499.7061, y = 135, z = 176.1134, angle = -154.4709, collision = h0116B1_0000
x = 500.5086, y = 135, z = 178.8955, angle = -128.9375, collision = h0116B1_0000
x = 502.0276, y = 135, z = 189.266, angle = -89.33224, collision = h0116B1_0000
x = 504.227, y = 135, z = 186.508, angle = -46.46733, collision = h0116B1_0000
x = 505.3127, y = 135, z = 185.8143, angle = -116.4548, collision = h0116B1_0000
x = 518.6265, y = 135, z = 183.0038, angle = -8.281167, collision = h0016B1_0000
x = 518.8376, y = 135, z = 181.5868, angle = -1.752599, collision = h0016B1_0000
x = 519.8563, y = 135, z = 178.554, angle = 151.5087, collision = h0016B1_0000
x = 513.9896, y = 135, z = 185.7496, angle = 149.7999, collision = h0016B1_0000
x = 513.3995, y = 135, z = 187.0285, angle = -174.4178, collision = h0016B1_0000
x = 513.5366, y = 135, z = 188.4549, angle = -178.7441, collision = h0016B1_0000
x = 513.5176, y = 135, z = 189.8817, angle = 130.0553, collision = h0016B1_0000
x = 512.4515, y = 135, z = 190.7548, angle = 99.58465, collision = h0016B1_0000
x = 511.0426, y = 135, z = 190.9932, angle = 120.6434, collision = h0016B1_0000
x = 510.4022, y = 135, z = 192.1565, angle = -176.9069, collision = h0016B1_0000
x = 510.2427, y = 135, z = 193.5511, angle = 80.13371, collision = h0016B1_0000
x = 509.0764, y = 135, z = 193.2247, angle = 30.79872, collision = h0016B1_0000
x = 508.0681, y = 135, z = 192.3791, angle = 124.7302, collision = h0016B1_0000
x = 506.9319, y = 135, z = 193.2217, angle = 131.3419, collision = h0016B1_0000
x = 505.73, y = 135, z = 193.8284, angle = 53.28612, collision = h0016B1_0000
x = 504.7084, y = 135, z = 193.0948, angle = 78.66734, collision = h0016B1_0000
x = 503.4231, y = 135, z = 193.0237, angle = 128.1798, collision = h0016B1_0000
x = 502.2077, y = 135, z = 193.7094, angle = 43.43761, collision = h0016B1_0000
x = 501.2107, y = 135, z = 192.7377, angle = 90.18266, collision = h0016B1_0000
x = 499.8792, y = 135, z = 192.7592, angle = 132.8896, collision = h0016B1_0000
x = 499.45, y = 135, z = 193.7837, angle = -156.4125, collision = h0016B1_0000
x = 500.0283, y = 135, z = 194.7401, angle = -77.90555, collision = h0016B1_0000
x = 501.3553, y = 135, z = 194.3477, angle = -61.91334, collision = h0016B1_0000
x = 503.4958, y = 135, z = 194.3842, angle = -80.68647, collision = h0016B1_0000
x = 509.5735, y = 135, z = 194.4073, angle = 130.0871, collision = h0016B1_0000
x = 508.4681, y = 135, z = 195.1915, angle = 72.64857, collision = h0016B1_0000
x = 507.0667, y = 135, z = 194.9371, angle = 90.0894, collision = h0016B1_0000
x = 505.6341, y = 135, z = 194.9545, angle = 102.6693, collision = h0016B1_0000
x = 504.3926, y = 135, z = 195.2045, angle = 100.9047, collision = h0016B1_0000
x = 502.9794, y = 135, z = 195.4247, angle = 82.64886, collision = h0016B1_0000
x = 500.3522, y = 135, z = 196.15, angle = -143.5244, collision = h0016B1_0000
x = 501.2562, y = 135, z = 197.2302, angle = -107.6713, collision = h0016B1_0000
x = 502.6124, y = 135, z = 197.6669, angle = -98.78895, collision = h0016B1_0000
x = 503.8748, y = 135, z = 197.8575, angle = -97.08615, collision = h0016B1_0000
x = 505.2986, y = 135, z = 197.9956, angle = -62.20572, collision = h0016B1_0000
x = 506.5949, y = 135, z = 197.4286, angle = -131.4491, collision = h0016B1_0000
x = 507.5039, y = 135, z = 198.3747, angle = 152.9624, collision = h0016B1_0000
x = 506.7664, y = 135, z = 199.4451, angle = 93.46475, collision = h0016B1_0000
x = 505.3467, y = 135, z = 199.5088, angle = 104.138, collision = h0016B1_0000
x = 504.1015, y = 135, z = 199.7738, angle = 107.6824, collision = h0016B1_0000
x = 502.7415, y = 135, z = 200.2227, angle = 108.7721, collision = h0016B1_0000
x = 501.3785, y = 135, z = 200.6635, angle = 126.5345, collision = h0016B1_0000
x = 500.4195, y = 135, z = 201.6255, angle = 166.4621, collision = h0016B1_0000
x = 500.1481, y = 135, z = 203.0247, angle = -170.5213, collision = h0016B1_0000
x = 500.4081, y = 135, z = 204.4247, angle = -105.922, collision = h0016B1_0000
x = 501.5472, y = 135, z = 204.8752, angle = -83.11265, collision = h0016B1_0000
x = 502.7095, y = 135, z = 204.3767, angle = 11.86644, collision = h0016B1_0000
x = 502.3249, y = 135, z = 203.0679, angle = 62.13125, collision = h0016B1_0000
x = 501.0381, y = 135, z = 202.494, angle = 69.06661, collision = h0016B1_0000
x = 503.7238, y = 135, z = 201.0112, angle = 163.8282, collision = h0016B1_0000
x = 503.4323, y = 135, z = 202.409, angle = -179.164, collision = h0016B1_0000
x = 503.8051, y = 135, z = 204.208, angle = -81.70049, collision = h0016B1_0000
x = 505.096, y = 135, z = 203.916, angle = -15.51916, collision = h0016B1_0000
x = 505.3946, y = 135, z = 202.7114, angle = -4.976995, collision = h0016B1_0000
x = 505.559, y = 135, z = 201.3018, angle = -15.46521, collision = h0016B1_0000
x = 507.8401, y = 135, z = 199.7686, angle = -179.2778, collision = h0016B1_0000
x = 507.8898, y = 135, z = 201.1995, angle = -179.1663, collision = h0016B1_0000
x = 507.899, y = 135, z = 202.6323, angle = 165.2578, collision = h0016B1_0000
x = 507.6502, y = 135, z = 203.8796, angle = -127.7779, collision = h0016B1_0000
x = 508.7402, y = 135, z = 204.5103, angle = -34.67743, collision = h0016B1_0000
x = 509.6215, y = 135, z = 203.4149, angle = -93.1, collision = h0016B1_0000
x = 510.8444, y = 135, z = 203.7108, angle = -153.7491, collision = h0016B1_0000
x = 511.4649, y = 135, z = 204.9859, angle = -158.1703, collision = h0016B1_0000
x = 511.9388, y = 135, z = 206.1714, angle = -157.9219, collision = h0016B1_0000
x = 512.3221, y = 135, z = 207.404, angle = -168.6644, collision = h0016B1_0000
x = 512.0351, y = 135, z = 208.3778, angle = 115.6841, collision = h0016B1_0000
x = 510.7346, y = 135, z = 208.4618, angle = 6.709691, collision = h0016B1_0000
x = 510.7502, y = 135, z = 207.2805, angle = -29.57282, collision = h0016B1_0000
x = 512.6185, y = 135, z = 204.5175, angle = -44.79903, collision = h0016B1_0000
x = 513.6155, y = 135, z = 203.4889, angle = -87.20426, collision = h0016B1_0000
x = 514.8818, y = 135, z = 203.5604, angle = -126.1261, collision = h0016B1_0000
x = 515.929, y = 135, z = 204.29, angle = -120.2337, collision = h0016B1_0000
x = 517.2131, y = 135, z = 204.5583, angle = -16.12341, collision = h0016B1_0000
x = 517.6593, y = 135, z = 203.2444, angle = -30.17292, collision = h0016B1_0000
x = 518.4493, y = 135, z = 202.1144, angle = -76.75549, collision = h0016B1_0000
x = 519.8069, y = 135, z = 201.9483, angle = -120.7856, collision = h0016B1_0000
x = 521.0397, y = 135, z = 202.6774, angle = -121.9941, collision = h0016B1_0000
x = 522.1161, y = 135, z = 203.3468, angle = -103.4844, collision = h0016B1_0000
x = 523.4995, y = 135, z = 203.6707, angle = -95.57887, collision = h0016B1_0000
x = 524.9185, y = 135, z = 203.6782, angle = -34.23844, collision = h0016B1_0000
x = 525.6899, y = 135, z = 202.5063, angle = 31.70981, collision = h0016B1_0000
x = 524.8755, y = 135, z = 201.7499, angle = 121.3406, collision = h0016B1_0000
x = 523.6595, y = 135, z = 202.4838, angle = 81.90482, collision = h0016B1_0000
x = 522.287, y = 135, z = 202.333, angle = 68.4754, collision = h0016B1_0000
x = 519.5979, y = 135, z = 200.7369, angle = 22.52218, collision = h0016B1_0000
x = 519.309, y = 135, z = 199.4217, angle = -75.37309, collision = h0016B1_0000
x = 520.6343, y = 135, z = 199.1592, angle = -75.72091, collision = h0016B1_0000
x = 522.0168, y = 135, z = 198.8263, angle = -66.75924, collision = h0016B1_0000
x = 523.1879, y = 135, z = 198.3419, angle = -68.91238, collision = h0016B1_0000
x = 524.5182, y = 135, z = 197.81, angle = -48.54506, collision = h0016B1_0000
x = 525.4213, y = 135, z = 196.7619, angle = -15.86684, collision = h0016B1_0000
x = 525.8163, y = 135, z = 195.3846, angle = -15.85048, collision = h0016B1_0000
x = 526.1746, y = 135, z = 193.9976, angle = -7.028141, collision = h0016B1_0000
x = 526.226, y = 135, z = 192.6751, angle = 54.23911, collision = h0016B1_0000
x = 525.1879, y = 135, z = 192.5214, angle = 146.1036, collision = h0016B1_0000
x = 524.5133, y = 135, z = 193.697, angle = 172.5611, collision = h0016B1_0000
x = 524.3603, y = 135, z = 195.1206, angle = -172.8599, collision = h0016B1_0000
x = 525.3511, y = 135, z = 198.782, angle = -162.0892, collision = h0016B1_0000
x = 525.7889, y = 135, z = 200.1464, angle = -172.1943, collision = h0016B1_0000
x = 526.0145, y = 135, z = 201.4, angle = -173.7183, collision = h0016B1_0000
x = 524.1442, y = 135, z = 204.604, angle = 80.03542, collision = h0016B1_0000
x = 524.186, y = 135, z = 200.7643, angle = 6.06167, collision = h0016B1_0000
x = 524.0488, y = 135, z = 199.3406, angle = 10.67855, collision = h0016B1_0000
x = 523.6362, y = 135, z = 196.9894, angle = 10.28172, collision = h0016B1_0000
x = 523.3698, y = 135, z = 195.5818, angle = 1.893397, collision = h0016B1_0000
x = 523.3185, y = 135, z = 194.1522, angle = 2.285067, collision = h0016B1_0000
x = 523.1819, y = 135, z = 192.7307, angle = 70.35102, collision = h0016B1_0000
x = 522.203, y = 135, z = 192.5046, angle = 168.5988, collision = h0016B1_0000
x = 521.9882, y = 135, z = 193.877, angle = -162.6671, collision = h0016B1_0000
x = 522.6691, y = 135, z = 196.5774, angle = 172.6887, collision = h0016B1_0000
x = 522.1093, y = 135, z = 200.1863, angle = -176.4248, collision = h0016B1_0000
x = 520.8602, y = 135, z = 201.6663, angle = 10.76495, collision = h0016B1_0000
x = 520.625, y = 135, z = 200.4114, angle = 13.66864, collision = h0016B1_0000
x = 520.2757, y = 135, z = 198.0641, angle = -7.911736, collision = h0016B1_0000
x = 520.487, y = 135, z = 196.6474, angle = -10.36438, collision = h0016B1_0000
x = 520.7213, y = 135, z = 195.2433, angle = 0.09047268, collision = h0016B1_0000
x = 520.6064, y = 135, z = 193.8331, angle = 56.90487, collision = h0016B1_0000
x = 519.5463, y = 135, z = 193.2362, angle = 116.5526, collision = h0016B1_0000
x = 518.5024, y = 135, z = 194.0721, angle = -178.9254, collision = h0016B1_0000
x = 518.6102, y = 135, z = 195.4731, angle = -174.0455, collision = h0016B1_0000
x = 518.7455, y = 135, z = 196.8977, angle = -179.2333, collision = h0016B1_0000
x = 518.8538, y = 135, z = 198.3205, angle = -164.52, collision = h0016B1_0000
x = 518.8428, y = 135, z = 203.3099, angle = 111.3238, collision = h0016B1_0000
x = 517.2544, y = 135, z = 202.0048, angle = 16.77139, collision = h0016B1_0000
x = 516.8297, y = 135, z = 200.6372, angle = 19.08289, collision = h0016B1_0000
x = 516.4118, y = 135, z = 199.4308, angle = 19.30933, collision = h0016B1_0000
x = 515.9366, y = 135, z = 198.0789, angle = 19.82394, collision = h0016B1_0000
x = 515.6732, y = 135, z = 196.6887, angle = -3.072943, collision = h0016B1_0000
x = 516.0673, y = 135, z = 195.6383, angle = -23.11029, collision = h0016B1_0000
x = 516.4784, y = 135, z = 194.3046, angle = 10.01143, collision = h0016B1_0000
x = 516.0533, y = 135, z = 192.9583, angle = 43.55863, collision = h0016B1_0000
x = 515.0858, y = 135, z = 191.9022, angle = 38.83762, collision = h0016B1_0000
x = 514.3065, y = 135, z = 190.9056, angle = 25.48491, collision = h0016B1_0000
x = 514.6959, y = 135, z = 188.308, angle = -41.22245, collision = h0016B1_0000
x = 515.429, y = 135, z = 187.2315, angle = 46.03679, collision = h0016B1_0000
x = 512.6569, y = 135, z = 189.3312, angle = -163.012, collision = h0016B1_0000
x = 512.7186, y = 135, z = 192.0553, angle = 160.253, collision = h0016B1_0000
x = 512.3216, y = 135, z = 193.3148, angle = -179.3497, collision = h0016B1_0000
x = 512.3315, y = 135, z = 194.8003, angle = -179.619, collision = h0016B1_0000
x = 512.0709, y = 135, z = 196.0317, angle = 122.5686, collision = h0016B1_0000
x = 510.7671, y = 135, z = 196.6942, angle = 87.32212, collision = h0016B1_0000
x = 509.4453, y = 135, z = 196.6726, angle = 107.582, collision = h0016B1_0000
x = 508.0284, y = 135, z = 197.1026, angle = 132.5674, collision = h0016B1_0000
x = 508.8369, y = 135, z = 201.8271, angle = -139.1995, collision = h0016B1_0000
x = 513.0367, y = 135, z = 208.9657, angle = 135.3282, collision = h0016B1_0000
x = 512.1335, y = 135, z = 209.8931, angle = 114.1261, collision = h0016B1_0000
x = 510.9314, y = 135, z = 210.7295, angle = 110.906, collision = h0016B1_0000
x = 509.7966, y = 135, z = 211.2581, angle = 81.91494, collision = h0016B1_0000
x = 508.9021, y = 135, z = 211.7208, angle = 97.72787, collision = h0016B1_0000
x = 507.5547, y = 135, z = 212.0277, angle = 117.4492, collision = h0016B1_0000
x = 506.2007, y = 135, z = 212.594, angle = 79.08815, collision = h0016B1_0000
x = 505.1465, y = 135, z = 212.1479, angle = -10.34043, collision = h0016B1_0000
x = 505.4531, y = 135, z = 210.733, angle = -24.75063, collision = h0016B1_0000
x = 506.0133, y = 135, z = 209.5348, angle = -52.39918, collision = h0016B1_0000
x = 506.1558, y = 135, z = 208.1228, angle = 17.40136, collision = h0016B1_0000
x = 505.9977, y = 135, z = 206.95, angle = -34.93131, collision = h0016B1_0000
x = 504.7723, y = 135, z = 209.4218, angle = 74.52144, collision = h0016B1_0000
x = 503.4036, y = 135, z = 208.878, angle = 67.9778, collision = h0016B1_0000
x = 502.1849, y = 135, z = 208.5242, angle = 93.38546, collision = h0016B1_0000
x = 500.7014, y = 135, z = 208.6389, angle = 99.83679, collision = h0016B1_0000
x = 499.4118, y = 135, z = 208.9075, angle = 173.4639, collision = h0016B1_0000
x = 501.4673, y = 135, z = 209.3149, angle = 175.0368, collision = h0016B1_0000
x = 500.7221, y = 135, z = 210.207, angle = 172.7342, collision = h0016B1_0000
x = 500.7581, y = 135, z = 211.6844, angle = -168.9568, collision = h0016B1_0000
x = 500.9307, y = 135, z = 212.993, angle = -175.3877, collision = h0016B1_0000
x = 501.1806, y = 135, z = 214.4481, angle = -179.2349, collision = h0016B1_0000
x = 501.064, y = 135, z = 215.6648, angle = 122.6559, collision = h0016B1_0000
x = 500.2245, y = 135, z = 216.5184, angle = -142.2128, collision = h0016B1_0000
x = 501.5369, y = 135, z = 216.5939, angle = -88.94398, collision = h0016B1_0000
x = 503.0072, y = 135, z = 216.5831, angle = -108.8519, collision = h0016B1_0000
x = 504.0916, y = 135, z = 216.4962, angle = -57.52656, collision = h0016B1_0000
x = 505.3506, y = 135, z = 215.7032, angle = -61.94121, collision = h0016B1_0000
x = 506.5344, y = 135, z = 215.2066, angle = -70.11853, collision = h0016B1_0000
x = 507.45, y = 135, z = 214.3571, angle = -13.3166, collision = h0016B1_0000
x = 504.9786, y = 135, z = 213.2223, angle = 126.243, collision = h0016B1_0000
x = 504.6089, y = 135, z = 214.2678, angle = -174.7152, collision = h0016B1_0000
x = 502.9549, y = 135, z = 217.7828, angle = 178.2124, collision = h0016B1_0000
x = 502.8764, y = 135.0001, z = 218.7888, angle = 167.1685, collision = h0035B1_0000
x = 502.6402, y = 135, z = 219.906, angle = 152.6024, collision = h0035B1_0000
x = 501.9029, y = 135, z = 220.724, angle = 74.50504, collision = h0035B1_0000
x = 500.8166, y = 135, z = 220.4555, angle = 89.7028, collision = h0035B1_0000
x = 499.7002, y = 135, z = 220.8266, angle = -127.6357, collision = h0035B1_0000
x = 500.6522, y = 135, z = 221.5555, angle = -80.93299, collision = h0035B1_0000
x = 503.972, y = 135, z = 220.4852, angle = -84.3265, collision = h0035B1_0000
x = 505.2972, y = 135, z = 220.2284, angle = -61.73423, collision = h0035B1_0000
x = 506.4635, y = 135, z = 219.9647, angle = -115.6432, collision = h0035B1_0000
x = 507.6508, y = 135, z = 220.5357, angle = -148.0078, collision = h0035B1_0000
x = 508.2507, y = 135, z = 221.7968, angle = -162.2319, collision = h0035B1_0000
x = 508.6944, y = 135, z = 223.1705, angle = 171.3877, collision = h0035B1_0000
x = 508.3524, y = 135, z = 224.2559, angle = 97.22399, collision = h0035B1_0000
x = 507.2699, y = 135, z = 224.9664, angle = -172.1312, collision = h0035B1_0000
x = 507.3012, y = 135, z = 226.05, angle = 109.7099, collision = h0035B1_0000
x = 505.9678, y = 135, z = 226.0087, angle = 86.3729, collision = h0035B1_0000
x = 504.6601, y = 134.3401, z = 225.9973, angle = 77.88626, collision = h0035B1_0000
x = 503.6977, y = 133.7901, z = 225.8895, angle = 61.80701, collision = h0035B1_0000
x = 502.4827, y = 133.0958, z = 225.4208, angle = 88.45571, collision = h0035B1_0000
x = 501.4915, y = 132.5294, z = 225.4294, angle = 88.38666, collision = h0035B1_0000
x = 500.1795, y = 132.2, z = 225.3141, angle = 37.11028, collision = h0035B1_0000
x = 499.7002, y = 131.9346, z = 224.1006, angle = 2.150895, collision = h0035B1_0000
x = 499.7221, y = 131.3701, z = 223.1128, angle = -18.41628, collision = h0035B1_0000
x = 500.0239, y = 130.6375, z = 221.8306, angle = -11.75488, collision = h0035B1_0000
x = 500.2005, y = 130.0833, z = 220.8608, angle = -27.82478, collision = h0035B1_0000
x = 500.497, y = 129.3586, z = 219.5926, angle = -16.22408, collision = h0035B1_0000
x = 501.1837, y = 129, z = 218.6897, angle = -163.9643, collision = h0035B1_0000
x = 501.5811, y = 129, z = 219.8107, angle = 167.9473, collision = h0035B1_0000
x = 501.5524, y = 129, z = 221.2422, angle = -156.8221, collision = h0035B1_0000
x = 502.0395, y = 129, z = 222.4709, angle = -157.3187, collision = h0035B1_0000
x = 502.5865, y = 129, z = 223.8544, angle = -126.0002, collision = h0035B1_0000
x = 503.603, y = 129, z = 224.55, angle = -112.1785, collision = h0035B1_0000
x = 504.988, y = 129, z = 224.55, angle = -95.97913, collision = h0035B1_0000
x = 506.3012, y = 129, z = 224.5058, angle = -62.15754, collision = h0035B1_0000
x = 506.7405, y = 129, z = 223.5615, angle = 58.07903, collision = h0035B1_0000
x = 505.6555, y = 129, z = 223.1083, angle = 99.56203, collision = h0035B1_0000
x = 504.1878, y = 129, z = 223.322, angle = 99.26358, collision = h0035B1_0000
x = 502.1996, y = 129, z = 218.9924, angle = -113.2006, collision = h0035B1_0000
x = 503.5973, y = 129, z = 219.4705, angle = -78.46979, collision = h0035B1_0000
x = 504.8999, y = 129, z = 219.3273, angle = -98.49547, collision = h0035B1_0000
x = 506.3749, y = 129, z = 219.506, angle = -99.7888, collision = h0035B1_0000
x = 507.6796, y = 129, z = 219.7211, angle = -94.56344, collision = h0035B1_0000
x = 509.1577, y = 129, z = 219.7953, angle = -88.06637, collision = h0035B1_0000
x = 510.4794, y = 129, z = 219.7438, angle = -87.51028, collision = h0035B1_0000
x = 511.965, y = 129, z = 219.7113, angle = -102.0921, collision = h0035B1_0000
x = 513.2602, y = 129, z = 219.9798, angle = -102.4879, collision = h0035B1_0000
x = 514.723, y = 129, z = 220.2363, angle = -92.42447, collision = h0035B1_0000
x = 516.0445, y = 129, z = 220.2923, angle = -92.79483, collision = h0035B1_0000
x = 517.5309, y = 129, z = 220.3648, angle = -92.79633, collision = h0035B1_0000
x = 518.8521, y = 129, z = 220.4318, angle = -92.68699, collision = h0035B1_0000
x = 520.3391, y = 129, z = 220.4447, angle = -78.92184, collision = h0035B1_0000
x = 521.6204, y = 129, z = 220.1619, angle = -42.79631, collision = h0035B1_0000
x = 522.5225, y = 129, z = 219.0113, angle = -3.084582, collision = h0035B1_0000
x = 522.571, y = 129.1283, z = 217.7222, angle = 6.98966, collision = h0035B1_0000
x = 522.2604, y = 129, z = 216.3762, angle = -0.439509, collision = h0035B1_0000
x = 522.239, y = 129, z = 215.0552, angle = -0.09067759, collision = h0035B1_0000
x = 521.8619, y = 129, z = 214.0397, angle = 22.52643, collision = h0035B1_0000
x = 521.3152, y = 129, z = 212.8608, angle = 6.051534, collision = h0035B1_0000
x = 521.1779, y = 129, z = 211.3886, angle = -12.81397, collision = h0035B1_0000
x = 521.4404, y = 129, z = 210.0925, angle = -7.717991, collision = h0035B1_0000
x = 521.5137, y = 129, z = 208.6565, angle = -0.035476, collision = h0035B1_0000
x = 521.5128, y = 129, z = 207.3338, angle = 1.122473, collision = h0035B1_0000
x = 521.48, y = 129, z = 205.8461, angle = 33.45435, collision = h0035B1_0000
x = 520.3027, y = 129, z = 205.8444, angle = 164.5667, collision = h0035B1_0000
x = 519.8432, y = 129, z = 207.242, angle = 111.9661, collision = h0035B1_0000
x = 518.6577, y = 129, z = 207.7182, angle = 76.43093, collision = h0035B1_0000
x = 517.2219, y = 129, z = 207.3506, angle = 72.4155, collision = h0035B1_0000
x = 515.9553, y = 129, z = 206.9709, angle = 92.66034, collision = h0035B1_0000
x = 514.4717, y = 129, z = 206.9781, angle = 83.06712, collision = h0035B1_0000
x = 513.1561, y = 129, z = 206.8428, angle = 84.82883, collision = h0035B1_0000
x = 511.6739, y = 129, z = 206.71, angle = 82.6713, collision = h0035B1_0000
x = 510.3596, y = 129, z = 206.5638, angle = 83.356, collision = h0035B1_0000
x = 508.8784, y = 129, z = 206.4261, angle = 85.7354, collision = h0035B1_0000
x = 507.5597, y = 129, z = 206.3256, angle = 85.56912, collision = h0035B1_0000
x = 506.0758, y = 129, z = 206.2147, angle = 87.42702, collision = h0035B1_0000
x = 504.7547, y = 129, z = 206.1511, angle = 88.39638, collision = h0035B1_0000
x = 503.2671, y = 129, z = 206.1153, angle = 90.00247, collision = h0035B1_0000
x = 501.9444, y = 129, z = 206.1199, angle = 91.85483, collision = h0035B1_0000
x = 500.54, y = 129, z = 206.46, angle = 137.8001, collision = h0035B1_0000
x = 499.7017, y = 129, z = 207.4664, angle = 176.9128, collision = h0035B1_0000
x = 499.9171, y = 129, z = 208.8172, angle = -84.14204, collision = h0035B1_0000
x = 501.1462, y = 129, z = 208.6603, angle = -35.34285, collision = h0035B1_0000
x = 502.2988, y = 129, z = 207.9375, angle = -108.093, collision = h0035B1_0000
x = 503.5487, y = 129, z = 208.359, angle = -112.6904, collision = h0035B1_0000
x = 504.734, y = 129, z = 209.0619, angle = -111.4885, collision = h0035B1_0000
x = 505.9513, y = 129, z = 209.576, angle = -92.7506, collision = h0035B1_0000
x = 506.9613, y = 129, z = 209.9246, angle = -31.25029, collision = h0035B1_0000
x = 508.1306, y = 129, z = 209.1348, angle = -78.12459, collision = h0035B1_0000
