x = -323.8972, y = -235.5255, z = 131.3129, angle = -78.64848, collision = h0000B2
x = -337.1788, y = -302.1441, z = 105.719, angle = -31.8903, collision = h0106B2
x = -336.5891, y = -302.2499, z = 104.7107, angle = -26.43964, collision = h0106B2
x = -336.1081, y = -302.327, z = 103.6328, angle = -19.30952, collision = h0106B2
x = -335.8773, y = -302.3504, z = 102.5374, angle = 18.39997, collision = h0106B2
x = -336.3609, y = -302.3473, z = 101.4817, angle = 31.93653, collision = h0106B2
x = -335.3274, y = -302.2988, z = 101.5587, angle = -38.249, collision = h0106B2
x = -334.3317, y = -308.3591, z = 102.5758, angle = -124.4351, collision = h0106B2
x = -332.0797, y = -312.6012, z = 104.472, angle = -124.4518, collision = h0106B2
x = -331.0619, y = -312.4491, z = 104.5022, angle = -94.89833, collision = h0106B2
x = -329.9769, y = -312.2728, z = 104.683, angle = -103.2772, collision = h0106B2
x = -328.7647, y = -312.0665, z = 104.983, angle = -103.9611, collision = h0106B2
x = -327.2758, y = -311.8146, z = 105.3354, angle = -103.51, collision = h0106B2
x = -325.9329, y = -311.4897, z = 105.6567, angle = -102.8314, collision = h0106B2
x = -324.5845, y = -311.1396, z = 105.9615, angle = -98.93148, collision = h0106B2
x = -323.3206, y = -310.7983, z = 106.155, angle = -97.40308, collision = h0106B2
x = -322.1384, y = -310.6382, z = 106.2572, angle = -87.95995, collision = h0106B2
x = -320.9995, y = -310.803, z = 106.2175, angle = -86.55594, collision = h0106B2
x = -319.9914, y = -310.7688, z = 106.1172, angle = -90.25632, collision = h0106B2
x = -318.8263, y = -310.7411, z = 106.1282, angle = -97.44547, collision = h0106B2
x = -317.679, y = -310.7646, z = 106.3287, angle = -101.6632, collision = h0106B2
x = -316.6204, y = -310.3691, z = 106.6301, angle = -119.3002, collision = h0106B2
x = -315.7099, y = -309.9035, z = 107.2782, angle = -139.6795, collision = h0106B2
x = -333.3788, y = -312.8911, z = 103.6694, angle = 63.79176, collision = h0106B2
x = -334.5832, y = -313.2197, z = 103.0052, angle = 60.84871, collision = h0106B2
x = -335.8087, y = -313.6379, z = 102.3859, angle = 72.71323, collision = h0106B2
x = -337.1292, y = -314.0278, z = 101.989, angle = 78.57169, collision = h0106B2
x = -338.4835, y = -314.223, z = 101.7263, angle = 88.10258, collision = h0106B2
x = -339.5566, y = -314.3518, z = 101.6929, angle = 105.4879, collision = h0106B2
x = -340.7549, y = -314.4715, z = 102.2787, angle = 130.4261, collision = h0106B2
x = -341.5413, y = -314.5499, z = 102.9942, angle = 124.7366, collision = h0106B2
x = -322.1437, y = -310.6289, z = 107.3598, angle = -169.8064, collision = h0106B2
x = -322.0944, y = -311.1613, z = 107.6333, angle = -169.8723, collision = h0106B2
x = -322.0519, y = -312.2496, z = 107.8703, angle = -169.8981, collision = h0106B2
x = -321.8722, y = -316.9989, z = 108.8758, angle = -169.8981, collision = h0106B2
x = -322.7614, y = -316.7834, z = 108.3043, angle = 15.04218, collision = h0106B2
x = -321.7944, y = -317.3713, z = 110.0071, angle = -176.2618, collision = h0106B2
x = -321.7758, y = -317.6829, z = 111.0362, angle = 151.6362, collision = h0106B2
x = -322.3482, y = -318.177, z = 111.9788, angle = 140.0193, collision = h0106B2
x = -322.9802, y = -318.4745, z = 112.7943, angle = 125.572, collision = h0106B2
x = -323.8958, y = -318.8514, z = 113.4048, angle = 105.9832, collision = h0106B2
x = -324.9579, y = -319.3075, z = 113.8237, angle = 124.1246, collision = h0106B2
x = -325.9986, y = -319.7711, z = 114.3327, angle = 110.7169, collision = h0106B2
x = -326.7429, y = -320.2752, z = 114.5492, angle = 91.28415, collision = h0106B2
x = -327.8502, y = -320.4986, z = 114.5036, angle = 84.21677, collision = h0106B2
x = -328.9216, y = -320.7335, z = 114.5448, angle = 84.06621, collision = h0106B2
x = -329.8874, y = -320.8519, z = 113.9487, angle = 13.32752, collision = h0106B2
x = -330.5374, y = -320.9826, z = 112.9392, angle = 21.18156, collision = h0106B2
x = -331.675, y = -321.7681, z = 112.903, angle = 99.95351, collision = h0001B2
x = -332.8056, y = -325.1419, z = 113.0875, angle = 99.95351, collision = h0001B2
x = -333.6932, y = -325.3194, z = 113.5788, angle = 137.4899, collision = h0001B2
x = -334.6012, y = -325.4228, z = 114.3399, angle = 126.4515, collision = h0001B2
x = -335.5028, y = -325.5576, z = 115.0341, angle = 123.0069, collision = h0001B2
x = -336.4409, y = -332.0998, z = 111.4707, angle = 48.05049, collision = h0001B2
x = -339.9119, y = -332.7225, z = 111.3284, angle = -27.67776, collision = h0001B2
x = -339.222, y = -332.7204, z = 110.1428, angle = -35.34404, collision = h0001B2
x = -338.6609, y = -332.9025, z = 106.653, angle = 6.979975, collision = h0001B2
x = -338.7094, y = -333.0002, z = 105.3043, angle = -26.34722, collision = h0001B2
x = -336.9515, y = -332.829, z = 103.3195, angle = -55.60947, collision = h0001B2
x = -336.0456, y = -332.7318, z = 102.806, angle = -73.53101, collision = h0001B2
x = -334.8281, y = -332.6446, z = 102.4783, angle = -86.82997, collision = h0001B2
x = -333.2857, y = -332.3611, z = 101.6061, angle = -55.44017, collision = h0001B2
x = -332.126, y = -332.4009, z = 100.8719, angle = -64.11961, collision = h0001B2
x = -326.9432, y = -332.2198, z = 101.1744, angle = -57.07225, collision = h0001B2
x = -325.7253, y = -332.4299, z = 100.5454, angle = -80.1463, collision = h0001B2
x = -324.3623, y = -332.5919, z = 100.4076, angle = -90.46013, collision = h0001B2
x = -323.2317, y = -332.7712, z = 100.4122, angle = -87.30798, collision = h0001B2
x = -322.129, y = -332.8875, z = 100.3493, angle = -70.50453, collision = h0001B2
x = -320.8234, y = -332.7747, z = 99.90528, angle = -82.70262, collision = h0001B2
x = -318.2575, y = -333.089, z = 102.7743, angle = -160.1964, collision = h0001B2
x = -317.8547, y = -333.1447, z = 103.9105, angle = -161.3069, collision = h0001B2
x = -313.9233, y = -333.2007, z = 112.6407, angle = -108.9048, collision = h0001B2
x = -312.8992, y = -333.1871, z = 113.0331, angle = -87.77125, collision = h0001B2
x = -313.7504, y = -333.1642, z = 111.5057, angle = -45.13616, collision = h0001B2
x = -311.1574, y = -344.9417, z = 111.3735, angle = -131.1161, collision = h0205B2
x = -312.1169, y = -345.0699, z = 110.93, angle = 124.7049, collision = h0205B2
x = -312.7349, y = -344.8294, z = 111.759, angle = 108.0874, collision = h0205B2
x = -314.0337, y = -344.6143, z = 111.2773, angle = 54.97136, collision = h0201B2
x = -315.0384, y = -344.5585, z = 111.2147, angle = 94.71915, collision = h0201B2
x = -316.2789, y = -344.5366, z = 111.1963, angle = 73.63248, collision = h0205B2
x = -317.4862, y = -344.4706, z = 110.9041, angle = 73.72847, collision = h0205B2
x = -318.3969, y = -344.0917, z = 110.4499, angle = 58.90303, collision = h0201B2
x = -318.8707, y = -343.7528, z = 109.3843, angle = 8.330317, collision = h0201B2
x = -319.1894, y = -343.6891, z = 108.1079, angle = 27.97611, collision = h0201B2
x = -319.8504, y = -343.8351, z = 107.0679, angle = 32.84037, collision = h0201B2
x = -319.1773, y = -344.0789, z = 106.2485, angle = -80.5914, collision = h0201B2
x = -318.1723, y = -344.2996, z = 105.7962, angle = -43.82408, collision = h0201B2
x = -317.385, y = -344.4483, z = 104.9991, angle = -61.59773, collision = h0201B2
x = -316.3144, y = -344.6158, z = 104.763, angle = -108.0844, collision = h0201B2
x = -318.4212, y = -344.1742, z = 106.9074, angle = 147.9344, collision = h0201B2
x = -319.7675, y = -343.7024, z = 110.9062, angle = 83.20763, collision = h0201B2
x = -320.8669, y = -343.2493, z = 110.6113, angle = 58.68926, collision = h0201B2
x = -321.9302, y = -343.0876, z = 111.1843, angle = -154.2694, collision = h0201B2
x = -321.5154, y = -343.2436, z = 112.1378, angle = -120.6036, collision = h0201B2
x = -320.4169, y = -343.6718, z = 112.8236, angle = 179.7417, collision = h0201B2
x = -320.1712, y = -343.8376, z = 114.1448, angle = 152.4048, collision = h0201B2
x = -321.3184, y = -343.6172, z = 114.6761, angle = 41.50102, collision = h0201B2
x = -322.1024, y = -343.3047, z = 113.8854, angle = 54.49207, collision = h0201B2
x = -323.1773, y = -343.2421, z = 114.5766, angle = -163.7446, collision = h0201B2
x = -322.9984, y = -343.4019, z = 115.5609, angle = -163.2749, collision = h0201B2
x = -322.9685, y = -343.6808, z = 116.7562, angle = 85.54791, collision = h0201B2
x = -324.256, y = -343.4509, z = 116.5116, angle = 55.98447, collision = h0201B2
x = -324.4064, y = -343.1534, z = 115.4253, angle = -33.22576, collision = h0201B2
x = -325.3784, y = -343.5417, z = 117.06, angle = 96.74694, collision = h0201B2
x = -326.7498, y = -343.5848, z = 117.2152, angle = 96.41608, collision = h0201B2
x = -327.9911, y = -343.5484, z = 117.3341, angle = 87.2007, collision = h0201B2
x = -329.0489, y = -343.4167, z = 117.2823, angle = -11.65714, collision = h0201B2
x = -329.0052, y = -343.1623, z = 116.25, angle = -3.110004, collision = h0201B2
x = -329.3428, y = -343.0506, z = 115.2921, angle = 90.47143, collision = h0201B2
x = -330.5455, y = -343.0528, z = 115.4677, angle = 93.62572, collision = h0201B2
x = -331.652, y = -343.3643, z = 115.504, angle = 91.09349, collision = h0201B2
x = -332.8713, y = -343.6213, z = 115.5324, angle = 68.60728, collision = h0201B2
x = -333.9997, y = -343.5924, z = 114.9973, angle = 35.58237, collision = h0201B2
x = -335.0596, y = -343.8835, z = 114.2543, angle = 105.5237, collision = h0201B2
x = -335.3831, y = -343.9126, z = 113.1391, angle = 28.37184, collision = h0201B2
x = -336.4, y = -344.0879, z = 112.8436, angle = 143.8296, collision = h0201B2
x = -337.0702, y = -344.278, z = 113.7474, angle = 142.0251, collision = h0201B2
x = -337.1707, y = -344.1222, z = 112.1165, angle = -28.27213, collision = h0201B2
x = -336.256, y = -343.6815, z = 111.5703, angle = -86.32926, collision = h0201B2
x = -335.1442, y = -343.5739, z = 111.4493, angle = -82.13678, collision = h0201B2
x = -333.9499, y = -343.3892, z = 111.3354, angle = -94.33858, collision = h0201B2
x = -332.851, y = -342.9839, z = 111.4071, angle = -78.90293, collision = h0201B2
x = -334.1511, y = -343.3261, z = 110.1681, angle = 40.94795, collision = h0201B2
x = -335.058, y = -343.5387, z = 109.1278, angle = 42.86401, collision = h0201B2
x = -336.0134, y = -343.8356, z = 108.134, angle = 8.900501, collision = h0201B2
x = -336.0811, y = -343.9752, z = 106.8809, angle = -67.58274, collision = h0201B2
x = -335.1065, y = -343.8008, z = 106.4563, angle = -66.51865, collision = h0201B2
x = -336.3812, y = -344.1674, z = 105.8861, angle = 62.3628, collision = h0201B2
x = -337.496, y = -344.5313, z = 105.1041, angle = 53.63256, collision = h0205B2
x = -338.5694, y = -344.5868, z = 104.2374, angle = 26.12303, collision = h0205B2
x = -339.234, y = -344.5545, z = 103.0207, angle = 22.19888, collision = h0205B2
x = -339.7609, y = -344.4698, z = 101.7442, angle = 20.87346, collision = h0205B2
x = -340.1274, y = -344.4057, z = 100.607, angle = 13.29912, collision = h0205B2
x = -340.3727, y = -344.3559, z = 99.52811, angle = 11.91826, collision = h0205B2
x = -340.5659, y = -344.3322, z = 98.51421, angle = -2.015466, collision = h0205B2
x = -340.4848, y = -344.3239, z = 97.40874, angle = 10.55775, collision = h0205B2
x = -340.6143, y = -344.351, z = 96.27009, angle = -4.132073, collision = h0205B2
x = -340.4953, y = -344.4086, z = 95.23996, angle = -0.4398369, collision = h0205B2
x = -340.4831, y = -344.467, z = 94.208, angle = -4.972228, collision = h0205B2
x = -336.5301, y = -344.4599, z = 104.5762, angle = -94.20958, collision = h0201B2
x = -335.3692, y = -343.9654, z = 104.7293, angle = -88.90222, collision = h0201B2
x = -334.211, y = -343.7084, z = 104.6234, angle = -61.70004, collision = h0201B2
x = -333.2949, y = -343.546, z = 103.9178, angle = -53.78786, collision = h0201B2
x = -332.4208, y = -343.2481, z = 103.2051, angle = -51.53128, collision = h0201B2
x = -331.6428, y = -343.4744, z = 102.5189, angle = -34.34376, collision = h0201B2
x = -331.2245, y = -344.0152, z = 101.449, angle = -10.22169, collision = h0201B2
x = -331.2802, y = -344.2558, z = 100.358, angle = 23.08599, collision = h0201B2
x = -331.6969, y = -344.3947, z = 99.41988, angle = 24.18306, collision = h0201B2
x = -331.881, y = -344.6378, z = 98.37828, angle = -28.08915, collision = h0201B2
x = -331.1425, y = -344.9721, z = 97.63474, angle = -102.7078, collision = h0201B2
x = -330.2417, y = -344.8322, z = 98.3272, angle = -130.6252, collision = h0201B2
x = -329.5676, y = -344.5872, z = 99.12165, angle = -147.3421, collision = h0201B2
x = -332.151, y = -345.084, z = 97.14658, angle = 51.65685, collision = h0201B2
x = -328.793, y = -343.9993, z = 100.2634, angle = -133.0715, collision = h0201B2
x = -327.7372, y = -343.8679, z = 101.1353, angle = -108.1401, collision = h0201B2
x = -326.7244, y = -343.8557, z = 101.6074, angle = -122.9107, collision = h0201B2
x = -325.196, y = -343.8243, z = 101.5817, angle = -106.7981, collision = h0201B2
x = -323.8911, y = -343.9547, z = 101.886, angle = -137.3389, collision = h0201B2
x = -323.1571, y = -343.8197, z = 102.6181, angle = -162.5261, collision = h0201B2
x = -322.7154, y = -343.5857, z = 103.9272, angle = -149.7723, collision = h0201B2
x = -322.0305, y = -343.4873, z = 105.1239, angle = -145.7747, collision = h0201B2
x = -321.3713, y = -343.3249, z = 105.9247, angle = -108.5692, collision = h0201B2
x = -323.291, y = -343.3513, z = 104.8775, angle = 59.63814, collision = h0201B2
x = -324.6458, y = -343.4102, z = 103.7123, angle = 42.73185, collision = h0201B2
x = -325.3389, y = -343.4706, z = 102.9081, angle = 32.69713, collision = h0201B2
x = -330.2736, y = -344.2853, z = 99.86339, angle = 71.75603, collision = h0201B2
x = -334.412, y = -352.8042, z = 96.11054, angle = 62.17919, collision = h0205B2
x = -333.3999, y = -352.6497, z = 96.46671, angle = -114.4701, collision = h0205B2
x = -332.4374, y = -352.5933, z = 96.99967, angle = -102.0345, collision = h0205B2
x = -331.4269, y = -352.6181, z = 97.22326, angle = -109.7617, collision = h0205B2
x = -330.4209, y = -352.5869, z = 97.66662, angle = -116.9244, collision = h0205B2
x = -329.2483, y = -352.6891, z = 97.98479, angle = -94.30043, collision = h0205B2
x = -328.2757, y = -352.7979, z = 98.29926, angle = -74.10195, collision = h0205B2
x = -329.8987, y = -386.2189, z = 102.7414, angle = -158.1865, collision = h0209B2
x = -337.7764, y = -333.2054, z = 98.35332, angle = 173, collision = h0001B2
x = -335.6274, y = -332.8689, z = 100.8883, angle = -108.095, collision = h0001B2
x = -332.3919, y = -332.0356, z = 102.378, angle = -136.6408, collision = h0001B2
x = -330.9814, y = -343.2429, z = 103.4147, angle = -138.3846, collision = h0201B2
x = -334.0703, y = -343.5807, z = 105.6152, angle = 164.8443, collision = h0201B2
x = -334.9353, y = -343.5734, z = 107.4793, angle = 144.6648, collision = h0201B2
x = -336.0824, y = -343.8691, z = 109.4996, angle = 159.3786, collision = h0201B2
x = -336.4565, y = -343.7794, z = 110.5079, angle = 159.3513, collision = h0201B2
x = -337.784, y = -344.4446, z = 114.9029, angle = 162.1614, collision = h0201B2
x = -338.1997, y = -344.4885, z = 116.2189, angle = -171.0261, collision = h0205B2
x = -338.138, y = -344.5658, z = 117.2767, angle = -168.9141, collision = h0205B2
x = -337.4019, y = -344.5741, z = 118.1231, angle = -108.7976, collision = h0201B2
x = -336.1422, y = -345.1503, z = 118.5428, angle = -145.9767, collision = h0205B2
x = -335.4945, y = -345.6931, z = 119.3938, angle = -147.0242, collision = h0205B2
x = -334.8741, y = -346.0529, z = 120.2589, angle = -98.9137, collision = h0205B2
x = -333.6509, y = -346.5649, z = 120.3766, angle = -107.7305, collision = h0205B2
x = -332.1958, y = -347.2666, z = 120.8437, angle = -99.04958, collision = h0205B2
x = -330.8388, y = -347.9682, z = 120.9944, angle = -82.43172, collision = h0205B2
x = -329.778, y = -348.5117, z = 120.8013, angle = -51.96416, collision = h0205B2
x = -328.8532, y = -348.8779, z = 120.0941, angle = -61.94902, collision = h0205B2
x = -327.7144, y = -349.3272, z = 119.6076, angle = -66.61541, collision = h0205B2
x = -326.4458, y = -349.8478, z = 119.0663, angle = -67.4482, collision = h0205B2
x = -325.255, y = -350.3538, z = 118.3895, angle = -48.3888, collision = h0205B2
x = -324.2341, y = -350.899, z = 117.4605, angle = -42.29758, collision = h0205B2
x = -323.1303, y = -351.66, z = 116.3969, angle = -47.59093, collision = h0205B2
x = -322.2672, y = -352.2624, z = 115.3488, angle = -16.70028, collision = h0205B2
x = -321.9854, y = -352.6718, z = 114.1252, angle = 11.20588, collision = h0205B2
x = -322.3103, y = -352.8613, z = 113.0515, angle = 20.10946, collision = h0205B2
x = -322.7366, y = -352.9621, z = 112.1427, angle = 45.56136, collision = h0205B2
x = -323.279, y = -353.2486, z = 111.2014, angle = 12.55588, collision = h0205B2
x = -323.5712, y = -353.2221, z = 110.0102, angle = 28.97099, collision = h0205B2
x = -324.2578, y = -353.2646, z = 109.1678, angle = 36.22794, collision = h0205B2
x = -324.9364, y = -353.3185, z = 108.2244, angle = 34.87766, collision = h0205B2
x = -325.7787, y = -353.3398, z = 107.4406, angle = 70.64999, collision = h0205B2
x = -326.7095, y = -353.3157, z = 106.996, angle = 57.78881, collision = h0205B2
x = -327.8885, y = -353.4211, z = 106.2777, angle = 57.74029, collision = h0205B2
x = -329.2423, y = -353.6143, z = 105.5758, angle = 87.31387, collision = h0205B2
x = -330.6098, y = -353.7124, z = 105.5601, angle = 108.2469, collision = h0205B2
x = -331.7923, y = -353.8993, z = 105.8543, angle = 106.3591, collision = h0205B2
x = -333.0232, y = -354.116, z = 106.3836, angle = 123.1797, collision = h0205B2
x = -334.062, y = -354.6765, z = 106.9935, angle = 116.6056, collision = h0205B2
x = -335.0226, y = -355.0548, z = 107.4718, angle = 116.6011, collision = h0205B2
x = -336.2504, y = -355.7902, z = 108.0984, angle = 124.5201, collision = h0205B2
x = -337.3755, y = -356.3479, z = 108.8948, angle = 132.5398, collision = h0205B2
x = -338.3789, y = -356.9731, z = 109.8421, angle = 151.0674, collision = h0205B2
x = -339.0551, y = -357.5077, z = 111.0293, angle = 177.0216, collision = h0205B2
x = -339.1546, y = -357.8504, z = 112.0943, angle = 157.1513, collision = h0205B2
x = -339.6183, y = -358.4702, z = 113.3926, angle = 171.5609, collision = h0205B2
x = -339.6932, y = -359.0928, z = 114.748, angle = -165.2415, collision = h0205B2
x = -339.3474, y = -359.7305, z = 116.0825, angle = -168.8221, collision = h0205B2
x = -339.074, y = -360.2732, z = 117.4345, angle = -167.884, collision = h0205B2
x = -338.8297, y = -360.5276, z = 118.4816, angle = -144.7328, collision = h0205B2
x = -338.0196, y = -360.8465, z = 119.5686, angle = -114.6985, collision = h0205B2
x = -337.1115, y = -361.1067, z = 120.0572, angle = -104.1025, collision = h0205B2
x = -336.0207, y = -361.4831, z = 120.422, angle = -105.0563, collision = h0205B2
x = -334.9834, y = -361.7584, z = 120.59, angle = -92.28723, collision = h0205B2
x = -333.6021, y = -362.0714, z = 120.6323, angle = -98.46623, collision = h0205B2
x = -332.236, y = -362.2994, z = 120.8116, angle = -95.94947, collision = h0205B2
x = -330.8597, y = -362.4528, z = 120.9053, angle = -79.22614, collision = h0205B2
x = -329.3648, y = -362.6411, z = 120.5732, angle = -70.36257, collision = h0205B2
x = -328.0545, y = -362.8644, z = 120.1458, angle = -71.13884, collision = h0205B2
x = -326.7823, y = -363.0587, z = 119.63, angle = -37.05709, collision = h0205B2
x = -326.0412, y = -363.2449, z = 118.5487, angle = -19.69331, collision = h0205B2
x = -325.5876, y = -363.4154, z = 117.5168, angle = -27.30544, collision = h0205B2
x = -325.0028, y = -363.5788, z = 116.5555, angle = -2.506939, collision = h0205B2
x = -324.7632, y = -363.9689, z = 115.4222, angle = -11.56451, collision = h0205B2
x = -324.5325, y = -364.4213, z = 114.338, angle = -21.59691, collision = h0205B2
x = -323.9815, y = -364.8479, z = 113.2775, angle = -32.61108, collision = h0205B2
x = -323.3249, y = -365.1874, z = 112.3941, angle = -49.19402, collision = h0205B2
x = -322.737, y = -365.7723, z = 111.9076, angle = -92.00465, collision = h0205B2
x = -321.5844, y = -366.0594, z = 111.8363, angle = -75.98396, collision = h0205B2
x = -320.4378, y = -366.4015, z = 111.6668, angle = -67.4948, collision = h0205B2
x = -319.3298, y = -366.7542, z = 111.2727, angle = -81.66566, collision = h0205B2
x = -318.2285, y = -367.1464, z = 111.1317, angle = -66.80773, collision = h0205B2
x = -317.011, y = -367.5468, z = 110.5375, angle = -26.33266, collision = h0206B2
x = -316.8826, y = -367.5768, z = 109.5172, angle = 76.79694, collision = h0206B2
x = -317.8313, y = -367.722, z = 109.1347, angle = 43.79853, collision = h0206B2
x = -318.7648, y = -367.8936, z = 108.1391, angle = 24.35125, collision = h0206B2
x = -319.3713, y = -368.1215, z = 106.8984, angle = 33.84758, collision = h0206B2
x = -320.0887, y = -368.2948, z = 105.7207, angle = 61.54873, collision = h0206B2
x = -320.9385, y = -368.5156, z = 105.1368, angle = 72.8318, collision = h0206B2
x = -322.2753, y = -368.9656, z = 104.8137, angle = 95.24487, collision = h0206B2
x = -323.6532, y = -369.328, z = 104.8738, angle = 86.13309, collision = h0206B2
x = -324.9786, y = -369.6227, z = 104.764, angle = 68.26452, collision = h0206B2
x = -325.9286, y = -369.8207, z = 104.2988, angle = 65.27604, collision = h0206B2
x = -327.2018, y = -370.1027, z = 104.58, angle = 110.7004, collision = h0206B2
x = -328.4831, y = -370.3966, z = 105.095, angle = 118.8029, collision = h0206B2
x = -329.5678, y = -370.7601, z = 105.9082, angle = 117.5769, collision = h0206B2
x = -330.7957, y = -371.174, z = 106.5344, angle = 108.9477, collision = h0206B2
x = -332.0112, y = -371.4864, z = 107.1513, angle = 151.8083, collision = h0206B2
x = -332.6112, y = -371.7177, z = 108.1402, angle = 157.9008, collision = h0206B2
x = -333.2132, y = -371.9875, z = 109.025, angle = 179.5597, collision = h0206B2
x = -333.4587, y = -372.3691, z = 110.0522, angle = 172.1844, collision = h0206B2
x = -333.2957, y = -372.7617, z = 111.1987, angle = -163.2215, collision = h0206B2
x = -332.9293, y = -373.1934, z = 112.5232, angle = 179.2227, collision = h0206B2
x = -332.9726, y = -373.634, z = 113.9004, angle = 162.7881, collision = h0206B2
x = -333.2813, y = -374.025, z = 114.9607, angle = 149.2716, collision = h0206B2
x = -334.0697, y = -374.3502, z = 115.7219, angle = 122.2435, collision = h0206B2
x = -335.0853, y = -374.6993, z = 116.3255, angle = 104.8334, collision = h0206B2
x = -336.1541, y = -375.0998, z = 116.581, angle = 82.71613, collision = h0206B2
x = -337.1618, y = -375.6578, z = 116.3709, angle = 90.43694, collision = h0206B2
x = -338.2461, y = -376.0107, z = 116.4652, angle = 98.44238, collision = h0206B2
x = -335.5333, y = -374.7575, z = 117.4567, angle = 150.6978, collision = h0208B2
x = -336.2119, y = -374.2791, z = 118.6589, angle = 178.3654, collision = h0208B2
x = -336.2576, y = -373.7657, z = 119.7875, angle = -143.4764, collision = h0208B2
x = -335.6279, y = -373.4163, z = 120.5662, angle = -97.62595, collision = h0208B2
x = -335.2394, y = -373.6483, z = 119.3544, angle = -101.6137, collision = h0208B2
x = -334.234, y = -373.6385, z = 119.5282, angle = -129.4199, collision = h0208B2
x = -333.5502, y = -373.5594, z = 120.2823, angle = -156.7162, collision = h0208B2
x = -333.0993, y = -373.5811, z = 121.271, angle = -152.3056, collision = h0208B2
x = -332.2752, y = -373.9091, z = 120.5518, angle = -98.72611, collision = h0208B2
x = -329.8823, y = -375.2895, z = 121.4957, angle = -134.9333, collision = h0208B2
x = -330.6524, y = -374.8228, z = 122.6134, angle = 99.38258, collision = h0208B2
x = -331.9719, y = -374.2674, z = 123.0068, angle = 104.4481, collision = h0208B2
x = -332.9779, y = -373.9198, z = 123.0461, angle = -1.689953, collision = h0208B2
x = -329.1506, y = -375.8718, z = 120.7081, angle = -111.6151, collision = h0208B2
x = -328.2499, y = -376.1764, z = 121.2798, angle = -126.9554, collision = h0208B2
x = -327.3825, y = -376.6188, z = 121.9108, angle = -123.9677, collision = h0208B2
x = -326.0888, y = -376.9169, z = 122.5762, angle = -102.9292, collision = h0208B2
x = -325.0178, y = -377.3372, z = 122.6213, angle = -106.8546, collision = h0208B2
x = -324.1891, y = -377.9875, z = 122.8823, angle = -113.9677, collision = h0208B2
x = -328.3272, y = -376.1813, z = 122.4517, angle = 102.7358, collision = h0208B2
x = -329.2362, y = -375.8155, z = 123.0844, angle = -163.1217, collision = h0208B2
x = -325.8722, y = -376.9352, z = 121.5063, angle = -117.7137, collision = h0208B2
x = -323.1962, y = -378.1534, z = 122.0957, angle = -12.61342, collision = h0208B2
x = -323.0289, y = -378.6966, z = 120.7449, angle = -11.51237, collision = h0208B2
x = -322.6385, y = -379.0423, z = 119.5904, angle = -43.37818, collision = h0002B2
x = -323.1233, y = -379.1355, z = 118.6966, angle = -51.58655, collision = h0002B2
x = -321.3843, y = -379.2373, z = 119.9135, angle = -39.48099, collision = h0002B2
x = -321.2631, y = -379.1199, z = 118.821, angle = 47.20517, collision = h0002B2
x = -322.2561, y = -379.2371, z = 117.8719, angle = -10.30749, collision = h0002B2
x = -321.993, y = -379.5977, z = 116.6973, angle = -105.0716, collision = h0002B2
x = -320.9653, y = -379.7045, z = 116.9202, angle = -114.3833, collision = h0002B2
x = -319.6983, y = -380.0995, z = 117.4635, angle = -70.479, collision = h0002B2
x = -318.7081, y = -380.3095, z = 116.8345, angle = 18.93712, collision = h0002B2
x = -319.1423, y = -380.174, z = 115.7416, angle = 57.6613, collision = h0002B2
x = -319.4156, y = -380.4651, z = 114.6439, angle = -16.46193, collision = h0002B2
x = -319.1893, y = -380.977, z = 113.9299, angle = -18.76644, collision = h0002B2
x = -319.1949, y = -381.1589, z = 112.8122, angle = 46.44947, collision = h0200B2
x = -320.0915, y = -380.8944, z = 112.0857, angle = 94.68926, collision = h0200B2
x = -321.0909, y = -381.0509, z = 112.2127, angle = 126.8291, collision = h0200B2
x = -321.9637, y = -381.4189, z = 112.7295, angle = 112.2585, collision = h0200B2
x = -318.8807, y = -381.1297, z = 111.6562, angle = 35.16224, collision = h0200B2
x = -319.4839, y = -381.1067, z = 110.7267, angle = 69.53718, collision = h0200B2
x = -320.5236, y = -381.1561, z = 110.4135, angle = 75.02346, collision = h0200B2
x = -319.8259, y = -381.4847, z = 109.4379, angle = -26.08752, collision = h0200B2
x = -319.4881, y = -382.0264, z = 108.8629, angle = -44.49395, collision = h0200B2
x = -318.6643, y = -382.2622, z = 108.0404, angle = -55.24084, collision = h0200B2
x = -317.7895, y = -382.6752, z = 107.4333, angle = -34.95671, collision = h0200B2
x = -317.2476, y = -383.2697, z = 106.7236, angle = -20.1276, collision = h0200B2
x = -316.7419, y = -383.5927, z = 105.2767, angle = 28.29634, collision = h0200B2
x = -318.0129, y = -383.3957, z = 105.5103, angle = 144.3876, collision = h0200B2
x = -318.66, y = -383.0966, z = 106.6711, angle = -151.8338, collision = h0200B2
x = -319.1089, y = -383.313, z = 105.4589, angle = 42.71888, collision = h0200B2
x = -319.9968, y = -382.963, z = 104.4116, angle = 112.2552, collision = h0200B2
x = -321.1336, y = -383.0974, z = 104.8643, angle = 53.20862, collision = h0200B2
x = -321.8218, y = -383.3725, z = 104.104, angle = -32.43621, collision = h0200B2
x = -321.0868, y = -383.3795, z = 102.947, angle = 2.820103, collision = h0200B2
x = -321.0878, y = -383.9825, z = 102.103, angle = 44.53184, collision = h0200B2
x = -322.1464, y = -383.6965, z = 101.358, angle = 46.09807, collision = h0200B2
x = -322.6779, y = -383.7726, z = 100.4765, angle = 6.205268, collision = h0200B2
