x = 87.86724, y = 13.22756, z = 118.8088, angle = -178.0423, collision = h0001B0_0000
x = 85.81841, y = 45.24999, z = 189.5143, angle = 80.01606, collision = h0100B0_0000
x = 84.57883, y = 45.24999, z = 189.2751, angle = 115.873, collision = h0100B0_0000
x = 83.45229, y = 45.24999, z = 189.819, angle = -174.3797, collision = h0100B0_0000
x = 83.41023, y = 45.24999, z = 191.0812, angle = -142.5776, collision = h0100B0_0000
x = 84.1462, y = 45.24999, z = 192.0991, angle = -109.2083, collision = h0100B0_0000
x = 85.18325, y = 45.24999, z = 192.5993, angle = -88.12112, collision = h0100B0_0000
x = 87.76537, y = 45.24999, z = 192.3022, angle = -71.19865, collision = h0100B0_0000
x = 88.94168, y = 45.24999, z = 191.9948, angle = -153.7282, collision = h0100B0_0000
x = 87.71806, y = 45.25, z = 195.696, angle = 55.2388, collision = h0100B0_0000
x = 86.59949, y = 45.25, z = 195.0864, angle = 69.09576, collision = h0100B0_0000
x = 85.40329, y = 45.24999, z = 194.5239, angle = 85.50215, collision = h0100B0_0000
x = 84.35992, y = 45.24999, z = 194.3857, angle = 84.82298, collision = h0100B0_0000
x = 82.97111, y = 45.24999, z = 194.2632, angle = 87.99815, collision = h0100B0_0000
x = 81.74422, y = 45.24999, z = 194.2191, angle = 100.0152, collision = h0100B0_0000
x = 80.37328, y = 45.24999, z = 194.3919, angle = 70.78696, collision = h0100B0_0000
x = 79.18822, y = 45.24999, z = 194.0523, angle = 69.12971, collision = h0100B0_0000
x = 77.91409, y = 45.24999, z = 193.575, angle = 74.50913, collision = h0100B0_0000
x = 76.71962, y = 45.24999, z = 193.2137, angle = 78.16995, collision = h0100B0_0000
x = 75.42641, y = 45.24999, z = 193.1461, angle = 85.14382, collision = h0100B0_0000
x = 74.33369, y = 45.28478, z = 193.0481, angle = 87.60703, collision = h0100B0_0000
x = 72.40135, y = 45.25, z = 193.1461, angle = 95.21533, collision = h0100B0_0000
x = 71.15413, y = 45.25, z = 193.3117, angle = 121.8603, collision = h0100B0_0000
x = 70.02857, y = 45.25, z = 193.9815, angle = 160.6137, collision = h0100B0_0000
x = 69.51154, y = 45.25, z = 195.0686, angle = -108.7119, collision = h0100B0_0000
x = 70.605, y = 45.25, z = 195.5835, angle = -56.28508, collision = h0100B0_0000
x = 71.77318, y = 45.25, z = 194.9734, angle = -28.94047, collision = h0100B0_0000
x = 76.15015, y = 45.90147, z = 192.8326, angle = -122.3088, collision = h0100B0_0000
x = 77.62312, y = 45.24999, z = 194.8405, angle = 129.5446, collision = h0100B0_0000
x = 76.74054, y = 45.24999, z = 195.7246, angle = 89.52074, collision = h0100B0_0000
x = 75.49343, y = 45.24999, z = 195.8266, angle = 86.03477, collision = h0100B0_0000
x = 74.13161, y = 45.25, z = 195.7393, angle = 93.26177, collision = h0100B0_0000
x = 73.08054, y = 45.25, z = 195.7838, angle = 95.46255, collision = h0100B0_0000
x = 70.45963, y = 45.25, z = 196.921, angle = -138.4416, collision = h0100B0_0000
x = 71.2675, y = 45.25, z = 197.9794, angle = -79.34784, collision = h0100B0_0000
x = 72.47018, y = 45.25, z = 197.8904, angle = -47.85236, collision = h0100B0_0000
x = 73.56499, y = 45.25, z = 197.034, angle = -79.50971, collision = h0100B0_0000
x = 74.73636, y = 45.25, z = 196.7001, angle = -89.17028, collision = h0100B0_0000
x = 76.1208, y = 45.25, z = 196.644, angle = -96.05027, collision = h0100B0_0000
x = 77.35113, y = 45.24999, z = 196.7571, angle = -104.0794, collision = h0100B0_0000
x = 78.42284, y = 45.24999, z = 196.9964, angle = -149.1042, collision = h0100B0_0000
x = 79.15531, y = 45.24999, z = 197.9838, angle = 143.4863, collision = h0100B0_0000
x = 78.53771, y = 45.24999, z = 199.0665, angle = 122.4617, collision = h0100B0_0000
x = 77.43205, y = 45.25, z = 199.8143, angle = 97.10928, collision = h0100B0_0000
x = 76.19659, y = 45.25, z = 200.0367, angle = 95.25277, collision = h0100B0_0000
x = 74.81657, y = 45.25, z = 200.1704, angle = 92.56728, collision = h0100B0_0000
x = 73.57718, y = 45.25, z = 200.2286, angle = 87.01023, collision = h0100B0_0000
x = 72.1861, y = 45.25, z = 200.1796, angle = 87.82135, collision = h0100B0_0000
x = 70.96354, y = 45.25, z = 200.1846, angle = 152.0246, collision = h0100B0_0000
x = 70.27305, y = 45.25, z = 201.0223, angle = -143.6085, collision = h0100B0_0000
x = 70.86214, y = 45.25, z = 202.0884, angle = -109.3681, collision = h0100B0_0000
x = 72.05762, y = 45.25, z = 202.5823, angle = -92.67677, collision = h0100B0_0000
x = 73.36754, y = 45.25, z = 202.6777, angle = -92.5729, collision = h0100B0_0000
x = 74.63531, y = 45.25, z = 202.7128, angle = -94.71671, collision = h0100B0_0000
x = 75.98737, y = 45.25, z = 202.8115, angle = -100.9593, collision = h0100B0_0000
x = 77.2114, y = 45.25, z = 203.0712, angle = -163.5665, collision = h0100B0_0000
x = 77.78794, y = 45.25, z = 204.2339, angle = 161.6009, collision = h0100B0_0000
x = 77.42873, y = 45.25, z = 205.4017, angle = 109.4572, collision = h0100B0_0000
x = 76.4535, y = 45.25, z = 205.9508, angle = 82.35971, collision = h0100B0_0000
x = 75.2121, y = 45.25, z = 205.8806, angle = 77.46501, collision = h0100B0_0000
x = 73.9109, y = 45.25, z = 205.5887, angle = 71.75616, collision = h0100B0_0000
x = 72.6747, y = 45.25, z = 205.2317, angle = 97.84248, collision = h0100B0_0000
x = 71.40079, y = 45.25, z = 205.3749, angle = 127.1232, collision = h0100B0_0000
x = 70.32935, y = 45.25, z = 206.1038, angle = -155.6278, collision = h0100B0_0000
x = 70.67531, y = 45.25, z = 207.1694, angle = -114.4189, collision = h0100B0_0000
x = 71.91636, y = 45.25, z = 207.7607, angle = -112.4321, collision = h0100B0_0000
x = 73.07446, y = 45.25, z = 208.2231, angle = -96.26224, collision = h0100B0_0000
x = 74.45452, y = 45.25, z = 208.3865, angle = -84.84457, collision = h0100B0_0000
x = 75.47576, y = 45.25, z = 208.3013, angle = -105.3941, collision = h0100B0_0000
x = 76.75605, y = 45.25, z = 208.62, angle = -153.3584, collision = h0100B0_0000
x = 77.33448, y = 45.25, z = 209.6866, angle = 135.2122, collision = h0100B0_0000
x = 76.47794, y = 45.25, z = 210.6117, angle = 84.69634, collision = h0100B0_0000
x = 75.20554, y = 45.25, z = 210.6427, angle = 81.31802, collision = h0100B0_0000
x = 73.94334, y = 45.25, z = 210.455, angle = 85.75319, collision = h0100B0_0000
x = 72.60129, y = 45.25, z = 210.3406, angle = 91.27252, collision = h0100B0_0000
x = 71.34447, y = 45.25, z = 210.3538, angle = 100.7067, collision = h0100B0_0000
x = 70.16693, y = 45.25, z = 210.5248, angle = 120.9377, collision = h0100B0_0000
x = 69.0914, y = 45.25, z = 211.1165, angle = 137.2857, collision = h0100B0_0000
x = 68.5, y = 45.25, z = 212.1183, angle = -159.3929, collision = h0100B0_0000
x = 68.7996, y = 45.25, z = 213.2252, angle = -110.7317, collision = h0100B0_0000
x = 69.95, y = 30.2, z = 213.5196, angle = -72.97095, collision = h0041B0_0000
x = 70.1941, y = 30.20001, z = 214.6165, angle = -170.598, collision = h0041B0_0000
x = 70.37408, y = 30.2, z = 215.6806, angle = -172.2299, collision = h0041B0_0000
x = 70.49242, y = 30.2, z = 216.6797, angle = -179.4319, collision = h0041B0_0000
x = 70.40633, y = 30.2, z = 217.777, angle = 172.7137, collision = h0041B0_0000
x = 70.95987, y = 30.2, z = 218.7801, angle = 170.4713, collision = h0041B0_0000
x = 70.84299, y = 8.200001, z = 222.1165, angle = 162.4434, collision = h0041B0_0000
x = 70.3001, y = 8.200001, z = 223.05, angle = 87.01882, collision = h0041B0_0000
x = 69.45, y = 8.200001, z = 222.2326, angle = -25.97578, collision = h0041B0_0000
x = 73.89526, y = 8.200002, z = 221.0511, angle = -27.71907, collision = h0103B0_0000
x = 75.12049, y = 7.314223, z = 219.5346, angle = -18.95533, collision = h0103B0_0000
x = 76.12133, y = 7.2, z = 219.9606, angle = -117.6266, collision = h0103B0_0000
x = 77.38563, y = 7.2, z = 220.6283, angle = -111.104, collision = h0103B0_0000
x = 83.14761, y = 7.200001, z = 221.8376, angle = -83.45644, collision = h0103B0_0000
x = 84.18538, y = 7.200001, z = 221.9988, angle = -165.0513, collision = h0103B0_0000
x = 84.44036, y = 7.200001, z = 223.1787, angle = -171.265, collision = h0103B0_0000
x = 84.86976, y = 7.200001, z = 221.1448, angle = 0.5926418, collision = h0103B0_0000
x = 84.77316, y = 7.2, z = 220.0962, angle = -8.718177, collision = h0103B0_0000
x = 85.62285, y = 7.2, z = 219.5561, angle = -93.4405, collision = h0103B0_0000
x = 86.93333, y = 7.200001, z = 219.6652, angle = -107.443, collision = h0103B0_0000
x = 88.02408, y = 7.200001, z = 220.0268, angle = -147.8949, collision = h0103B0_0000
x = 88.42405, y = 7.200001, z = 221.1241, angle = 160.8165, collision = h0103B0_0000
x = 87.96381, y = 7.200001, z = 222.4523, angle = 144.1202, collision = h0103B0_0000
x = 87.18111, y = 7.200001, z = 223.515, angle = 132.0247, collision = h0103B0_0000
x = 86.38621, y = 7.200001, z = 224.4865, angle = 135.5312, collision = h0103B0_0000
x = 85.54696, y = 7.200001, z = 225.5022, angle = 162.0735, collision = h0103B0_0000
x = 85.18296, y = 7.200001, z = 226.6553, angle = 166.7092, collision = h0103B0_0000
x = 84.894, y = 7.200001, z = 227.9382, angle = -175.1399, collision = h0103B0_0000
x = 85.52737, y = 7.200001, z = 230.7989, angle = -162.5436, collision = h0103B0_0000
x = 85.78976, y = 7.200001, z = 232.07, angle = 178.7637, collision = h0103B0_0000
x = 85.76495, y = 7.200001, z = 233.3914, angle = 179.2535, collision = h0103B0_0000
x = 85.7486, y = 7.200001, z = 234.6999, angle = 179.5185, collision = h0103B0_0000
x = 85.7379, y = 7.200001, z = 236.0189, angle = 179.6739, collision = h0103B0_0000
x = 85.73074, y = 7.200001, z = 237.3214, angle = 179.7859, collision = h0103B0_0000
x = 85.72646, y = 7.200001, z = 238.4892, angle = -179.6749, collision = h0103B0_0000
x = 86.76817, y = 7.2, z = 244.9515, angle = -161.9383, collision = h0103B0_0000
x = 90.01756, y = 7.2, z = 252.2434, angle = -120.3027, collision = h0103B0_0000
x = 91.0614, y = 7.2, z = 252.7997, angle = -94.92162, collision = h0103B0_0000
x = 92.36369, y = 7.2, z = 252.8564, angle = -75.51542, collision = h0103B0_0000
x = 93.62035, y = 7.2, z = 252.4596, angle = -54.468, collision = h0103B0_0000
x = 93.13812, y = 7.2, z = 251.5396, angle = 115.7265, collision = h0103B0_0000
x = 84.84965, y = 7.2, z = 253.3474, angle = 116.4777, collision = h0103B0_0000
x = 83.79222, y = 7.2, z = 253.6153, angle = 51.39738, collision = h0103B0_0000
x = 81.74174, y = 7.2, z = 251.966, angle = 82.91656, collision = h0103B0_0000
x = 80.47659, y = 7.2, z = 251.9442, angle = 116.5727, collision = h0103B0_0000
x = 79.39704, y = 7.2, z = 252.667, angle = 159.6833, collision = h0103B0_0000
x = 79.41569, y = 7.2, z = 255.4302, angle = -156.1987, collision = h0103B0_0000
x = 79.86991, y = 7.2, z = 256.6573, angle = 176.5282, collision = h0103B0_0000
x = 79.76898, y = 7.2, z = 257.9716, angle = 166.9962, collision = h0103B0_0000
x = 79.48894, y = 7.2, z = 259.2528, angle = 173.4278, collision = h0103B0_0000
x = 79.34295, y = 7.2, z = 260.5695, angle = 174.9916, collision = h0103B0_0000
x = 79.23521, y = 7.2, z = 261.8771, angle = 175.2431, collision = h0103B0_0000
x = 79.1325, y = 7.2, z = 263.0594, angle = 178.9888, collision = h0103B0_0000
x = 79.179, y = 7.2, z = 264.3737, angle = -172.9641, collision = h0103B0_0000
x = 79.29861, y = 7.2, z = 265.6851, angle = 176.5371, collision = h0103B0_0000
x = 79.25545, y = 7.200001, z = 267.0003, angle = -170.2508, collision = h0114B0_0000
x = 81.6216, y = 7.200001, z = 271.189, angle = 152.4115, collision = h0114B0_0000
x = 80.04046, y = 7.200001, z = 275.9243, angle = 157.1087, collision = h0114B0_0000
x = 81.08852, y = 7.200001, z = 279.1444, angle = -125.1941, collision = h0114B0_0000
x = 81.88924, y = 7.200001, z = 279.9451, angle = 177.4927, collision = h0114B0_0000
x = 81.85413, y = 7.200001, z = 281.0989, angle = -167.523, collision = h0114B0_0000
x = 82.00242, y = 7.200001, z = 282.3948, angle = 163.4656, collision = h0114B0_0000
x = 81.56479, y = 7.200001, z = 283.5952, angle = 129.9196, collision = h0114B0_0000
x = 80.50198, y = 7.200001, z = 284.3311, angle = 93.91473, collision = h0114B0_0000
x = 79.19666, y = 7.200001, z = 284.3747, angle = 101.4604, collision = h0114B0_0000
x = 77.91378, y = 7.200002, z = 284.6183, angle = 96.93728, collision = h0114B0_0000
x = 76.60776, y = 7.200002, z = 284.7837, angle = 93.47007, collision = h0114B0_0000
x = 75.44294, y = 7.200002, z = 284.7872, angle = 76.77885, collision = h0114B0_0000
x = 74.15944, y = 7.200002, z = 284.4613, angle = 70.33586, collision = h0114B0_0000
x = 69.83205, y = 7.200002, z = 284.1077, angle = 31.29705, collision = h0114B0_0000
x = 69.24052, y = 7.200001, z = 283.1651, angle = -4.959469, collision = h0114B0_0000
x = 69.27916, y = 7.200001, z = 280.081, angle = -25.2914, collision = h0114B0_0000
x = 70.01309, y = 7.200002, z = 279.1841, angle = -91.86257, collision = h0114B0_0000
x = 71.31135, y = 7.200002, z = 279.3158, angle = -134.1779, collision = h0114B0_0000
x = 76.2812, y = 7.200002, z = 280.5441, angle = -160.0957, collision = h0114B0_0000
x = 76.70107, y = 7.200002, z = 281.6504, angle = -137.6473, collision = h0114B0_0000
x = 78.9413, y = 7.200001, z = 280.2525, angle = 58.48759, collision = h0114B0_0000
x = 77.89028, y = 7.200002, z = 279.4643, angle = 36.15487, collision = h0114B0_0000
x = 77.25827, y = 7.200002, z = 278.3578, angle = -8.793773, collision = h0114B0_0000
x = 77.40953, y = 7.200002, z = 277.2105, angle = -8.17004, collision = h0114B0_0000
x = 77.80607, y = 7.200002, z = 274.1507, angle = 57.30549, collision = h0114B0_0000
x = 73.88547, y = 7.200002, z = 273.2683, angle = 34.40377, collision = h0114B0_0000
x = 73.32215, y = 7.200002, z = 272.136, angle = -6.743678, collision = h0114B0_0000
x = 73.5843, y = 7.200002, z = 270.8561, angle = -36.14051, collision = h0114B0_0000
x = 74.38143, y = 7.200002, z = 269.8073, angle = -30.68781, collision = h0114B0_0000
x = 77.45477, y = 7.2, z = 265.0746, angle = -14.50561, collision = h0103B0_0000
x = 77.71237, y = 7.2, z = 263.9535, angle = 1.718612, collision = h0103B0_0000
x = 77.65084, y = 7.2, z = 262.2196, angle = 3.769786, collision = h0103B0_0000
x = 76.41107, y = 7.2, z = 257.1641, angle = 31.02112, collision = h0103B0_0000
x = 75.80609, y = 7.2, z = 256.1443, angle = 27.70769, collision = h0103B0_0000
x = 75.35393, y = 7.2, z = 254.9357, angle = -27.62955, collision = h0103B0_0000
x = 76.01225, y = 7.2, z = 253.8128, angle = -43.15421, collision = h0103B0_0000
x = 76.80191, y = 7.2, z = 252.9625, angle = -41.0854, collision = h0103B0_0000
x = 77.92034, y = 7.2, z = 252.5278, angle = -90.40418, collision = h0103B0_0000
x = 86.09451, y = 7.2, z = 253.3568, angle = -77.62045, collision = h0103B0_0000
x = 87.30921, y = 7.2, z = 252.9747, angle = -24.65749, collision = h0103B0_0000
x = 87.9649, y = 7.2, z = 250.9183, angle = -10.81775, collision = h0103B0_0000
x = 104.8745, y = 7.200001, z = 246.194, angle = -111.6898, collision = h0105B0_0000
x = 105.9882, y = 7.200001, z = 246.8533, angle = -145.688, collision = h0105B0_0000
x = 106.6454, y = 7.200001, z = 247.8181, angle = -150.0184, collision = h0105B0_0000
x = 107.428, y = 7.200001, z = 248.8483, angle = -111.7651, collision = h0105B0_0000
x = 108.6549, y = 7.200001, z = 249.3513, angle = -112.9169, collision = h0105B0_0000
x = 109.8989, y = 7.200001, z = 249.7439, angle = -85.88654, collision = h0105B0_0000
x = 111.1995, y = 7.200001, z = 249.5831, angle = -60.06009, collision = h0105B0_0000
x = 112.3511, y = 7.200001, z = 248.9587, angle = -77.54683, collision = h0105B0_0000
x = 113.5037, y = 7.200001, z = 248.6836, angle = -69.18533, collision = h0105B0_0000
x = 114.6524, y = 7.200001, z = 248.0914, angle = -21.20891, collision = h0105B0_0000
x = 115.0692, y = 7.200001, z = 246.8551, angle = -1.35918, collision = h0105B0_0000
x = 115.0298, y = 7.200001, z = 245.5482, angle = -9.582455, collision = h0105B0_0000
x = 115.2286, y = 7.200001, z = 244.2453, angle = -6.778034, collision = h0105B0_0000
x = 115.3457, y = 7.200001, z = 242.9293, angle = 1.926427, collision = h0105B0_0000
x = 115.3036, y = 7.200001, z = 241.754, angle = 2.818273, collision = h0105B0_0000
x = 115.2344, y = 7.200001, z = 240.4344, angle = 4.359997, collision = h0105B0_0000
x = 115.1292, y = 7.200001, z = 239.1272, angle = 6.360641, collision = h0105B0_0000
x = 114.9775, y = 7.200001, z = 237.8153, angle = -4.13542, collision = h0105B0_0000
x = 115.1306, y = 7.200001, z = 236.5228, angle = -18.10794, collision = h0105B0_0000
x = 115.5342, y = 7.200001, z = 235.2654, angle = -17.40298, collision = h0105B0_0000
x = 115.7765, y = 7.200001, z = 234.1544, angle = 4.732748, collision = h0105B0_0000
x = 115.6596, y = 7.200001, z = 232.8429, angle = 7.463593, collision = h0105B0_0000
x = 115.4888, y = 7.200001, z = 231.5405, angle = 9.023281, collision = h0105B0_0000
x = 114.6214, y = 7.200001, z = 214.7818, angle = -0.3301713, collision = h0105B0_0000
x = 114.6346, y = 7.200001, z = 213.4576, angle = -1.145368, collision = h0105B0_0000
x = 114.6631, y = 7.200001, z = 212.1436, angle = -1.125998, collision = h0105B0_0000
x = 109.8329, y = 7.200001, z = 198.8669, angle = 36.12558, collision = h0105B0_0000
x = 108.9396, y = 7.200001, z = 197.9673, angle = 127.5675, collision = h0105B0_0000
x = 108.0455, y = 7.200001, z = 198.808, angle = 165.5516, collision = h0105B0_0000
x = 107.631, y = 7.200001, z = 199.8753, angle = 156.2802, collision = h0105B0_0000
x = 107.236, y = 7.200001, z = 201.1055, angle = 173.5477, collision = h0105B0_0000
x = 107.1112, y = 7.200001, z = 202.412, angle = 173.3924, collision = h0105B0_0000
x = 106.9926, y = 7.200001, z = 203.7204, angle = -171.0552, collision = h0105B0_0000
x = 107.1925, y = 7.200001, z = 205.0207, angle = -168.5371, collision = h0105B0_0000
x = 87.72182, y = 7.2, z = 245.2854, angle = 70.98801, collision = h0103B0_0000
x = 83.47694, y = 7.200001, z = 226.9529, angle = 10.45158, collision = h0103B0_0000
x = 83.19485, y = 7.200001, z = 225.6678, angle = 19.63914, collision = h0103B0_0000
x = 82.73609, y = 7.200001, z = 224.4374, angle = 27.48833, collision = h0103B0_0000
x = 81.22978, y = 7.200001, z = 222.5036, angle = 70.16486, collision = h0103B0_0000
x = 79.53136, y = 7.200001, z = 222.1139, angle = 103.3387, collision = h0103B0_0000
x = 77.32725, y = 7.200001, z = 223.9705, angle = 163.4953, collision = h0103B0_0000
x = 76.99225, y = 7.200001, z = 225.0888, angle = 162.3654, collision = h0103B0_0000
x = 76.55293, y = 7.200001, z = 226.3326, angle = 147.7894, collision = h0103B0_0000
x = 75.79665, y = 7.200001, z = 227.3919, angle = 100.9698, collision = h0103B0_0000
x = 74.68211, y = 7.200001, z = 227.2851, angle = 20.35312, collision = h0103B0_0000
x = 74.29908, y = 7.200001, z = 226.0508, angle = -2.46436, collision = h0103B0_0000
x = 92.31678, y = 21.00001, z = 265.401, angle = -68.20345, collision = h0019B0_0000
x = 94.19032, y = 21, z = 261.8347, angle = 145.1633, collision = h0019B0_0000
x = 91.46828, y = 21, z = 261.8551, angle = 25.17725, collision = h0019B0_0000
x = 91.76163, y = 20.9545, z = 258.9604, angle = -70.61057, collision = h0019B0_0000
x = 83.89455, y = 32.05, z = 289.1627, angle = 0, collision = h0014B0_0000
x = 85.96746, y = 32.05, z = 266.559, angle = -40.63508, collision = h0014B0_0000
x = 87.30592, y = 32.05, z = 264.5385, angle = 33.08272, collision = h0014B0_0000
x = 86.44949, y = 31.98433, z = 263.7894, angle = 48.73658, collision = h0003B0_0000
x = 85.68671, y = 12.2, z = 262.6588, angle = 48.73658, collision = h0003B0_0000
x = 86.55028, y = 12.2, z = 261.8677, angle = -57.36581, collision = h0003B0_0000
x = 87.36958, y = 12.2, z = 261.1357, angle = -27.06275, collision = h0003B0_0000
x = 87.30051, y = 12.2, z = 259.8866, angle = 17.03415, collision = h0003B0_0000
x = 86.94116, y = 12.2, z = 258.6716, angle = 18.06882, collision = h0003B0_0000
x = 86.2193, y = 12.2, z = 257.5935, angle = 123.6304, collision = h0003B0_0000
x = 85.16227, y = 12.2, z = 258.4586, angle = -148.6324, collision = h0003B0_0000
x = 85.93574, y = 12.2, z = 259.4789, angle = -145.6099, collision = h0003B0_0000
x = 86.46432, y = 12.2, z = 260.6352, angle = 109.0425, collision = h0003B0_0000
x = 85.15495, y = 12.2, z = 260.8515, angle = 37.17033, collision = h0003B0_0000
x = 84.53844, y = 12.2, z = 259.8336, angle = -22.58354, collision = h0003B0_0000
x = 83.81011, y = 12.2, z = 258.1442, angle = 138.6573, collision = h0003B0_0000
x = 83.1058, y = 12.2, z = 259.2019, angle = -175.2048, collision = h0003B0_0000
x = 83.19707, y = 12.2, z = 260.6214, angle = -177.1234, collision = h0003B0_0000
x = 83.29308, y = 12.2, z = 262.0509, angle = 141.468, collision = h0003B0_0000
x = 82.46839, y = 12.2, z = 262.684, angle = 28.17639, collision = h0003B0_0000
x = 82.00549, y = 12.2, z = 261.4647, angle = -3.777231, collision = h0003B0_0000
x = 82.02603, y = 12.2, z = 260.0411, angle = 11.23868, collision = h0003B0_0000
x = 81.65005, y = 12.19999, z = 258.671, angle = 56.21181, collision = h0003B0_0000
x = 80.50434, y = 12.19993, z = 257.8328, angle = 63.77132, collision = h0003B0_0000
x = 79.20033, y = 12.19988, z = 257.2525, angle = 73.81765, collision = h0003B0_0000
x = 77.83714, y = 12.19983, z = 256.8177, angle = 69.49884, collision = h0003B0_0000
x = 76.64973, y = 12.19979, z = 256.3741, angle = 68.05264, collision = h0003B0_0000
x = 75.28269, y = 12.19974, z = 256.0041, angle = 133.1834, collision = h0003B0_0000
x = 74.16883, y = 12.19975, z = 256.8751, angle = 145.423, collision = h0003B0_0000
x = 73.8825, y = 12.19979, z = 258.0403, angle = -94.12093, collision = h0003B0_0000
x = 75.24857, y = 12.19983, z = 258.1688, angle = -79.01662, collision = h0003B0_0000
x = 76.5103, y = 12.19985, z = 258.0309, angle = -109.4509, collision = h0003B0_0000
x = 77.85696, y = 12.1999, z = 258.5176, angle = -135.845, collision = h0003B0_0000
x = 78.64198, y = 12.19996, z = 259.6019, angle = 154.0661, collision = h0003B0_0000
x = 77.9754, y = 12.2, z = 260.8557, angle = 127.8972, collision = h0003B0_0000
x = 76.8073, y = 12.2, z = 261.6577, angle = 99.24786, collision = h0003B0_0000
x = 75.40716, y = 12.19999, z = 261.9437, angle = 136.8789, collision = h0003B0_0000
x = 74.36024, y = 12.2, z = 262.9126, angle = 88.27816, collision = h0003B0_0000
x = 73.28155, y = 12.19998, z = 262.7209, angle = 1.711891, collision = h0003B0_0000
x = 73.51817, y = 12.19994, z = 261.6994, angle = -65.60085, collision = h0003B0_0000
x = 74.80688, y = 12.19994, z = 261.1425, angle = -37.26183, collision = h0003B0_0000
x = 75.64297, y = 12.19991, z = 260.0154, angle = -4.787526, collision = h0003B0_0000
x = 73.25, y = 48, z = 246.3997, angle = 180, collision = h0016B0_0000
x = 72.60159, y = 48, z = 245.5163, angle = 3.463685, collision = h0016B0_0000
x = 72.45, y = 48, z = 244.4583, angle = -25.38762, collision = h0016B0_0000
x = 73.75481, y = 48, z = 247.3712, angle = -26.13001, collision = h0016B0_0000
x = 73.60585, y = 48, z = 245.2883, angle = 10.11387, collision = h0016B0_0000
x = 73.41364, y = 48, z = 244.0309, angle = 6.113006, collision = h0016B0_0000
x = 73.06761, y = 48, z = 248.354, angle = 172.8707, collision = h0016B0_0000
x = 72.88502, y = 48, z = 249.6114, angle = 177.2174, collision = h0016B0_0000
x = 72.81437, y = 48, z = 251.0426, angle = 179.9601, collision = h0016B0_0000
x = 72.80801, y = 48, z = 252.4751, angle = -172.2333, collision = h0016B0_0000
x = 73.01086, y = 48, z = 253.8908, angle = -173.6352, collision = h0016B0_0000
x = 73.13256, y = 48, z = 255.3136, angle = -179.2939, collision = h0016B0_0000
x = 73.14581, y = 48, z = 256.7465, angle = -178.6023, collision = h0016B0_0000
x = 73.17778, y = 48, z = 258.0136, angle = -179.5546, collision = h0016B0_0000
x = 73.14574, y = 48, z = 259.4447, angle = -179.906, collision = h0016B0_0000
x = 73.11481, y = 48, z = 260.8761, angle = 164.6619, collision = h0016B0_0000
x = 72.55989, y = 48, z = 262.1048, angle = 97.11234, collision = h0016B0_0000
x = 71.18168, y = 48, z = 262.1062, angle = 65.86488, collision = h0016B0_0000
x = 69.82299, y = 48, z = 261.7822, angle = 104.1528, collision = h0016B0_0000
x = 68.58535, y = 48, z = 262.0897, angle = 112.9731, collision = h0016B0_0000
x = 67.32404, y = 48.00002, z = 262.7442, angle = 165.014, collision = h0016B0_0000
x = 66.94852, y = 48.00002, z = 264.0911, angle = -175.8522, collision = h0016B0_0000
x = 66.93633, y = 48.00001, z = 265.5202, angle = 174.9344, collision = h0016B0_0000
x = 66.8047, y = 48.00001, z = 266.9471, angle = 176.1148, collision = h0016B0_0000
x = 66.77923, y = 48.00001, z = 268.3736, angle = -156.3551, collision = h0016B0_0000
x = 67.27856, y = 48.00001, z = 269.5366, angle = -143.9262, collision = h0016B0_0000
x = 67.43674, y = 48.00001, z = 270.7426, angle = 176.2192, collision = h0016B0_0000
x = 67.35523, y = 48.00001, z = 272.1731, angle = -179.3087, collision = h0016B0_0000
x = 67.36362, y = 48.00001, z = 273.6059, angle = 167.2735, collision = h0016B0_0000
x = 67.05445, y = 48.00001, z = 275.0024, angle = 162.002, collision = h0016B0_0000
x = 66.7767, y = 48.00002, z = 275.9959, angle = -165.9686, collision = h0016B0_0000
x = 65.59443, y = 48.00002, z = 276.0428, angle = 10.77644, collision = h0016B0_0000
x = 65.34682, y = 48.00001, z = 274.6674, angle = 0.1561655, collision = h0016B0_0000
x = 65.34043, y = 48.00001, z = 273.2345, angle = 1.070004, collision = h0016B0_0000
x = 65.00179, y = 48, z = 272.0783, angle = 38.36283, collision = h0016B0_0000
x = 64.33576, y = 48.24391, z = 271.0081, angle = -8.235282, collision = h0016B0_0000
x = 64.4139, y = 48.78586, z = 270.0597, angle = -8.510894, collision = h0016B0_0000
x = 64.55524, y = 49.32563, z = 269.1151, angle = -9.623669, collision = h0016B0_0000
x = 64.67972, y = 49.85884, z = 268.1819, angle = 6.457589, collision = h0016B0_0000
x = 64.57233, y = 50.40123, z = 267.2328, angle = 6.604765, collision = h0016B0_0000
x = 64.46265, y = 50.94349, z = 266.2838, angle = 6.97865, collision = h0016B0_0000
x = 64.34947, y = 51.48552, z = 265.3352, angle = -14.33199, collision = h0016B0_0000
x = 64.52122, y = 52.02011, z = 264.3997, angle = -15.18336, collision = h0016B0_0000
x = 64.75931, y = 52.4, z = 263.1529, angle = 17.07651, collision = h0016B0_0000
x = 64.50448, y = 52.4, z = 262.1, angle = 1.76447, collision = h0016B0_0000
x = 65.41398, y = 52.59941, z = 261.1004, angle = 24.15879, collision = h0016B0_0000
x = 66.46445, y = 53.19967, z = 260.612, angle = -117.2849, collision = h0016B0_0000
