# Upper
x = -50.26352, y = -136.5, z = 50.94548, angle = -95, collision = h0001B0_0000
x = 21.97688, y = -155.1009, z = -66.6524, angle = 20.3638, collision = h0051B0_0000
x = 21.87696, y = -155.178, z = -68.0543, angle = -30.8374, collision = h0051B0_0000
x = 22.78573, y = -155.2895, z = -69.21764, angle = -60.7503, collision = h0051B0_0000
x = 23.91552, y = -155.3859, z = -69.89748, angle = -64.22556, collision = h0051B0_0000
x = 25.30733, y = -155.5071, z = -70.13879, angle = -101.339, collision = h0051B0_0000
x = 26.56704, y = -155.6363, z = -70.06964, angle = -41.18241, collision = h0051B0_0000
x = 29.31447, y = -155.8359, z = -72.44149, angle = -103.3943, collision = h0051B0_0000
x = 30.59336, y = -156.0882, z = -72.1698, angle = -58.44688, collision = h0051B0_0000
x = 31.75858, y = -156.1743, z = -72.99959, angle = -44.12261, collision = h0051B0_0000
x = 32.72643, y = -156.2473, z = -73.8728, angle = -63.25184, collision = h0051B0_0000
x = 33.9967, y = -156.3063, z = -74.63642, angle = -29.41071, collision = h0051B0_0000
x = 34.57791, y = -156.2269, z = -75.81577, angle = 3.742998, collision = h0051B0_0000
x = 34.51946, y = -156.0298, z = -77.2958, angle = 6.41699, collision = h0051B0_0000
x = 34.45018, y = -155.8295, z = -78.61269, angle = -23.08925, collision = h0051B0_0000
x = 35.30151, y = -155.8999, z = -79.53993, angle = -96.59086, collision = h0051B0_0000
x = 36.61982, y = -156.0289, z = -79.44868, angle = -85.43803, collision = h0051B0_0000
x = 37.99718, y = -156.2178, z = -79.81335, angle = -16.86427, collision = h0051B0_0000
x = 38.36528, y = -156.101, z = -81.06435, angle = 0.4891098, collision = h0051B0_0000
x = 38.33899, y = -155.9893, z = -82.55161, angle = 4.944292, collision = h0051B0_0000
x = 38.31764, y = -155.906, z = -83.86456, angle = -25.89852, collision = h0051B0_0000
x = 38.94247, y = -155.9174, z = -85.21461, angle = -11.74795, collision = h0051B0_0000
x = 39.17741, y = -155.8717, z = -86.50708, angle = 11.84174, collision = h0051B0_0000
x = 38.84355, y = -155.5751, z = -87.94166, angle = -140.9926, collision = h0051B0_0000
x = 40.24702, y = -155.7241, z = -88.05969, angle = -152.9576, collision = h0051B0_0000
x = 40.75216, y = -155.8477, z = -87.17803, angle = -138.9239, collision = h0051B0_0000
x = 41.8156, y = -156.0532, z = -86.44809, angle = -83.16434, collision = h0051B0_0000
x = 43.12393, y = -156.1052, z = -86.63615, angle = -70.2084, collision = h0051B0_0000
x = 44.44633, y = -156.1469, z = -87.2623, angle = -10.39247, collision = h0051B0_0000
x = 44.75237, y = -155.9291, z = -88.54209, angle = -18.45456, collision = h0051B0_0000
x = 45.568, y = -155.8408, z = -89.59639, angle = -93.46913, collision = h0051B0_0000
x = 46.88894, y = -155.9809, z = -89.53461, angle = -94.23979, collision = h0051B0_0000
x = 48.36477, y = -156.0647, z = -89.36271, angle = -101.7522, collision = h0051B0_0000
x = 49.66435, y = -156.0457, z = -89.12346, angle = -84.83793, collision = h0051B0_0000
x = 51.0997, y = -155.9937, z = -89.36086, angle = -63.42324, collision = h0051B0_0000
x = 52.27691, y = -155.9493, z = -89.00038, angle = -106.3546, collision = h0051B0_0000
x = 53.71178, y = -155.8534, z = -88.72413, angle = -85.93295, collision = h0052B0_0000
x = 55.03126, y = -155.8769, z = -88.81272, angle = -88.47646, collision = h0052B0_0000
x = 56.51427, y = -155.8779, z = -88.7751, angle = -99.66236, collision = h0052B0_0000
x = 57.82232, y = -155.8879, z = -88.58295, angle = -92.13052, collision = h0052B0_0000
x = 59.30835, y = -155.9637, z = -88.51247, angle = -72.38584, collision = h0052B0_0000
x = 60.58145, y = -156.0832, z = -88.82401, angle = -63.99984, collision = h0052B0_0000
x = 61.9333, y = -156.223, z = -89.44415, angle = -72.37827, collision = h0052B0_0000
x = 63.19, y = -156.4329, z = -89.85569, angle = -55.29105, collision = h0052B0_0000
x = 64.18897, y = -156.6003, z = -90.42455, angle = -37.3974, collision = h0052B0_0000
x = 66.06857, y = -157.0799, z = -91.42673, angle = -38.43769, collision = h0052B0_0000
x = 66.87548, y = -157.4435, z = -92.22293, angle = -56.90366, collision = h0052B0_0000
x = 67.83063, y = -157.8374, z = -92.5763, angle = -64.98566, collision = h0052B0_0000
x = 69.87572, y = -158.7057, z = -93.90359, angle = -39.09528, collision = h0052B0_0000
x = 70.62339, y = -159.0938, z = -94.77363, angle = -19.8981, collision = h0052B0_0000
x = 71.88664, y = -159.7474, z = -96.37251, angle = -54.11653, collision = h0052B0_0000
x = 72.87938, y = -160.1477, z = -97.05292, angle = -26.28031, collision = h0052B0_0000
x = 73.57633, y = -160.5488, z = -98.14236, angle = -25.16197, collision = h0052B0_0000
x = 74.07683, y = -160.9113, z = -99.18578, angle = 14.41211, collision = h0052B0_0000
x = 74.8418, y = -161.5331, z = -100.9916, angle = -28.2903, collision = h0052B0_0000
x = 75.62904, y = -162.0279, z = -102.267, angle = -28.70066, collision = h0052B0_0000
x = 76.19695, y = -162.3626, z = -103.1012, angle = -29.63637, collision = h0052B0_0000
x = 79.1498, y = -163.6468, z = -105.1597, angle = -52.04111, collision = h0052B0_0000
x = 80.04665, y = -164.0075, z = -105.6059, angle = -58.65702, collision = h0052B0_0000
x = 81.46496, y = -164.6334, z = -106.1165, angle = -69.42014, collision = h0052B0_0000
x = 83.24157, y = -165.0955, z = -106.4773, angle = -76.767, collision = h0052B0_0000
x = 84.55838, y = -165.3658, z = -106.6765, angle = -80.54196, collision = h0052B0_0000
x = 87.87305, y = -166.179, z = -106.6554, angle = -96.77333, collision = h0052B0_0000
x = 89.1702, y = -166.7189, z = -106.619, angle = -15.27191, collision = h0052B0_0000
x = 92.10159, y = -168.0182, z = -108.2523, angle = -58.59399, collision = h0052B0_0000
x = 94.95233, y = -168.8181, z = -108.5993, angle = -89.70231, collision = h0052B0_0000
x = 96.29993, y = -169.1621, z = -108.5641, angle = -80.52439, collision = h0052B0_0000
x = 97.6053, y = -169.487, z = -108.7601, angle = -110.9841, collision = h0052B0_0000
x = 100.476, y = -170.6437, z = -107.5027, angle = -101.5882, collision = h0052B0_0000
x = 101.762, y = -170.9864, z = -107.1348, angle = -92.26931, collision = h0052B0_0000
x = 103.2443, y = -171.1954, z = -107.1421, angle = -83.67822, collision = h0052B0_0000
x = 104.5576, y = -171.3755, z = -107.2991, angle = -82.06498, collision = h0052B0_0000
x = 106.0318, y = -171.5918, z = -107.5013, angle = -90.4745, collision = h0052B0_0000
x = 107.335, y = -171.7979, z = -107.4248, angle = -104.8158, collision = h0052B0_0000
x = 108.4288, y = -171.9321, z = -107.1476, angle = -103.4086, collision = h0052B0_0000
x = 109.7146, y = -172.0094, z = -107.5885, angle = -84.63638, collision = h0052B0_0000
x = 111.1894, y = -172.1106, z = -107.6779, angle = -95.37549, collision = h0052B0_0000
x = 112.4989, y = -172.1912, z = -107.5077, angle = -101.7916, collision = h0052B0_0000
x = 113.49, y = -172.2366, z = -106.7817, angle = -86.76298, collision = h0052B0_0000
x = 114.8329, y = -172.2676, z = -107.3296, angle = -62.27626, collision = h0052B0_0000
x = 115.9679, y = -172.1407, z = -108.0032, angle = -52.913, collision = h0052B0_0000
x = 117.1491, y = -172.2062, z = -108.9082, angle = -52.66167, collision = h0052B0_0000
x = 118.2002, y = -172.2645, z = -109.7111, angle = -52.13548, collision = h0052B0_0000
x = 119.3147, y = -172.3095, z = -110.5999, angle = -52.15474, collision = h0052B0_0000
x = 114.7872, y = -172.2717, z = -106.2607, angle = 156.1569, collision = h0052B0_0000
x = 114.6426, y = -172.2979, z = -105.1012, angle = -167.238, collision = h0052B0_0000
x = 114.9288, y = -172.1579, z = -103.8107, angle = -168.8477, collision = h0052B0_0000
x = 115.2206, y = -172.0329, z = -102.3521, angle = -169.8677, collision = h0052B0_0000
x = 115.4643, y = -171.9692, z = -101.0524, angle = -160.2833, collision = h0052B0_0000
x = 115.9496, y = -171.8926, z = -99.64594, angle = -161.5877, collision = h0052B0_0000
x = 116.2973, y = -171.8383, z = -98.66805, angle = -150.5955, collision = h0052B0_0000
x = 116.856, y = -171.8356, z = -97.67257, angle = -153.5605, collision = h0052B0_0000
x = 117.61, y = -171.9296, z = -96.40014, angle = -106.0832, collision = h0052B0_0000
x = 118.8466, y = -171.9246, z = -95.98508, angle = -136.9857, collision = h0052B0_0000
x = 120.0951, y = -172.158, z = -94.43003, angle = -137.681, collision = h0052B0_0000
x = 120.96, y = -172.1718, z = -93.42252, angle = -127.5842, collision = h0052B0_0000
x = 122.1123, y = -172.1719, z = -92.48289, angle = -125.6486, collision = h0052B0_0000
x = 123.2128, y = -172.1719, z = -91.7515, angle = -119.9409, collision = h0052B0_0000
x = 124.4997, y = -172.1716, z = -91.00459, angle = -104.7995, collision = h0052B0_0000
x = 125.7529, y = -172.1402, z = -90.60318, angle = -104.942, collision = h0052B0_0000
x = 127.1929, y = -172.0822, z = -90.22862, angle = -103.4154, collision = h0052B0_0000
x = 128.4657, y = -172.0217, z = -89.87389, angle = -120.2069, collision = h0052B0_0000
x = 129.7749, y = -172, z = -89.17053, angle = -120.0085, collision = h0052B0_0000
x = 130.9109, y = -172, z = -88.49372, angle = -125.6875, collision = h0052B0_0000
x = 132.1179, y = -172, z = -87.62351, angle = -127.2116, collision = h0052B0_0000
x = 133.1748, y = -172, z = -86.82824, angle = -126.1943, collision = h0052B0_0000
x = 134.377, y = -172, z = -85.95137, angle = -123.6262, collision = h0052B0_0000
x = 135.441, y = -172, z = -85.17142, angle = -141.9309, collision = h0052B0_0000
x = 136.3819, y = -172, z = -84.01945, angle = -92.33698, collision = h0052B0_0000
x = 137.6278, y = -172, z = -83.91432, angle = -49.89625, collision = h0052B0_0000
x = 138.7145, y = -172, z = -84.89017, angle = -92.86883, collision = h0052B0_0000
x = 139.8388, y = -171.9043, z = -84.87212, angle = -140.8891, collision = h0052B0_0000
x = 140.6846, y = -172.0115, z = -83.83648, angle = -147.0847, collision = h0052B0_0000
x = 141.4692, y = -172.0684, z = -83.087, angle = -138.4275, collision = h0052B0_0000
x = 141.8361, y = -172.0036, z = -84.30042, angle = -71.173, collision = h0052B0_0000
x = 143.2491, y = -171.9171, z = -84.70015, angle = -85.99792, collision = h0052B0_0000
x = 144.5686, y = -171.8869, z = -84.79176, angle = -84.57659, collision = h0052B0_0000
x = 146.0473, y = -171.9758, z = -84.94774, angle = -52.44905, collision = h0052B0_0000
x = 147.0706, y = -171.9187, z = -85.74504, angle = -43.99421, collision = h0052B0_0000
x = 148.1686, y = -171.7466, z = -86.72768, angle = -65.39439, collision = h0052B0_0000
x = 149.3632, y = -171.5351, z = -87.29493, angle = -56.53465, collision = h0052B0_0000
x = 150.5506, y = -171.2333, z = -88.17532, angle = -43.98448, collision = h0052B0_0000
x = 151.5967, y = -170.7745, z = -88.83408, angle = -154.6525, collision = h0052B0_0000
x = 152.1319, y = -170.7392, z = -87.72934, angle = 161.8095, collision = h0052B0_0000
x = 151.8093, y = -171.1896, z = -86.61459, angle = -143.2737, collision = h0052B0_0000
x = 152.4124, y = -171.2751, z = -85.51642, angle = -108.7831, collision = h0052B0_0000
x = 153.7762, y = -170.8304, z = -85.25257, angle = -47.23055, collision = h0052B0_0000
x = 154.8275, y = -170.2501, z = -86.04803, angle = -52.5281, collision = h0052B0_0000
x = 155.9857, y = -169.6152, z = -86.97692, angle = -47.15523, collision = h0052B0_0000
x = 156.8344, y = -169.1147, z = -87.76382, angle = -47.44682, collision = h0052B0_0000
x = 158.3124, y = -168.2194, z = -89.22865, angle = 21.79181, collision = h0052B0_0000
x = 157.7098, y = -167.8416, z = -90.53889, angle = 51.95033, collision = h0052B0_0000
x = 156.6331, y = -168.0805, z = -91.26535, angle = 76.0506, collision = h0052B0_0000
x = 155.2447, y = -168.7224, z = -91.76929, angle = 42.75073, collision = h0052B0_0000
x = 154.3646, y = -169.3048, z = -92.73861, angle = 20.20987, collision = h0052B0_0000
x = 155.424, y = -168.4961, z = -93.27228, angle = -9.17864, collision = h0052B0_0000
x = 155.8511, y = -168.0476, z = -94.65115, angle = 48.894, collision = h0052B0_0000
x = 156.6064, y = -168.0216, z = -92.89849, angle = -141.8985, collision = h0052B0_0000
x = 158.7794, y = -167.6674, z = -90.69891, angle = -110.6894, collision = h0052B0_0000
x = 160.1919, y = -168.1461, z = -90.23814, angle = -102.8773, collision = h0052B0_0000
x = 161.6228, y = -168.825, z = -89.77367, angle = -107.6969, collision = h0052B0_0000
x = 162.592, y = -168.82, z = -89.45774, angle = -112.3277, collision = h0052B0_0000
x = 163.9519, y = -168.8848, z = -88.85767, angle = -148.7469, collision = h0052B0_0000
x = 162.2862, y = -169.1909, z = -88.39962, angle = 98.29985, collision = h0052B0_0000
x = 160.8191, y = -169.2885, z = -88.15306, angle = 97.34206, collision = h0052B0_0000
x = 159.5067, y = -169.1352, z = -88.00884, angle = 157.3855, collision = h0052B0_0000
x = 159.2708, y = -169.6038, z = -86.8948, angle = -122.6893, collision = h0052B0_0000
x = 160.3507, y = -169.9082, z = -86.13824, angle = -121.233, collision = h0052B0_0000
x = 161.4303, y = -170.3282, z = -85.17058, angle = 167.1772, collision = h0052B0_0000
x = 161.061, y = -170.6145, z = -84.00543, angle = 122.6388, collision = h0052B0_0000
x = 159.774, y = -170.6327, z = -83.29249, angle = 108.5932, collision = h0052B0_0000
x = 158.5186, y = -170.8201, z = -82.87617, angle = 89.58804, collision = h0052B0_0000
x = 157.046, y = -170.9994, z = -82.93498, angle = 87.9509, collision = h0052B0_0000
x = 155.7491, y = -171.2266, z = -82.87665, angle = 138.4052, collision = h0052B0_0000
x = 154.8083, y = -171.6763, z = -81.7805, angle = 163.5268, collision = h0052B0_0000
x = 154.4841, y = -171.9138, z = -80.50999, angle = -163.9851, collision = h0052B0_0000
x = 154.9803, y = -172.0483, z = -79.12814, angle = -113.0921, collision = h0052B0_0000
x = 156.1809, y = -172.0511, z = -78.65302, angle = -108.6134, collision = h0052B0_0000
x = 157.5959, y = -172.0509, z = -78.24395, angle = -110.4949, collision = h0052B0_0000
x = 158.722, y = -171.9224, z = -78.04556, angle = -32.23819, collision = h0052B0_0000
x = 159.4594, y = -171.7632, z = -79.2083, angle = -45.78432, collision = h0052B0_0000
x = 160.4057, y = -171.4654, z = -80.11485, angle = -70.72754, collision = h0052B0_0000
x = 161.752, y = -171.2297, z = -80.71763, angle = -19.02126, collision = h0052B0_0000
x = 162.0949, y = -171.1627, z = -81.96169, angle = 13.02447, collision = h0052B0_0000
x = 159.9196, y = -170.2034, z = -84.87202, angle = 30.68983, collision = h0052B0_0000
x = 163.9969, y = -168.5135, z = -89.86353, angle = -14.07132, collision = h0060B0_0000
x = 164.3446, y = -167.9431, z = -90.7461, angle = -42.06158, collision = h0060B0_0000
x = 165.1353, y = -167.4642, z = -91.54432, angle = -55.70695, collision = h0060B0_0000
x = 166.2857, y = -167.1367, z = -92.09825, angle = -77.13938, collision = h0060B0_0000
x = 167.57, y = -166.8976, z = -92.41162, angle = -79.27253, collision = h0060B0_0000
x = 168.8241, y = -166.6873, z = -92.12325, angle = 168.1989, collision = h0060B0_0000
x = 168.6466, y = -166.817, z = -90.82787, angle = 166.0953, collision = h0060B0_0000
x = 168.4646, y = -167.0399, z = -89.36693, angle = -77.12412, collision = h0060B0_0000
x = 169.4991, y = -166.7434, z = -89.61083, angle = -26.56821, collision = h0060B0_0000
x = 169.9758, y = -166.5041, z = -90.9932, angle = 6.06626, collision = h0060B0_0000
x = 169.8333, y = -166.3566, z = -92.14003, angle = 41.60369, collision = h0060B0_0000
x = 159.606, y = -171.0641, z = -82.04808, angle = -174.2451, collision = h0052B0_0000
x = 159.6313, y = -171.5529, z = -77.57215, angle = 154.8119, collision = h0052B0_0000
x = 158.5395, y = -171.8674, z = -76.9578, angle = 81.33882, collision = h0052B0_0000
x = 157.0752, y = -172.0651, z = -77.17243, angle = 105.3406, collision = h0052B0_0000
x = 155.9428, y = -172.0982, z = -76.68343, angle = 152.7683, collision = h0052B0_0000
x = 155.2274, y = -172.1331, z = -75.38026, angle = 116.3196, collision = h0052B0_0000
x = 154.0646, y = -172.1521, z = -74.90318, angle = 67.00753, collision = h0052B0_0000
x = 152.7202, y = -172.1475, z = -75.5, angle = 47.49641, collision = h0052B0_0000
x = 151.7236, y = -172.1343, z = -76.36553, angle = 53.14354, collision = h0052B0_0000
x = 150.5615, y = -172.1208, z = -77.293, angle = 52.71499, collision = h0052B0_0000
x = 149.4803, y = -172.1143, z = -78.04752, angle = 75.04594, collision = h0052B0_0000
x = 148.0332, y = -172.1447, z = -78.28497, angle = 127.9091, collision = h0052B0_0000
x = 147.0733, y = -172.2054, z = -77.4737, angle = 171.7329, collision = h0052B0_0000
x = 146.9953, y = -172.327, z = -76.03557, angle = -133.5087, collision = h0052B0_0000
x = 147.8967, y = -172.3543, z = -75.08134, angle = -135.4743, collision = h0052B0_0000
x = 148.8922, y = -172.3883, z = -73.9815, angle = 175.2495, collision = h0052B0_0000
x = 148.7584, y = -172.4529, z = -72.76196, angle = 72.56588, collision = h0052B0_0000
x = 147.5146, y = -172.4695, z = -73.26179, angle = 33.39692, collision = h0052B0_0000
x = 146.695, y = -172.449, z = -74.28904, angle = 56.24189, collision = h0052B0_0000
x = 145.4386, y = -172.453, z = -75.08169, angle = 108.7302, collision = h0052B0_0000
x = 144.3165, y = -172.5, z = -74.60593, angle = -164.2279, collision = h0052B0_0000
x = 144.7329, y = -172.5, z = -73.31956, angle = -121.9879, collision = h0052B0_0000
x = 145.8493, y = -172.5, z = -72.61448, angle = -117.816, collision = h0052B0_0000
x = 147.1007, y = -172.5, z = -71.83002, angle = -151.719, collision = h0052B0_0000
x = 147.7316, y = -172.5, z = -70.67181, angle = -167.6245, collision = h0052B0_0000
x = 147.5435, y = -172.5, z = -69.46631, angle = 69.30614, collision = h0052B0_0000
x = 146.4418, y = -172.5, z = -70.3821, angle = 82.25619, collision = h0052B0_0000
x = 145.0338, y = -172.5023, z = -70.3683, angle = 111.1559, collision = h0052B0_0000
x = 143.8043, y = -173.0117, z = -70.01658, angle = 94.94248, collision = h0052B0_0000
x = 142.6397, y = -173.5, z = -69.64692, angle = -167.7728, collision = h0054B0_0000
x = 142.7263, y = -173.5, z = -68.6408, angle = -123.6863, collision = h0054B0_0000
x = 143.8588, y = -173.5, z = -67.69856, angle = 161.8051, collision = h0054B0_0000
x = 143.3441, y = -173.5, z = -66.65847, angle = 82.74258, collision = h0054B0_0000
x = 141.8748, y = -173.5, z = -66.76057, angle = 121.4712, collision = h0054B0_0000
x = 140.972, y = -173.5, z = -65.99449, angle = -166.4515, collision = h0054B0_0000
x = 141.3639, y = -173.5, z = -64.59631, angle = -163.1915, collision = h0054B0_0000
x = 141.2954, y = -173.5, z = -63.49847, angle = 105.8734, collision = h0054B0_0000
x = 139.8656, y = -173.5, z = -63.19268, angle = 104.4549, collision = h0054B0_0000
x = 138.6573, y = -173.5, z = -62.79198, angle = 152.5312, collision = h0054B0_0000
x = 138.094, y = -173.5, z = -61.4792, angle = -169.1687, collision = h0054B0_0000
x = 138.296, y = -173.5, z = -60.17627, angle = 140.0244, collision = h0054B0_0000
x = 137.3616, y = -173.5, z = -59.16792, angle = 108.2716, collision = h0054B0_0000
x = 136.1077, y = -173.5, z = -58.74689, angle = 119.2649, collision = h0054B0_0000
x = 135.1357, y = -173.5, z = -57.77276, angle = 165.4671, collision = h0054B0_0000
x = 134.8088, y = -173.5, z = -56.49112, angle = 167.1191, collision = h0054B0_0000
x = 134.44, y = -173.5, z = -55.05083, angle = 136.1834, collision = h0054B0_0000
x = 133.5865, y = -173.5, z = -54.05052, angle = 149.9649, collision = h0054B0_0000
x = 132.8085, y = -173.5, z = -52.79712, angle = 154.1234, collision = h0054B0_0000
x = 132.0038, y = -173.5, z = -51.85184, angle = 136.5545, collision = h0054B0_0000
x = 130.7576, y = -173.5, z = -51.7995, angle = 163.6069, collision = h0054B0_0000
x = 130.6222, y = -173.5, z = -50.70299, angle = 140.0132, collision = h0054B0_0000
x = 130.3108, y = -173.5, z = -49.4376, angle = 159.1017, collision = h0054B0_0000
x = 130.3417, y = -173.5, z = -48.19673, angle = 124.3197, collision = h0054B0_0000
x = 129.0991, y = -173.5, z = -47.58068, angle = 103.0522, collision = h0054B0_0000
x = 127.8257, y = -173.5, z = -47.06178, angle = 164.0955, collision = h0054B0_0000
x = 127.6128, y = -173.5, z = -45.78776, angle = -159.8545, collision = h0054B0_0000
x = 127.846, y = -173.5, z = -44.36814, angle = 121.1716, collision = h0054B0_0000
x = 126.7485, y = -173.5, z = -43.6963, angle = 95.3667, collision = h0054B0_0000
x = 125.2711, y = -173.5, z = -43.53248, angle = 133.0688, collision = h0054B0_0000
x = 124.3195, y = -173.5, z = -42.65618, angle = 163.3236, collision = h0054B0_0000
x = 123.8767, y = -172.718, z = -41.24278, angle = -169.5979, collision = h0054B0_0000
x = 124.0709, y = -172.5, z = -39.94655, angle = -177.3418, collision = h0054B0_0000
x = 123.7794, y = -172.5, z = -38.59531, angle = 166.7276, collision = h0054B0_0000
x = 123.4412, y = -172.5, z = -37.32814, angle = 171.2636, collision = h0054B0_0000
x = 123.2174, y = -172.4288, z = -35.85701, angle = 171.6583, collision = h0054B0_0000
x = 123.0266, y = -172.3303, z = -34.54815, angle = 169.2051, collision = h0054B0_0000
x = 122.7685, y = -172.2242, z = -33.25254, angle = 166.2543, collision = h0054B0_0000
x = 122.485, y = -172.1729, z = -32.11151, angle = 166.5477, collision = h0054B0_0000
x = 122.2404, y = -172.1379, z = -31.11833, angle = 166.3875, collision = h0054B0_0000
x = 121.6003, y = -172.1941, z = -33.55727, angle = 38.66696, collision = h0054B0_0000
x = 120.8095, y = -172.2235, z = -34.61544, angle = 49.16386, collision = h0054B0_0000
x = 119.5995, y = -172.2302, z = -35.39185, angle = 92.76419, collision = h0054B0_0000
x = 118.4344, y = -172.1875, z = -35.37694, angle = 99.55029, collision = h0054B0_0000
x = 117.1041, y = -172.1366, z = -35.30759, angle = 91.80528, collision = h0054B0_0000
x = 117.7957, y = -172.1312, z = -34.54578, angle = 139.6495, collision = h0054B0_0000
x = 117.0861, y = -172.0454, z = -33.30823, angle = 141.1278, collision = h0054B0_0000
x = 116.2555, y = -171.986, z = -32.27893, angle = 133.9105, collision = h0054B0_0000
x = 115.2242, y = -171.9169, z = -31.51402, angle = 114.7663, collision = h0054B0_0000
x = 114.001, y = -171.7771, z = -30.7183, angle = 133.6103, collision = h0054B0_0000
x = 113.0876, y = -171.647, z = -29.85086, angle = 133.4848, collision = h0054B0_0000
x = 115.021, y = -171.8001, z = -30.15726, angle = -167.5943, collision = h0054B0_0000
x = 115.3053, y = -171.7089, z = -28.86546, angle = -167.4887, collision = h0054B0_0000
x = 115.6237, y = -171.6155, z = -27.41191, angle = -168.0427, collision = h0054B0_0000
x = 115.8962, y = -171.5236, z = -26.11757, angle = -169.5988, collision = h0054B0_0000
x = 116.3707, y = -171.4368, z = -24.76472, angle = 1.603278, collision = h0054B0_0000
x = 117.6263, y = -171.6052, z = -26.24358, angle = -1.925635, collision = h0054B0_0000
x = 118.0798, y = -171.7476, z = -27.55037, angle = -80.44158, collision = h0054B0_0000
x = 119.344, y = -171.8175, z = -27.75089, angle = -112.8492, collision = h0054B0_0000
x = 120.6764, y = -171.827, z = -27.11384, angle = -125.8578, collision = h0054B0_0000
x = 121.7722, y = -171.6897, z = -26.37702, angle = -69.77881, collision = h0054B0_0000
x = 123.0154, y = -171.7542, z = -26.91873, angle = -11.1868, collision = h0054B0_0000
x = 123.2103, y = -171.9696, z = -28.20986, angle = 23.24729, collision = h0054B0_0000
x = 122.595, y = -172.05, z = -29.55166, angle = -0.4480877, collision = h0054B0_0000
x = 121.9005, y = -172.2731, z = -34.572, angle = 23.53026, collision = h0054B0_0000
x = 121.3783, y = -172.3367, z = -35.7859, angle = 61.79605, collision = h0054B0_0000
x = 120.0735, y = -172.326, z = -36.40935, angle = 92.40543, collision = h0054B0_0000
x = 117.7882, y = -172.212, z = -36.19886, angle = 79.78896, collision = h0054B0_0000
x = 116.3158, y = -172.1717, z = -36.39373, angle = 89.43716, collision = h0054B0_0000
x = 115.0025, y = -172.1219, z = -36.30655, angle = 108.676, collision = h0054B0_0000
x = 113.576, y = -172.0616, z = -35.91387, angle = 80.07233, collision = h0054B0_0000
x = 112.2874, y = -172.0078, z = -36.14073, angle = 76.12505, collision = h0054B0_0000
x = 112.5663, y = -172.0414, z = -37.15725, angle = -11.75397, collision = h0054B0_0000
x = 111.425, y = -171.7831, z = -37.52842, angle = 122.9386, collision = h0054B0_0000
x = 110.5094, y = -171.4678, z = -36.8171, angle = 177.0401, collision = h0054B0_0000
x = 110.1474, y = -171.4113, z = -35.38915, angle = 141.0323, collision = h0054B0_0000
x = 109.3506, y = -171.2107, z = -34.33605, angle = 152.2606, collision = h0054B0_0000
x = 108.8604, y = -171.1446, z = -32.99599, angle = -154.079, collision = h0054B0_0000
x = 109.4565, y = -171.4771, z = -31.83694, angle = -125.5335, collision = h0054B0_0000
x = 110.7002, y = -171.5755, z = -31.0485, angle = -115.6127, collision = h0054B0_0000
x = 111.8985, y = -171.6306, z = -30.48881, angle = -114.4605, collision = h0054B0_0000
x = 114.1807, y = -171.6882, z = -29.52048, angle = -107.6, collision = h0054B0_0000
x = 116.413, y = -171.7806, z = -28.91897, angle = -104.1253, collision = h0054B0_0000
x = 117.6954, y = -171.8161, z = -28.59515, angle = -106.2294, collision = h0054B0_0000
x = 121.4608, y = -171.5319, z = -25.25005, angle = 179.5, collision = h0054B0_0000
x = 120.9394, y = -171.1434, z = -22.79483, angle = 179.5, collision = h0054B0_0000

# Lower
x = 110.1691, y = -171, z = -19.67451, angle = -28.32499, collision = h0030B0_0000
x = 113.8326, y = -170.4204, z = -16.85131, angle = 77.11702, collision = h0130B0_0000
x = 112.7605, y = -170.6465, z = -16.76878, angle = 40.13298, collision = h0130B0_0000
x = 111.8692, y = -170.9366, z = -17.70758, angle = 26.08612, collision = h0030B0_0000
x = 111.2191, y = -171, z = -18.98286, angle = 36.70984, collision = h0030B0_0000
x = 105.2393, y = -170.5883, z = -22.81308, angle = -146.6243, collision = h0130B0_0000
x = 105.8317, y = -170.7154, z = -21.73456, angle = -124.4892, collision = h0130B0_0000
x = 106.604, y = -170.8853, z = -21.07161, angle = -143.4967, collision = h0030B0_0000
x = 107.484, y = -171, z = -20.30195, angle = -140.7801, collision = h0030B0_0000
x = 108.4909, y = -171, z = -18.88587, angle = -127.5808, collision = h0030B0_0000
x = 109.4947, y = -171, z = -18.09127, angle = -131.4999, collision = h0030B0_0000
x = 110.3428, y = -171, z = -17.34297, angle = -136.0171, collision = h0130B0_0000
x = 111.3597, y = -170.7314, z = -16.27706, angle = -138.4961, collision = h0130B0_0000
x = 112.1167, y = -170.5541, z = -15.40397, angle = -136.2386, collision = h0130B0_0000
x = 113.077, y = -170.4627, z = -14.39398, angle = -133.2068, collision = h0130B0_0000
x = 113.9638, y = -170.1486, z = -13.54226, angle = -132.0275, collision = h0130B0_0000
x = 113.6366, y = -170.1393, z = -12.58896, angle = 109.299, collision = h0130B0_0000
x = 112.4314, y = -170.4292, z = -12.03394, angle = 156.3208, collision = h0130B0_0000
x = 111.9326, y = -170.5536, z = -10.97232, angle = 158.1938, collision = h0130B0_0000
x = 111.4522, y = -170.5708, z = -9.702967, angle = -109.0593, collision = h0130B0_0000
x = 112.1916, y = -170.7463, z = -8.88284, angle = -80.10989, collision = h0130B0_0000
x = 113.5093, y = -170.5386, z = -9.077378, angle = -48.98013, collision = h0130B0_0000
x = 114.56, y = -170.271, z = -9.752397, angle = -20.27309, collision = h0130B0_0000
