x = -19.71554, y = 48.91821, z = 954.4495, angle = 20, collision = h0100B0_0000
x = -8.484658, y = 49.57233, z = 887.1797, angle = -176.4998, collision = h0022B0
x = -8.420499, y = 49.56886, z = 888.6098, angle = -175.1234, collision = h0022B0
x = -7.713269, y = 49.63351, z = 891.8837, angle = 134.6814, collision = h0022B0
x = -9.235952, y = 49.56547, z = 890.3336, angle = 74.95307, collision = h0022B0
x = -10.34337, y = 49.52031, z = 890.389, angle = 71.96922, collision = h0022B0
x = -11.70133, y = 49.52877, z = 890.3609, angle = 90.92577, collision = h0022B0
x = -12.97279, y = 49.55146, z = 890.4423, angle = 96.33597, collision = h0022B0
x = -14.39597, y = 49.57754, z = 890.6082, angle = 98.46777, collision = h0022B0
x = -15.43594, y = 49.60046, z = 891.1538, angle = 129.745, collision = h0021B0
x = -16.30149, y = 49.60957, z = 891.6943, angle = 110.1048, collision = h0021B0
x = -16.2279, y = 49.60957, z = 890.3771, angle = 5.815974, collision = h0021B0
x = -16.57043, y = 49.60957, z = 889.0612, angle = 48.85551, collision = h0021B0
x = -17.48802, y = 49.60957, z = 888.208, angle = 32.92893, collision = h0021B0
x = -18.41799, y = 49.60957, z = 887.3941, angle = 128.5986, collision = h0021B0
x = -19.2613, y = 49.60957, z = 888.2661, angle = -123.9705, collision = h0021B0
x = -17.50861, y = 49.60957, z = 889.5323, angle = 170.3264, collision = h0021B0
x = -17.85503, y = 49.60957, z = 890.9164, angle = 153.9496, collision = h0021B0
x = -18.44208, y = 49.60957, z = 892.0761, angle = 135.7025, collision = h0021B0
x = -19.51461, y = 49.60957, z = 892.9357, angle = 25.07978, collision = h0021B0
x = -20.02159, y = 49.60957, z = 891.7463, angle = -1.169096, collision = h0021B0
x = -19.65963, y = 49.60957, z = 890.6446, angle = 8.895379, collision = h0021B0
x = -19.9609, y = 49.60957, z = 889.2503, angle = 31.08763, collision = h0021B0
x = -20.83548, y = 49.60957, z = 888.1545, angle = 104.3694, collision = h0021B0
x = -21.82449, y = 49.60957, z = 888.6129, angle = 178.3382, collision = h0021B0
x = -22.03732, y = 49.60957, z = 890.014, angle = 153.95, collision = h0021B0
x = -22.68563, y = 49.60957, z = 891.2905, angle = 94.25092, collision = h0021B0
x = -23.91938, y = 49.60957, z = 891.2077, angle = 15.70733, collision = h0021B0
x = -24.32402, y = 49.60957, z = 889.8559, angle = 27.21156, collision = h0021B0
x = -25.12726, y = 49.60957, z = 888.73, angle = 70.25697, collision = h0021B0
x = -26.31542, y = 49.60957, z = 888.2896, angle = 72.3279, collision = h0021B0
x = -27.68187, y = 49.60957, z = 887.8586, angle = 77.70152, collision = h0021B0
x = -29.09182, y = 49.60957, z = 887.6444, angle = 91.76609, collision = h0021B0
x = -30.41579, y = 49.60957, z = 887.6996, angle = 95.65773, collision = h0021B0
x = -31.21243, y = 49.60957, z = 888.5466, angle = 99.48441, collision = h0021B0
x = -32.61518, y = 49.60957, z = 888.6036, angle = 50.98471, collision = h0021B0
x = -33.70864, y = 49.60957, z = 887.6995, angle = 29.72015, collision = h0021B0
x = -35.10079, y = 49.60957, z = 887.3941, angle = 102.342, collision = h0021B0
x = -36.40675, y = 49.60957, z = 887.8472, angle = 130.3982, collision = h0021B0
x = -37.36685, y = 49.60957, z = 888.6863, angle = 125.0978, collision = h0021B0
x = -38.5753, y = 49.60957, z = 889.4457, angle = -177.2106, collision = h0021B0
x = -38.36304, y = 49.60957, z = 890.5898, angle = -89.82025, collision = h0021B0
x = -36.98747, y = 49.60957, z = 890.4926, angle = -49.04569, collision = h0021B0
x = -35.74441, y = 49.60957, z = 889.8343, angle = -72.43933, collision = h0021B0
x = -34.34228, y = 49.60957, z = 889.6182, angle = -96.4213, collision = h0021B0
x = -33.08107, y = 49.60957, z = 889.744, angle = -95.99122, collision = h0021B0
x = -31.65784, y = 49.60957, z = 889.907, angle = -95.04371, collision = h0021B0
x = -30.23137, y = 49.60957, z = 890.0417, angle = -100.089, collision = h0021B0
x = -28.82842, y = 49.60957, z = 890.324, angle = -111.8095, collision = h0021B0
x = -27.81927, y = 49.60957, z = 890.1617, angle = -112.2998, collision = h0021B0
x = -26.53203, y = 49.60957, z = 890.7632, angle = -152.2285, collision = h0021B0
x = -25.95315, y = 49.60957, z = 891.8877, angle = -174.5892, collision = h0021B0
x = -26.08343, y = 49.60957, z = 893.2374, angle = 106.7002, collision = h0021B0
x = -27.42889, y = 49.60957, z = 893.7057, angle = 105.0044, collision = h0021B0
x = -28.82125, y = 49.60957, z = 894.0407, angle = 88.72752, collision = h0021B0
x = -30.15899, y = 49.60957, z = 893.7478, angle = 78.63328, collision = h0021B0
x = -31.53533, y = 49.60957, z = 893.5043, angle = 110.7179, collision = h0021B0
x = -32.88292, y = 49.60957, z = 893.9326, angle = 113.1168, collision = h0021B0
x = -34.04036, y = 49.60957, z = 894.4468, angle = 120.6556, collision = h0021B0
x = -35.21185, y = 49.60957, z = 895.2493, angle = 177.0017, collision = h0021B0
x = -35.21095, y = 49.60957, z = 896.6277, angle = -143.316, collision = h0021B0
x = -34.27693, y = 49.60957, z = 897.6762, angle = -108.1838, collision = h0021B0
x = -32.91775, y = 49.60957, z = 898.1297, angle = -107.6805, collision = h0021B0
x = -31.5258, y = 49.60957, z = 898.3967, angle = -83.31578, collision = h0021B0
x = -30.25502, y = 49.60957, z = 898.2737, angle = -83.93929, collision = h0021B0
x = -28.82824, y = 49.60957, z = 898.1431, angle = -89.70056, collision = h0021B0
x = -27.3966, y = 49.60957, z = 898.1607, angle = -103.9509, collision = h0021B0
x = -26.01663, y = 49.60957, z = 898.5285, angle = -118.845, collision = h0021B0
x = -24.78553, y = 49.60957, z = 899.2533, angle = -104.9021, collision = h0021B0
x = -23.43947, y = 49.60957, z = 899.6792, angle = -110.7993, collision = h0021B0
x = -22.21492, y = 49.60957, z = 900.012, angle = -79.86831, collision = h0021B0
x = -20.80451, y = 49.60957, z = 899.7742, angle = -111.2249, collision = h0021B0
x = -19.65107, y = 49.60957, z = 900.4161, angle = -153.6595, collision = h0021B0
x = -19.04653, y = 49.60957, z = 901.712, angle = -169.9173, collision = h0021B0
x = -18.90876, y = 49.60957, z = 903.1218, angle = 146.9047, collision = h0021B0
x = -19.72486, y = 49.60957, z = 904.2613, angle = 115.1681, collision = h0021B0
x = -20.86323, y = 49.60957, z = 904.8315, angle = 115.2672, collision = h0021B0
x = -22.15031, y = 49.60957, z = 905.4401, angle = 107.228, collision = h0021B0
x = -23.52734, y = 49.60957, z = 905.6977, angle = 84.46828, collision = h0021B0
x = -24.95295, y = 49.60957, z = 905.5532, angle = 83.28766, collision = h0021B0
x = -26.35425, y = 49.60957, z = 905.2858, angle = 61.66847, collision = h0021B0
x = -27.63216, y = 49.60957, z = 904.6403, angle = 80.19392, collision = h0021B0
x = -28.88486, y = 49.60957, z = 904.4816, angle = 103.2155, collision = h0021B0
x = -30.27815, y = 49.60957, z = 904.8136, angle = 105.7552, collision = h0021B0
x = -31.6499, y = 49.60957, z = 905.2261, angle = 117.0937, collision = h0021B0
x = -32.89695, y = 49.60957, z = 905.9218, angle = 134.9449, collision = h0021B0
x = -33.88718, y = 49.60957, z = 906.952, angle = 120.7675, collision = h0021B0
x = -34.77571, y = 49.60957, z = 907.9813, angle = -176.8765, collision = h0021B0
x = -34.51462, y = 49.60957, z = 909.1701, angle = -82.70259, collision = h0021B0
x = -33.3019, y = 49.60957, z = 908.8472, angle = -40.64363, collision = h0021B0
x = -32.32994, y = 49.60957, z = 907.7987, angle = -77.19626, collision = h0021B0
x = -30.97081, y = 49.60957, z = 907.3627, angle = -55.94571, collision = h0021B0
x = -29.74383, y = 49.60957, z = 906.6321, angle = -73.15792, collision = h0021B0
x = -28.34832, y = 49.60957, z = 906.3376, angle = -117.3758, collision = h0021B0
x = -27.19927, y = 49.60957, z = 907.0787, angle = -153.462, collision = h0021B0
x = -26.67424, y = 49.60957, z = 908.2334, angle = -177.6721, collision = h0021B0
x = -26.67303, y = 49.60957, z = 909.6551, angle = -170.8055, collision = h0021B0
x = -26.48973, y = 49.60957, z = 911.0666, angle = -159.8743, collision = h0021B0
x = -25.85748, y = 49.60957, z = 912.321, angle = -119.2732, collision = h0021B0
x = -24.55327, y = 49.60957, z = 912.8691, angle = -87.03519, collision = h0021B0
x = -23.33706, y = 49.60957, z = 912.7137, angle = -52.83545, collision = h0021B0
x = -22.22867, y = 49.60957, z = 911.8473, angle = -42.41837, collision = h0021B0
x = -21.24566, y = 49.60957, z = 910.806, angle = -105.4409, collision = h0021B0
x = -20.07417, y = 49.60957, z = 911.2128, angle = -163.3371, collision = h0021B0
x = -19.69142, y = 49.60957, z = 912.5864, angle = -169.351, collision = h0021B0
x = -19.42323, y = 49.60957, z = 913.994, angle = -171.2281, collision = h0021B0
x = -19.31706, y = 49.60957, z = 915.412, angle = 164.2728, collision = h0021B0
x = -19.68549, y = 49.60957, z = 916.6304, angle = 147.0002, collision = h0021B0
x = -20.51459, y = 49.60957, z = 917.7884, angle = 82.14631, collision = h0021B0
x = -21.79266, y = 49.60957, z = 917.5186, angle = 41.03024, collision = h0021B0
x = -22.75751, y = 49.60957, z = 916.4724, angle = 45.54605, collision = h0021B0
x = -23.79245, y = 49.60957, z = 915.4818, angle = 52.3427, collision = h0021B0
x = -24.84342, y = 49.60957, z = 914.7714, angle = 67.11856, collision = h0021B0
x = -26.16112, y = 49.60957, z = 914.2085, angle = 65.73593, collision = h0021B0
x = -27.49749, y = 49.60957, z = 913.7009, angle = 76.18243, collision = h0021B0
x = -28.90172, y = 49.60957, z = 913.4219, angle = 82.17468, collision = h0021B0
x = -30.32196, y = 49.60957, z = 913.2319, angle = 83.50167, collision = h0021B0
x = -31.74617, y = 49.60957, z = 913.0744, angle = 85.63248, collision = h0021B0
x = -33.17592, y = 49.60957, z = 912.9975, angle = 104.6696, collision = h0021B0
x = -34.3008, y = 49.60957, z = 913.4553, angle = 139.6711, collision = h0021B0
x = -35.03032, y = 49.60957, z = 914.3057, angle = 147.4992, collision = h0021B0
x = -36.39339, y = 49.60957, z = 913.7517, angle = 80.64631, collision = h0021B0
x = -37.70836, y = 49.60957, z = 913.8205, angle = 160.4455, collision = h0021B0
x = -38.03635, y = 49.60957, z = 915.0121, angle = -154.2965, collision = h0021B0
x = -37.57259, y = 49.60957, z = 916.3638, angle = -147.3273, collision = h0021B0
x = -36.91534, y = 49.60957, z = 917.6321, angle = -161.5569, collision = h0021B0
x = -36.10936, y = 49.60957, z = 918.685, angle = -79.14916, collision = h0021B0
x = -34.75014, y = 49.60957, z = 918.3468, angle = -48.14458, collision = h0021B0
x = -33.61003, y = 49.60957, z = 917.5017, angle = -95.53328, collision = h0021B0
x = -32.34846, y = 49.60957, z = 917.5704, angle = -78.75197, collision = h0021B0
x = -30.99039, y = 49.60957, z = 917.228, angle = -64.54816, collision = h0021B0
x = -29.67484, y = 49.60957, z = 916.668, angle = -78.3774, collision = h0021B0
x = -28.26657, y = 49.60957, z = 916.4159, angle = -96.25632, collision = h0021B0
x = -26.85285, y = 49.60957, z = 916.6111, angle = -113.7935, collision = h0021B0
x = -25.57071, y = 49.60957, z = 917.2362, angle = -96.97298, collision = h0021B0
x = -24.33562, y = 49.60957, z = 917.48, angle = -110.2529, collision = h0021B0
x = -22.95969, y = 49.60957, z = 917.7993, angle = -98.80412, collision = h0021B0
x = -20.88235, y = 49.76922, z = 918.725, angle = -167.9564, collision = h0021B0
x = -20.51344, y = 50.00616, z = 920.1032, angle = -159.9096, collision = h0021B0
x = -19.66721, y = 50.00624, z = 920.9711, angle = -94.44051, collision = h0021B0
x = -18.4585, y = 49.52803, z = 922.264, angle = -153.7503, collision = h0021B0
x = -18.84364, y = 49.19998, z = 923.6601, angle = 139.1825, collision = h0021B0
x = -19.80297, y = 49.19997, z = 924.7167, angle = 138.2825, collision = h0021B0
x = -17.72183, y = 57.66423, z = 924.7014, angle = -70.14079, collision = h0020B0
x = -16.71128, y = 57.66545, z = 924.3489, angle = -122.792, collision = h0020B0
x = -16.73845, y = 57.66435, z = 925.537, angle = 158.2254, collision = h0020B0
x = -17.18539, y = 57.75517, z = 926.7162, angle = 165.9487, collision = h0020B0
x = -18.06381, y = 57.84079, z = 927.4114, angle = 76.89906, collision = h0020B0
x = -19.02535, y = 57.68949, z = 926.8351, angle = 85.25851, collision = h0020B0
x = -20.21609, y = 57.88636, z = 927.2598, angle = 125.8509, collision = h0020B0
x = -20.95608, y = 58.24239, z = 928.2968, angle = -104.4123, collision = h0020B0
x = -19.78944, y = 58.03284, z = 928.2641, angle = -60.2444, collision = h0020B0
x = -15.94786, y = 57.84473, z = 927.1859, angle = -97.11305, collision = h0020B0
x = -14.67835, y = 57.90449, z = 927.3143, angle = -93.75473, collision = h0020B0
x = -14.45171, y = 57.66237, z = 926.0314, angle = 0.930545, collision = h0020B0
x = -14.5724, y = 58.26914, z = 924.6072, angle = 8.550318, collision = h0020B0
x = -14.71764, y = 58.87329, z = 923.663, angle = 7.29609, collision = h0020B0
x = -14.89158, y = 59.47295, z = 922.7259, angle = 22.2265, collision = h0019B0
x = -15.13889, y = 60.01682, z = 921.8761, angle = -12.92128, collision = h0019B0
x = -15.01281, y = 60.65815, z = 920.874, angle = -15.07413, collision = h0019B0
x = -14.7402, y = 61.06023, z = 919.8643, angle = 11.55321, collision = h0019B0
x = -15.03302, y = 61.06005, z = 918.618, angle = 22.33655, collision = h0019B0
x = -16.04942, y = 61.10513, z = 918.9247, angle = 133.9511, collision = h0019B0
x = -16.9799, y = 61.06005, z = 919.723, angle = 100.1222, collision = h0019B0
x = -18.28289, y = 61.05361, z = 919.9067, angle = 50.72986, collision = h0019B0
x = -18.84256, y = 61.06006, z = 918.6652, angle = -8.164603, collision = h0019B0
x = -18.70223, y = 61.05857, z = 917.5399, angle = -6.478148, collision = h0019B0
x = -17.46513, y = 61.24346, z = 917.5257, angle = -89.9406, collision = h0019B0
x = -15.99431, y = 61.04894, z = 917.4687, angle = -77.95165, collision = h0019B0
x = -16.60863, y = 61.04018, z = 916.4013, angle = -5.759352, collision = h0125B0_0000
x = -16.51509, y = 60.8399, z = 915.257, angle = -1.835709, collision = h0125B0_0000
x = -16.48581, y = 60.43484, z = 914.111, angle = 2.459428, collision = h0125B0_0000
x = -16.52178, y = 59.90104, z = 913.2759, angle = 2.803765, collision = h0125B0_0000
x = -17.78851, y = 61.23289, z = 918.5211, angle = 146.7154, collision = h0019B0
x = -19.43828, y = 61.06005, z = 919.6732, angle = 57.44908, collision = h0019B0
x = -20.64448, y = 61.06004, z = 919.2513, angle = 53.86502, collision = h0019B0
x = -21.79201, y = 61.15002, z = 918.5259, angle = 57.26798, collision = h0019B0
x = -23.00463, y = 61.15138, z = 917.8761, angle = 106.5844, collision = h0019B0
x = -24.26094, y = 61.06008, z = 918.2335, angle = 78.30739, collision = h0018B0
x = -25.25068, y = 61.15015, z = 918.0345, angle = 77.75272, collision = h0018B0
x = -26.36792, y = 61.30518, z = 917.9852, angle = 82.2425, collision = h0018B0
x = -27.78888, y = 61.46092, z = 917.8038, angle = 85.45657, collision = h0018B0
x = -29.06075, y = 61.46481, z = 917.694, angle = 89.46256, collision = h0018B0
x = -30.51129, y = 61.58125, z = 917.7478, angle = 101.256, collision = h0018B0
x = -31.90819, y = 61.69447, z = 918.0228, angle = 102.977, collision = h0018B0
x = -32.88438, y = 61.77042, z = 918.2451, angle = 104.761, collision = h0018B0
x = -34.27462, y = 61.85456, z = 918.588, angle = 60.53971, collision = h0018B0
x = -35.53447, y = 61.97354, z = 917.9783, angle = 65.21212, collision = h0018B0
x = -36.84045, y = 62.07199, z = 917.4855, angle = 92.60026, collision = h0018B0
x = -38.10973, y = 62.072, z = 917.5756, angle = 117.6503, collision = h0018B0
x = -39.3555, y = 62.07201, z = 918.2542, angle = 141.1205, collision = h0018B0
x = -39.68299, y = 62.07201, z = 919.4537, angle = -157.0299, collision = h0018B0
x = -39.39978, y = 62.07201, z = 920.5925, angle = -174.4584, collision = h0018B0
x = -39.61895, y = 62.07201, z = 921.6035, angle = 171.0125, collision = h0018B0
x = -28.50057, y = 61.68272, z = 918.5909, angle = -61.2882, collision = h0018B0
x = -20.77984, y = 61.07899, z = 917.8094, angle = -88.22319, collision = h0019B0
x = -19.72814, y = 61.06007, z = 918.0861, angle = -106.4207, collision = h0019B0
x = -16.60697, y = 59.3887, z = 912.4744, angle = -4.163875, collision = h0125B0_0000
x = -16.53227, y = 58.64465, z = 911.3104, angle = -4.386867, collision = h0125B0_0000
x = -16.43243, y = 57.80159, z = 909.9915, angle = -4.217642, collision = h0125B0_0000
x = -16.41932, y = 57.1809, z = 909.0205, angle = 1.946303, collision = h0125B0_0000
x = -16.51295, y = 56.31716, z = 907.6693, angle = 14.09783, collision = h0125B0_0000
x = -16.74392, y = 55.71864, z = 906.7329, angle = 16.72989, collision = h0125B0_0000
x = -17.13563, y = 55.69453, z = 905.4313, angle = -11.24215, collision = h0125B0_0000
x = -16.89883, y = 55.69453, z = 903.9915, angle = -16.0153, collision = h0125B0_0000
x = -16.70701, y = 55.69453, z = 902.7558, angle = 79.97247, collision = h0125B0_0000
x = -17.8973, y = 55.69454, z = 902.5529, angle = 139.1772, collision = h0125B0_0000
x = -18.63562, y = 55.69454, z = 903.2962, angle = -172.6838, collision = h0125B0_0000
x = -18.50769, y = 55.69454, z = 904.3344, angle = -157.869, collision = h0125B0_0000
x = -18.11155, y = 55.69454, z = 905.7519, angle = 151.442, collision = h0125B0_0000
x = -18.75836, y = 55.69454, z = 907.1415, angle = 147.7153, collision = h0125B0_0000
x = -18.41281, y = 55.69454, z = 908.2449, angle = -138.0284, collision = h0125B0_0000
x = -18.42683, y = 55.701, z = 909.5428, angle = -175.0867, collision = h0125B0_0000
x = -18.35356, y = 55.69454, z = 910.8488, angle = 178.1357, collision = h0125B0_0000
x = -18.49021, y = 55.69454, z = 912.2538, angle = 98.69395, collision = h0125B0_0000
x = -18.83296, y = 55.69454, z = 913.487, angle = 161.4006, collision = h0125B0_0000
x = -19.45376, y = 55.69454, z = 914.7258, angle = 116.4539, collision = h0025B0
x = -20.61466, y = 55.22538, z = 915.1844, angle = 92.91071, collision = h0025B0
x = -22.0736, y = 54.99921, z = 915.2193, angle = 89.51723, collision = h0025B0
x = -23.44339, y = 55.03051, z = 915.2941, angle = 67.66284, collision = h0025B0
x = -24.70294, y = 54.97761, z = 914.8201, angle = 65.74702, collision = h0025B0
x = -25.63711, y = 54.98246, z = 914.3906, angle = 86.27053, collision = h0025B0
x = -26.87876, y = 54.98412, z = 914.5279, angle = 140.1688, collision = h0025B0
x = -27.73853, y = 55.09581, z = 915.6943, angle = 170.9389, collision = h0025B0
x = -27.77964, y = 55.65461, z = 917.0994, angle = -174.531, collision = h0029B0
x = -27.63626, y = 56.22617, z = 918.0384, angle = -177.2225, collision = h0029B0
x = -27.45991, y = 56.7021, z = 919.2914, angle = -180, collision = h0029B0
x = -26.76672, y = 56.7021, z = 920.0224, angle = -180, collision = h0029B0
x = -26.48306, y = 55.82213, z = 917.3696, angle = -119.8693, collision = h0029B0
x = -25.42596, y = 56.29276, z = 918.1478, angle = -175.3889, collision = h0029B0
x = -25.89866, y = 56.70211, z = 919.3417, angle = 91.92155, collision = h0029B0
x = -25.88515, y = 55.31117, z = 916.535, angle = -11.65122, collision = h0025B0
x = -25.66494, y = 55.07353, z = 915.559, angle = 12.95162, collision = h0025B0
x = -28.69345, y = 54.99835, z = 915.1588, angle = 18.43219, collision = h0025B0
x = -29.26405, y = 54.98266, z = 914.1094, angle = 84.67892, collision = h0025B0
x = -30.64549, y = 54.98111, z = 914.2688, angle = 138.9584, collision = h0025B0
x = -31.78189, y = 54.98549, z = 915.0334, angle = 65.95406, collision = h0025B0
x = -33.05981, y = 54.9689, z = 914.5116, angle = 83.78061, collision = h0025B0
x = -34.05762, y = 54.95302, z = 914.2972, angle = 66.88932, collision = h0025B0
x = -35.3187, y = 54.94481, z = 913.7519, angle = 34.42463, collision = h0025B0
x = -35.17236, y = 54.94399, z = 912.5851, angle = -11.04024, collision = h0025B0
x = -35.00378, y = 54.94682, z = 911.2514, angle = 10.80789, collision = h0025B0
x = -35.20122, y = 54.948, z = 910.2513, angle = 11.05636, collision = h0025B0
x = -35.472, y = 54.96199, z = 908.9293, angle = 9.241696, collision = h0025B0
x = -35.65049, y = 54.97519, z = 907.9289, angle = 1.949049, collision = h0025B0
x = -36.08237, y = 55.0929, z = 906.6346, angle = 26.84743, collision = h0027B0
x = -36.72582, y = 55.42346, z = 905.4998, angle = 37.85738, collision = h0027B0
x = -37.66356, y = 55.69458, z = 904.4333, angle = 144.1994, collision = h0027B0
x = -38.35722, y = 55.69459, z = 905.3364, angle = -165.0662, collision = h0027B0
x = -38.1577, y = 55.69459, z = 906.8029, angle = 175.3903, collision = h0027B0
x = -38.25274, y = 55.69459, z = 908.2313, angle = 175.1503, collision = h0027B0
x = -38.36612, y = 55.69459, z = 909.6596, angle = 178.7467, collision = h0027B0
x = -38.16903, y = 55.69459, z = 911.0502, angle = -163.9452, collision = h0027B0
x = -37.84212, y = 55.69459, z = 912.4233, angle = -179.4617, collision = h0027B0
x = -37.84849, y = 55.69459, z = 913.6979, angle = 147.2764, collision = h0027B0
x = -38.66407, y = 55.6946, z = 914.8364, angle = 77.9617, collision = h0027B0
x = -39.91, y = 55.49017, z = 914.4335, angle = 38.42703, collision = h0027B0
x = -40.81706, y = 55.03459, z = 913.2892, angle = 39.52307, collision = h0027B0
x = -41.72886, y = 54.57661, z = 912.176, angle = 41.71565, collision = h0027B0
x = -42.74765, y = 54.06486, z = 911.1807, angle = 114.4276, collision = h0027B0
x = -43.75835, y = 53.55696, z = 911.7346, angle = 168.1431, collision = h0027B0
x = -44.1181, y = 53.37603, z = 913.1147, angle = 165.7784, collision = h0027B0
x = -44.48975, y = 53.18911, z = 914.4964, angle = 128.2886, collision = h0027B0
x = -45.44041, y = 52.71135, z = 915.2842, angle = 114.4103, collision = h0027B0
x = -46.46948, y = 52.37357, z = 915.7447, angle = 132.6206, collision = h0028B0
x = -47.28387, y = 52.41021, z = 916.8034, angle = -176.3439, collision = h0028B0
x = -47.17725, y = 52.42083, z = 918.0624, angle = -172.137, collision = h0028B0
x = -47.20752, y = 52.4051, z = 919.4601, angle = 154.1911, collision = h0028B0
x = -47.82683, y = 52.24406, z = 920.7521, angle = 154.8117, collision = h0028B0
x = -48.44951, y = 52.20536, z = 922.0426, angle = 154.2487, collision = h0028B0
x = -49.07062, y = 52.17655, z = 923.3339, angle = 155.4978, collision = h0028B0
x = -49.55902, y = 52.15998, z = 924.6725, angle = -163.3951, collision = h0028B0
x = -49.15306, y = 52.22106, z = 926.015, angle = -151.1205, collision = h0028B0
x = -48.54854, y = 52.26593, z = 927.1392, angle = -160.6418, collision = h0028B0
x = -48.11666, y = 52.22031, z = 928.5009, angle = -170.6197, collision = h0028B0
x = -47.91614, y = 52.20033, z = 929.9192, angle = 176.9631, collision = h0028B0
x = -48.21341, y = 52.09452, z = 931.26, angle = 111.9371, collision = h0028B0
x = -49.54899, y = 52.01867, z = 931.7209, angle = 86.76277, collision = h0028B0
x = -50.97999, y = 52.05796, z = 931.6527, angle = 89.34401, collision = h0028B0
x = -52.24733, y = 52.13625, z = 931.6293, angle = 79.79298, collision = h0028B0
x = -53.66517, y = 52.13123, z = 931.4297, angle = 77.40486, collision = h0028B0
x = -54.67497, y = 51.8979, z = 931.7312, angle = 164.4492, collision = h0028B0
x = -54.73603, y = 51.76353, z = 932.7678, angle = -142.1042, collision = h0028B0
x = -54.09323, y = 51.87834, z = 933.631, angle = -118.1154, collision = h0028B0
x = -53.15472, y = 51.91725, z = 934.4131, angle = -132.0518, collision = h0028B0
x = -52.19175, y = 52.10643, z = 935.2457, angle = -119.3847, collision = h0028B0
x = -51.24763, y = 52.20647, z = 935.7906, angle = -119.6589, collision = h0028B0
x = -49.98098, y = 52.17188, z = 936.4317, angle = -27.80145, collision = h0028B0
x = -50.35797, y = 52.1861, z = 935.3085, angle = 44.26118, collision = h0028B0
x = -50.52767, y = 52.25258, z = 934.3084, angle = -62.47919, collision = h0028B0
x = -49.2558, y = 52.23264, z = 934.3142, angle = 18.54186, collision = h0028B0
x = -55.81646, y = 51.67139, z = 932.9971, angle = 45.3049, collision = h0028B0
x = -56.8788, y = 51.75366, z = 932.0452, angle = 64.37379, collision = h0028B0
x = -58.15057, y = 51.95178, z = 931.4284, angle = 67.29854, collision = h0028B0
x = -59.36341, y = 51.95667, z = 930.7235, angle = 40.4313, collision = h0028B0
x = -60.21019, y = 51.66285, z = 929.7824, angle = 64.67654, collision = h0028B0
x = -61.43526, y = 51.68965, z = 929.0541, angle = 43.09087, collision = h0028B0
x = -62.35351, y = 51.55614, z = 927.9652, angle = 15.76761, collision = h0028B0
x = -62.68125, y = 51.54328, z = 926.8975, angle = 10.727, collision = h0028B0
x = -62.93124, y = 50.55835, z = 925.5941, angle = -10.05555, collision = h0028B0
x = -62.993, y = 49.99732, z = 924.4986, angle = -21.3673, collision = h0028B0
x = -62.5167, y = 49.88057, z = 923.1345, angle = -10.64694, collision = h0028B0
x = -62.2592, y = 49.75809, z = 921.8851, angle = -8.414178, collision = h0028B0
x = -62.02888, y = 49.58657, z = 920.4713, angle = -10.07438, collision = h0028B0
x = -61.92039, y = 49.63243, z = 919.0573, angle = 12.03427, collision = h0028B0
x = -62.42426, y = 48.82357, z = 917.1654, angle = 28.38412, collision = h0028B0
x = -63.16113, y = 48.75734, z = 915.9163, angle = 12.45036, collision = h0028B0
x = -63.49847, y = 48.70087, z = 914.5441, angle = 1.323991, collision = h0028B0
x = -63.49034, y = 48.67323, z = 913.2816, angle = -4.361076, collision = h0028B0
x = -63.55815, y = 48.39594, z = 911.8725, angle = 26.91209, collision = h0028B0
x = -64.21555, y = 48.43554, z = 910.6036, angle = 37.36265, collision = h0028B0
x = -65.09924, y = 48.57914, z = 909.4766, angle = 43.92548, collision = h0028B0
x = -66.15096, y = 48.13535, z = 908.4515, angle = 41.17853, collision = h0028B0
x = -66.93684, y = 47.86731, z = 907.4543, angle = 25.49438, collision = h0028B0
x = -67.60038, y = 47.49018, z = 906.171, angle = 38.13799, collision = h0028B0
x = -68.5294, y = 47.5326, z = 905.0851, angle = 56.52742, collision = h0028B0
x = -69.73938, y = 47.60761, z = 904.3486, angle = 84.38901, collision = h0028B0
x = -71.11572, y = 47.59542, z = 904.3898, angle = 135.8831, collision = h0028B0
x = -72.15733, y = 47.68839, z = 905.3702, angle = 126.4883, collision = h0028B0
x = -73.32742, y = 47.76449, z = 906.1724, angle = 114.8495, collision = h0028B0
x = -74.48489, y = 47.63497, z = 906.7113, angle = 115.5847, collision = h0028B0
x = -75.77206, y = 47.48909, z = 907.3406, angle = 119.1545, collision = h0028B0
x = -76.91528, y = 47.20236, z = 908.1777, angle = 147.795, collision = h0028B0
x = -77.6276, y = 47.0231, z = 909.4139, angle = -174.689, collision = h0028B0
x = -77.5128, y = 47.02882, z = 910.8246, angle = 169.1387, collision = h0028B0
x = -77.73328, y = 47.43214, z = 912.6141, angle = 178.9575, collision = h0028B0
x = -77.58412, y = 47.44667, z = 913.8371, angle = -137.888, collision = h0028B0
x = -76.54839, y = 47.52874, z = 914.7855, angle = -65.71153, collision = h0028B0
x = -75.61823, y = 47.38068, z = 914.0676, angle = 18.77896, collision = h0028B0
x = -76.01825, y = 47.18034, z = 912.6942, angle = 2.070599, collision = h0028B0
x = -76.01651, y = 47.02623, z = 911.2631, angle = -6.730837, collision = h0028B0
x = -75.50436, y = 47.09783, z = 910.0126, angle = -78.32404, collision = h0028B0
x = -74.29109, y = 47.30672, z = 909.7457, angle = -116.8133, collision = h0028B0
