x = 17.43242, y = 10.31354, z = -20.39503, angle = 22.11365, collision = h1000B1
x = 30.81341, y = 26.60001, z = 105.0207, angle = -144.3445, collision = h1040B1
x = 31.38003, y = 26.60001, z = 106.2203, angle = 127.9038, collision = h1040B1
x = 30.35027, y = 26.6, z = 107.1031, angle = 131.8487, collision = h1040B1
x = 29.51859, y = 26.6, z = 108.2983, angle = -153.1317, collision = h1040B1
x = 30.11186, y = 26.6, z = 109.5323, angle = -153.3376, collision = h1040B1
x = 30.42132, y = 26.6, z = 110.6786, angle = 169.0508, collision = h1040B1
x = 30.67793, y = 26.6, z = 111.8285, angle = -161.5847, collision = h1040B1
x = 31.65497, y = 26.6, z = 112.4112, angle = -163.0395, collision = h1040B1
x = 31.98854, y = 26.6, z = 113.37, angle = 166.2671, collision = h1040B1
x = 31.59799, y = 26.6, z = 114.6942, angle = 125.5678, collision = h1040B1
x = 30.46253, y = 26.6, z = 115.3823, angle = 50.27635, collision = h1040B1
x = 29.42964, y = 26.6, z = 114.5035, angle = 12.17765, collision = h1040B1
x = 29.31643, y = 26.6, z = 113.1963, angle = -34.99464, collision = h1040B1
x = 28.95733, y = 26.6, z = 110.9777, angle = 101.2331, collision = h1040B1
x = 27.60684, y = 26.6, z = 111.2925, angle = 138.8444, collision = h1040B1
x = 26.8534, y = 26.6, z = 112.3263, angle = 152.0846, collision = h1040B1
x = 26.16126, y = 26.6, z = 113.4877, angle = 120.7691, collision = h1040B1
x = 24.95717, y = 26.6, z = 114.1644, angle = 113.4947, collision = h1040B1
x = 23.68763, y = 26.6, z = 114.721, angle = 110.8312, collision = h1040B1
x = 22.38593, y = 26.6, z = 115.179, angle = 81.50581, collision = h1040B1
x = 20.85708, y = 26.6, z = 114.9822, angle = 78.45966, collision = h1040B1
x = 19.56042, y = 26.6, z = 114.5672, angle = -29.25339, collision = h1040B1
x = 20.17442, y = 26.6, z = 113.6103, angle = -107.6151, collision = h1040B1
x = 21.49561, y = 26.6, z = 113.9914, angle = -107.1888, collision = h1040B1
x = 23.64796, y = 26.6, z = 113.518, angle = 46.02599, collision = h1040B1
x = 22.61402, y = 26.6, z = 113.3306, angle = 153.1399, collision = h1040B1
x = 26.12988, y = 26.6, z = 114.5661, angle = -117.1814, collision = h1040B1
x = 27.37989, y = 26.6, z = 115.1436, angle = -100.3117, collision = h1040B1
x = 28.75028, y = 26.6, z = 115.3389, angle = -96.71301, collision = h1040B1
x = 30.77707, y = 26.6, z = 113.7768, angle = 72.73727, collision = h1040B1
x = 28.42014, y = 26.6, z = 112.4589, angle = 43.42701, collision = h1040B1
x = 27.60564, y = 26.6, z = 110.2222, angle = -71.27872, collision = h1040B1
x = 29.23132, y = 26.6, z = 106.86, angle = 123.9388, collision = h1040B1
x = 28.14944, y = 26.6, z = 107.6594, angle = -136.1451, collision = h1040B1
x = 27.38807, y = 26.77554, z = 108.4627, angle = -103.1301, collision = h1040B1
x = 29.91462, y = 26.6, z = 105.9763, angle = -11.91858, collision = h1040B1
x = 29.75603, y = 26.6, z = 103.2793, angle = 11.6127, collision = h1040B1
x = 29.14688, y = 26.6, z = 100.4147, angle = 11.86329, collision = h1040B1
x = 28.85365, y = 26.6, z = 99.05981, angle = 12.77193, collision = h1040B1
x = 28.547, y = 26.6, z = 97.7087, angle = 13.36243, collision = h1040B1
x = 29.2003, y = 26.6, z = 94.79201, angle = -68.91307, collision = h1040B1
x = 37.11927, y = 29.93149, z = 79.23355, angle = -2.107496, collision = h1016B1
x = 19.45359, y = 26.89919, z = 62.66198, angle = 54.86386, collision = h1018B1
x = 18.23668, y = 26.89919, z = 62.06361, angle = 80.82683, collision = h1018B1
x = 16.95768, y = 26.89919, z = 61.86589, angle = 68.42156, collision = h1018B1
x = 15.57593, y = 26.89919, z = 61.37027, angle = 83.00288, collision = h1018B1
x = 14.11595, y = 26.89919, z = 61.28988, angle = 102.0787, collision = h1018B1
x = 12.75406, y = 26.89919, z = 61.5984, angle = 107.8659, collision = h1018B1
x = 11.42951, y = 26.89919, z = 62.01081, angle = 105.1717, collision = h1018B1
x = 10.08461, y = 26.89919, z = 62.35964, angle = 91.4905, collision = h1018B1
x = 8.701976, y = 26.89919, z = 62.4441, angle = 103.0067, collision = h1018B1
x = 7.372473, y = 26.89919, z = 62.81058, angle = 113.3901, collision = h1018B1
x = 6.107893, y = 26.89919, z = 63.37777, angle = 116.9082, collision = h1018B1
x = 4.870863, y = 26.89919, z = 64.00509, angle = 117.0923, collision = h1018B1
x = 3.888738, y = 26.89919, z = 64.44344, angle = 98.79327, collision = h1018B1
x = 2.52091, y = 26.89919, z = 64.66264, angle = 98.35303, collision = h1018B1
x = 1.146553, y = 26.89919, z = 64.8391, angle = 88.7884, collision = h1018B1
x = -0.2273819, y = 26.89919, z = 64.7166, angle = 57.14788, collision = h1018B1
x = -1.326019, y = 26.89919, z = 63.925, angle = -23.4764, collision = h1018B1
x = -0.6993406, y = 26.89919, z = 63.07231, angle = -99.90679, collision = h1018B1
x = 0.6011366, y = 26.89919, z = 63.17744, angle = -84.39535, collision = h1018B1
x = 2.061808, y = 26.89919, z = 62.87401, angle = -52.02837, collision = h1018B1
x = 2.852193, y = 26.89919, z = 61.9492, angle = 10.36391, collision = h1018B1
x = 2.277613, y = 26.89919, z = 60.74257, angle = 98.77063, collision = h1018B1
x = 0.9710225, y = 26.89919, z = 60.86402, angle = 65.49326, collision = h1018B1
x = -0.3417029, y = 26.89919, z = 60.27576, angle = 40.68061, collision = h1018B1
x = -1.218319, y = 26.89919, z = 59.29525, angle = 9.781964, collision = h1018B1
x = -1.076154, y = 26.89919, z = 57.9441, angle = -38.93775, collision = h1018B1
x = -0.2387324, y = 26.89919, z = 56.9055, angle = -37.88945, collision = h1018B1
x = 0.6919789, y = 26.89919, z = 55.75342, angle = -63.12976, collision = h1018B1
x = 1.818441, y = 26.89919, z = 55.60773, angle = -147.285, collision = h1018B1
x = 2.516142, y = 26.89919, z = 56.88265, angle = 172.5411, collision = h1018B1
x = 2.366155, y = 26.89919, z = 58.16108, angle = 172.2443, collision = h1018B1
x = 2.228731, y = 26.89919, z = 59.64454, angle = -176.084, collision = h1018B1
x = 0.2407685, y = 26.89919, z = 62.2313, angle = -22.28535, collision = h1018B1
x = 3.326211, y = 26.89919, z = 59.52149, angle = -13.28201, collision = h1018B1
x = 3.605164, y = 26.89919, z = 58.11316, angle = 16.68036, collision = h1018B1
x = 3.060416, y = 26.89919, z = 55.85008, angle = -5.335266, collision = h1018B1
x = 3.021212, y = 26.89919, z = 54.48102, angle = 21.00451, collision = h1018B1
x = 2.728758, y = 26.89919, z = 53.19335, angle = 91.0802, collision = h1018B1
x = 5.831771, y = 25.76685, z = 58.36008, angle = -107.0119, collision = h1018B1
x = 5.991857, y = 25.1738, z = 57.34846, angle = 7.57341, collision = h1018B1
x = 5.767258, y = 24.6005, z = 55.97095, angle = 16.70428, collision = h1018B1
x = 5.3713, y = 24.02229, z = 54.61295, angle = 16.46251, collision = h1018B1
x = 4.975914, y = 23.44794, z = 53.28031, angle = 17.05866, collision = h1018B1
x = 4.55647, y = 22.86817, z = 51.93182, angle = 20.20205, collision = h1018B1
x = 4.104943, y = 22.2942, z = 50.59001, angle = 13.5976, collision = h1018B1
x = 3.73154, y = 21.65442, z = 49.09666, angle = 11.14795, collision = h1018B1
x = 3.480921, y = 21.14145, z = 47.87565, angle = 10.40929, collision = h1018B1
x = 3.221983, y = 20.54377, z = 46.44531, angle = 10.42798, collision = h1018B1
x = 3.01104, y = 20.05779, z = 45.28239, angle = 10.24821, collision = h1018B1
x = 3.371439, y = 19.81618, z = 44.22977, angle = -59.45535, collision = h1018B1
x = 4.576611, y = 19.81617, z = 43.53203, angle = -64.08337, collision = h1018B1
x = 5.552626, y = 19.81617, z = 43.05919, angle = -84.40431, collision = h1018B1
x = 6.923265, y = 19.81617, z = 42.89546, angle = -112.172, collision = h1018B1
x = 7.618889, y = 20.04232, z = 44.17771, angle = 150.9958, collision = h1018B1
x = 7.131998, y = 20.50971, z = 45.45573, angle = -131.9018, collision = h1018B1
x = 8.116994, y = 20.78314, z = 45.9096, angle = -29.17627, collision = h1018B1
x = 8.646004, y = 20.46704, z = 44.99905, angle = -5.602313, collision = h1018B1
x = 8.417326, y = 19.86516, z = 43.55125, angle = -54.9184, collision = h1018B1
x = 9.563531, y = 19.81617, z = 42.87067, angle = -43.3365, collision = h1018B1
x = 10.56734, y = 19.81617, z = 42.0022, angle = -101.7761, collision = h1018B1
x = 11.87742, y = 19.81617, z = 42.32365, angle = -124.9864, collision = h1018B1
x = 12.95544, y = 20.13585, z = 43.17621, angle = 171.8062, collision = h1018B1
x = 12.60503, y = 20.59078, z = 44.39142, angle = 82.44079, collision = h1018B1
x = 11.31109, y = 20.36177, z = 44.11995, angle = 35.51418, collision = h1018B1
x = 9.31842, y = 19.81617, z = 41.75806, angle = 90.78486, collision = h1018B1
x = 7.93068, y = 19.81617, z = 41.7555, angle = 91.25871, collision = h1018B1
x = 6.544701, y = 19.81617, z = 41.78168, angle = 92.7401, collision = h1018B1
x = 4.874408, y = 19.81617, z = 42.24512, angle = 129.6407, collision = h1018B1
x = 5.515282, y = 19.85269, z = 44.1916, angle = -64.62454, collision = h1018B1
x = 10.69826, y = 19.91994, z = 43.16008, angle = -163.6039, collision = h1018B1
x = 10.28083, y = 20.40428, z = 44.46431, angle = 95.64604, collision = h1018B1
x = 6.012223, y = 20.24872, z = 45.06408, angle = 106.8569, collision = h1018B1
x = 4.739161, y = 20.33228, z = 45.56696, angle = 152.0571, collision = h1018B1
x = 4.526859, y = 20.7817, z = 46.73665, angle = -93.22865, collision = h1018B1
x = 5.854149, y = 20.90421, z = 46.73502, angle = -65.57101, collision = h1018B1
x = 9.906431, y = 20.80186, z = 45.5422, angle = -113.8271, collision = h1018B1
x = 11.0953, y = 21.18049, z = 46.21088, angle = 156.0262, collision = h1018B1
x = 10.52857, y = 21.54148, z = 47.24193, angle = 96.30785, collision = h1018B1
x = 9.154275, y = 21.48428, z = 47.41742, angle = 97.87303, collision = h1018B1
x = 7.78178, y = 21.43476, z = 47.61165, angle = 100.3715, collision = h1018B1
x = 6.420503, y = 21.4115, z = 47.86874, angle = 103.331, collision = h1018B1
x = 5.071119, y = 21.41732, z = 48.19556, angle = 108.4019, collision = h1018B1
x = 4.95796, y = 22.06851, z = 49.84504, angle = -62.1318, collision = h1018B1
x = 6.179462, y = 21.91948, z = 49.1908, angle = -58.42181, collision = h1018B1
x = 10.76506, y = 21.98784, z = 48.29987, angle = 169.3858, collision = h1018B1
x = 10.59619, y = 22.37858, z = 49.31298, angle = 123.8899, collision = h1018B1
x = 9.456367, y = 22.58024, z = 50.0795, angle = 98.90034, collision = h1018B1
x = 8.091022, y = 22.54886, z = 50.31729, angle = 103.3211, collision = h1018B1
x = 6.729886, y = 22.53091, z = 50.5721, angle = 101.726, collision = h1018B1
x = 5.373388, y = 22.51685, z = 50.86665, angle = 112.1247, collision = h1018B1
x = 5.924048, y = 23.01595, z = 51.98361, angle = -66.20029, collision = h1018B1
x = 7.599277, y = 22.86036, z = 51.20771, angle = -66.87154, collision = h1018B1
x = 10.27056, y = 22.9263, z = 50.7537, angle = -121.8163, collision = h1018B1
x = 11.32598, y = 23.35933, z = 51.58887, angle = 161.935, collision = h1018B1
x = 10.99714, y = 23.84426, z = 52.87415, angle = 124.4247, collision = h1018B1
x = 9.85842, y = 24.0347, z = 53.61271, angle = 94.23465, collision = h1018B1
x = 8.781723, y = 23.9721, z = 53.70595, angle = 96.91883, collision = h1018B1
x = 7.407699, y = 23.91511, z = 53.88205, angle = 101.3173, collision = h1018B1
x = 7.136497, y = 24.55059, z = 55.52943, angle = -65.35089, collision = h1018B1
x = 8.414362, y = 24.45529, z = 54.99467, angle = -80.63079, collision = h1018B1
x = 9.762178, y = 24.48622, z = 54.76085, angle = -101.408, collision = h1018B1
x = 11.2619, y = 24.7135, z = 54.98027, angle = -100.0044, collision = h1018B1
x = 12.57867, y = 24.99587, z = 55.37942, angle = 179.25, collision = h1018B1
x = 12.32837, y = 25.40488, z = 56.45726, angle = 106.2498, collision = h1018B1
x = 11.03656, y = 25.47721, z = 56.93676, angle = 133.0516, collision = h1018B1
x = 10.0078, y = 25.75411, z = 57.86545, angle = 125.5108, collision = h1018B1
x = 8.867898, y = 25.96394, z = 58.65265, angle = 137.977, collision = h1018B1
x = 8.443317, y = 26.35498, z = 59.72602, angle = -116.1354, collision = h1018B1
x = 9.679194, y = 26.6095, z = 60.07447, angle = -69.14941, collision = h1018B1
x = 10.68462, y = 26.54898, z = 59.69073, angle = -69.76336, collision = h1018B1
x = 11.9995, y = 26.49594, z = 59.25398, angle = -94.2627, collision = h1018B1
x = 13.3336, y = 26.72316, z = 59.51158, angle = -148.6459, collision = h1018B1
x = 8.844212, y = 27.13656, z = 63.67337, angle = -157.2499, collision = h1018B1
x = 9.566846, y = 27.46204, z = 64.64982, angle = -67.83064, collision = h1018B1
x = 10.80575, y = 27.28176, z = 64.09127, angle = -84.40147, collision = h1018B1
x = 12.02549, y = 27.33842, z = 64.26728, angle = -162.5866, collision = h1018B1
x = 11.52932, y = 27.71291, z = 65.40244, angle = 111.6311, collision = h1018B1
x = 10.4112, y = 27.95686, z = 66.12642, angle = -175.522, collision = h1018B1
x = 10.4398, y = 27.96757, z = 67.18903, angle = 164.2924, collision = h1018B1
x = 10.02078, y = 27.96758, z = 68.415, angle = 162.334, collision = h1018B1
x = 9.809336, y = 27.96758, z = 69.6968, angle = -167.3455, collision = h1018B1
x = 10.11963, y = 27.96758, z = 71.04784, angle = -164.8277, collision = h1018B1
x = 10.60212, y = 27.96758, z = 72.33064, angle = -91.81889, collision = h1018B1
x = 11.74352, y = 27.96758, z = 72.06416, angle = 6.591051, collision = h1018B1
x = 11.6321, y = 27.96758, z = 70.70892, angle = 17.24895, collision = h1018B1
x = 11.16802, y = 27.96758, z = 69.24098, angle = 27.04651, collision = h1018B1
x = 11.29979, y = 27.96758, z = 67.82708, angle = -141.3459, collision = h1018B1
x = 11.19775, y = 27.96758, z = 73.36017, angle = -175.6108, collision = h1018B1
x = 11.24061, y = 27.96758, z = 74.74311, angle = -176.8981, collision = h1020B1
x = 11.20316, y = 27.96758, z = 75.79061, angle = -174.3438, collision = h1020B1
x = 11.29148, y = 27.96758, z = 77.16846, angle = 159.9288, collision = h1020B1
x = 10.93466, y = 27.96758, z = 78.18515, angle = 57.12822, collision = h1020B1
x = 9.81009, y = 27.96758, z = 77.51837, angle = 105.9472, collision = h1020B1
x = 8.481828, y = 27.96758, z = 77.5631, angle = 46.46162, collision = h1020B1
x = 7.48492, y = 27.96758, z = 76.60245, angle = 121.8444, collision = h1020B1
x = 6.530954, y = 27.96758, z = 77.43758, angle = 179.7052, collision = h1020B1
x = 6.532709, y = 27.96758, z = 78.82081, angle = 174.1529, collision = h1020B1
x = 6.141538, y = 27.96758, z = 80.06378, angle = 141.4742, collision = h1020B1
x = 5.751961, y = 27.96758, z = 81.24307, angle = -157.4189, collision = h1020B1
x = 6.287611, y = 27.96758, z = 82.52412, angle = -159.2069, collision = h1020B1
x = 6.365189, y = 27.96758, z = 83.79874, angle = 122.2253, collision = h1020B1
x = 5.252196, y = 27.96758, z = 84.61932, angle = 146.1353, collision = h1020B1
x = 4.826218, y = 27.96758, z = 85.82213, angle = -156.9655, collision = h1020B1
x = 5.513248, y = 27.96758, z = 87.19501, angle = -115.2243, collision = h1020B1
x = 6.732014, y = 27.96758, z = 87.45538, angle = 0.9003009, collision = h1020B1
x = 6.650462, y = 27.96758, z = 86.19323, angle = 34.83827, collision = h1020B1
x = 7.615883, y = 27.96758, z = 82.37858, angle = -85.03916, collision = h1020B1
x = 8.947823, y = 27.96758, z = 82.05927, angle = -34.55854, collision = h1020B1
x = 9.814042, y = 27.96758, z = 80.79381, angle = -26.14255, collision = h1020B1
x = 10.41727, y = 27.96758, z = 79.54585, angle = -22.90007, collision = h1020B1
x = 12.18141, y = 27.96758, z = 77.78146, angle = -74.45818, collision = h1020B1
x = 13.36539, y = 27.96758, z = 77.24113, angle = -39.94172, collision = h1020B1
x = 14.33944, y = 27.96758, z = 76.26663, angle = -64.53783, collision = h1020B1
x = 15.59259, y = 27.96758, z = 75.68314, angle = -75.95924, collision = h1020B1
x = 16.63783, y = 27.96758, z = 75.4733, angle = -146.4742, collision = h1020B1
x = 16.56227, y = 27.96758, z = 76.4993, angle = 131.6499, collision = h1020B1
x = 15.54346, y = 27.96758, z = 77.42464, angle = 128.9146, collision = h1020B1
x = 14.90609, y = 27.96758, z = 78.50793, angle = -127.6662, collision = h1020B1
x = 16.01981, y = 27.96758, z = 79.20033, angle = -38.56216, collision = h1020B1
x = 16.4435, y = 27.96758, z = 78.18527, angle = 44.1339, collision = h1020B1
x = 14.64916, y = 27.96758, z = 79.48515, angle = -149.8404, collision = h1020B1
x = 15.36181, y = 27.96758, z = 80.66895, angle = -120.8411, collision = h1020B1
x = 16.45777, y = 27.96758, z = 81.49345, angle = 167.9602, collision = h1020B1
x = 15.94866, y = 27.96758, z = 82.56453, angle = 129.1396, collision = h1020B1
x = 15.23356, y = 27.96758, z = 83.58955, angle = -163.8021, collision = h1020B1
x = 15.63971, y = 27.96758, z = 84.91035, angle = -158.3709, collision = h1020B1
x = 16.13441, y = 27.96758, z = 86.20706, angle = -166.6759, collision = h1020B1
x = 16.40332, y = 27.96758, z = 87.25256, angle = 145.3826, collision = h1020B1
x = 15.66155, y = 27.96758, z = 88.37868, angle = 107.0967, collision = h1020B1
x = 14.46552, y = 27.96758, z = 88.42288, angle = -13.52157, collision = h1020B1
x = 14.80802, y = 27.96758, z = 87.15623, angle = -40.56784, collision = h1020B1
x = 14.26674, y = 27.96758, z = 85.29621, angle = 105.1816, collision = h1020B1
x = 12.93307, y = 27.96758, z = 85.65528, angle = 134.4276, collision = h1020B1
x = 11.91601, y = 27.96758, z = 86.78889, angle = 118.8994, collision = h1020B1
x = 10.73235, y = 27.96758, z = 87.35322, angle = 91.64609, collision = h1020B1
x = 9.346932, y = 27.96758, z = 87.39643, angle = 91.46634, collision = h1020B1
x = 7.96781, y = 27.96758, z = 87.35025, angle = 65.83072, collision = h1020B1
x = 6.463626, y = 27.96758, z = 84.79472, angle = -82.73161, collision = h1020B1
x = 7.585328, y = 27.96758, z = 84.38329, angle = -23.82511, collision = h1020B1
x = 10.83906, y = 27.96758, z = 80.83181, angle = -169.0871, collision = h1020B1
x = 11.00484, y = 27.96758, z = 82.12398, angle = 146.386, collision = h1020B1
x = 10.45799, y = 27.96758, z = 83.09155, angle = -176.8304, collision = h1020B1
x = 11.63351, y = 27.96758, z = 83.89799, angle = -148.5943, collision = h1020B1
x = 12.04129, y = 27.96758, z = 85.08392, angle = 129.6756, collision = h1020B1
x = 10.94951, y = 27.96758, z = 85.94572, angle = 92.05739, collision = h1020B1
x = 9.624981, y = 27.96758, z = 85.88865, angle = 99.18332, collision = h1020B1
x = 8.491551, y = 27.96758, z = 86.49771, angle = -179.8201, collision = h1020B1
x = 8.821241, y = 27.96758, z = 88.26668, angle = -134.1506, collision = h1020B1
x = 9.906765, y = 27.96758, z = 89.07095, angle = -104.2542, collision = h1020B1
x = 11.0892, y = 28.00566, z = 89.67249, angle = -162.1008, collision = h1021B1
x = 11.58204, y = 28.31738, z = 90.98, angle = -126.6459, collision = h1021B1
x = 12.71986, y = 28.46681, z = 91.74142, angle = -115.6008, collision = h1021B1
x = 13.99982, y = 28.46681, z = 92.2698, angle = -113.2389, collision = h1021B1
x = 14.91883, y = 28.46681, z = 92.68163, angle = -113.2643, collision = h1021B1
x = 16.17026, y = 28.46681, z = 93.27411, angle = -133.5214, collision = h1021B1
x = 15.8839, y = 28.46681, z = 94.46358, angle = 55.01282, collision = h1021B1
x = 11.7338, y = 28.46681, z = 92.67726, angle = 102.416, collision = h1021B1
x = 10.37749, y = 28.46681, z = 92.71009, angle = 69.06075, collision = h1021B1
x = 9.073367, y = 28.46681, z = 92.24407, angle = 84.70914, collision = h1021B1
x = 7.694504, y = 28.46681, z = 92.10181, angle = 86.94025, collision = h1021B1
x = 6.631564, y = 28.46681, z = 92.14336, angle = 132.9719, collision = h1021B1
x = 5.688448, y = 28.46681, z = 93.12585, angle = 162.7891, collision = h1021B1
x = 5.362032, y = 28.46681, z = 94.45826, angle = -170.3846, collision = h1021B1
x = 5.491583, y = 28.46681, z = 95.83636, angle = -176.5551, collision = h1021B1
x = 5.579808, y = 28.46681, z = 97.22206, angle = -173.8916, collision = h1021B1
x = 5.595569, y = 28.46681, z = 98.59336, angle = 161.79, collision = h1021B1
x = 5.221185, y = 28.46681, z = 99.93027, angle = 178.7377, collision = h1021B1
x = 5.175395, y = 28.46681, z = 101.0071, angle = -174.9656, collision = h1021B1
x = 5.294283, y = 28.46681, z = 102.3864, angle = -172.9745, collision = h1021B1
x = 5.453306, y = 28.46681, z = 103.7635, angle = -171.9365, collision = h1021B1
x = 5.65588, y = 28.46758, z = 105.1362, angle = 170.4519, collision = h1022B1
x = 5.510551, y = 28.46758, z = 106.5073, angle = 171.5614, collision = h1022B1
x = 5.2977, y = 28.46758, z = 107.881, angle = 170.9762, collision = h1022B1
x = 5.253757, y = 28.46758, z = 109.2547, angle = -117.2037, collision = h1022B1
x = 6.423633, y = 28.46758, z = 109.3694, angle = -9.07922, collision = h1022B1
x = 6.662463, y = 28.46758, z = 108.0177, angle = -0.7596946, collision = h1022B1
x = 6.601254, y = 28.46758, z = 106.639, angle = 14.54489, collision = h1022B1
x = 6.321734, y = 28.46681, z = 102.6921, angle = -30.11324, collision = h1021B1
x = 6.914209, y = 28.46681, z = 101.4522, angle = -6.748117, collision = h1021B1
x = 7.010581, y = 28.46681, z = 99.92341, angle = 9.297362, collision = h1021B1
x = 6.887961, y = 28.46681, z = 98.54942, angle = -27.27219, collision = h1021B1
x = 6.614815, y = 28.46681, z = 95.74799, angle = -61.27745, collision = h1021B1
x = 7.827356, y = 28.46681, z = 95.07944, angle = -76.28346, collision = h1021B1
x = 8.871021, y = 28.46681, z = 94.82956, angle = -99.13049, collision = h1021B1
x = 10.24661, y = 28.46681, z = 94.97967, angle = -89.08291, collision = h1021B1
x = 11.60892, y = 28.46681, z = 94.79999, angle = -50.51605, collision = h1021B1
x = 12.71023, y = 28.46681, z = 93.96735, angle = -42.50823, collision = h1021B1
x = 15.22687, y = 28.46681, z = 95.65596, angle = -159.7557, collision = h1021B1
x = 15.69216, y = 28.46681, z = 96.93695, angle = -178.3328, collision = h1021B1
x = 15.67676, y = 28.46681, z = 98.29365, angle = 150.143, collision = h1021B1
x = 14.91059, y = 28.46681, z = 99.42191, angle = 101.4521, collision = h1021B1
x = 13.61688, y = 28.46681, z = 99.72388, angle = 82.07629, collision = h1021B1
x = 12.2542, y = 28.46681, z = 99.85381, angle = 107.0838, collision = h1021B1
x = 11.22304, y = 28.46681, z = 100.1699, angle = 107.5407, collision = h1021B1
x = 9.905251, y = 28.46681, z = 100.5991, angle = 167.5555, collision = h1021B1
x = 9.776198, y = 28.46681, z = 101.8539, angle = -125.0282, collision = h1021B1
x = 10.91595, y = 28.46681, z = 102.5398, angle = -106.1144, collision = h1021B1
x = 12.27426, y = 28.46681, z = 102.7766, angle = -83.21502, collision = h1021B1
x = 13.6453, y = 28.46681, z = 102.5837, angle = -93.1986, collision = h1021B1
x = 15.02867, y = 28.46681, z = 102.6242, angle = -76.62274, collision = h1021B1
x = 16.53047, y = 28.46681, z = 102.3102, angle = -83.23371, collision = h1021B1
x = 16.66968, y = 28.46681, z = 103.5367, angle = 132.4032, collision = h1021B1
x = 15.71841, y = 28.46758, z = 104.5413, angle = 175.3326, collision = h1022B1
x = 15.57927, y = 28.46758, z = 105.9013, angle = -159.208, collision = h1022B1
x = 16.27217, y = 28.46758, z = 106.9641, angle = -68.39376, collision = h1022B1
x = 17.50476, y = 28.42921, z = 106.4134, angle = 18.30141, collision = h1023B1
x = 16.23252, y = 28.46758, z = 108.1122, angle = -170.941, collision = h1022B1
x = 16.59085, y = 28.46758, z = 109.4224, angle = -132.7556, collision = h1022B1
x = 17.66725, y = 28.4036, z = 110.2267, angle = -93.14588, collision = h1023B1
x = 19.04735, y = 28.21758, z = 110.2581, angle = -86.41553, collision = h1023B1
x = 20.45154, y = 28.21758, z = 110.173, angle = -71.25737, collision = h1023B1
x = 21.61961, y = 28.21758, z = 109.5497, angle = -17.31729, collision = h1023B1
x = 21.88538, y = 28.21758, z = 108.2386, angle = -2.958633, collision = h1023B1
x = 21.98941, y = 28.21758, z = 107.1808, angle = -28.78448, collision = h1023B1
x = 22.66078, y = 28.21758, z = 105.9776, angle = 52.94082, collision = h1023B1
x = 21.60922, y = 28.21758, z = 105.2867, angle = 101.1085, collision = h1023B1
x = 20.40223, y = 28.21758, z = 105.7994, angle = 165.9183, collision = h1023B1
x = 20.32331, y = 28.21758, z = 107.101, angle = -98.3251, collision = h1023B1
x = 22.95346, y = 28.21758, z = 107.748, angle = -145.4081, collision = h1023B1
x = 23.12914, y = 28.21758, z = 108.9011, angle = 92.41268, collision = h1023B1
x = 20.56824, y = 28.21758, z = 108.2689, angle = 91.38585, collision = h1023B1
x = 19.25968, y = 28.21758, z = 108.4691, angle = 149.3587, collision = h1023B1
x = 15.28433, y = 28.47137, z = 108.7686, angle = 93.28016, collision = h1022B1
x = 14.26027, y = 28.48398, z = 108.938, angle = -174.3928, collision = h1022B1
x = 14.55284, y = 28.48707, z = 110.1018, angle = -132.2589, collision = h1022B1
x = 15.14501, y = 28.48623, z = 111.1721, angle = 91.85662, collision = h1022B1
x = 13.16578, y = 28.49594, z = 109.9424, angle = 91.89067, collision = h1022B1
x = 12.03834, y = 28.49662, z = 110.4274, angle = -168.4112, collision = h1022B1
x = 12.33716, y = 28.49867, z = 111.9173, angle = 175.7932, collision = h1022B1
x = 12.32797, y = 28.90009, z = 113.2992, angle = -159.8496, collision = h1022B1
x = 12.9758, y = 29.26921, z = 114.4423, angle = -62.23069, collision = h1022B1
x = 14.16884, y = 29.31758, z = 113.887, angle = -67.17588, collision = h1022B1
x = 15.44504, y = 29.31758, z = 113.3613, angle = -95.36634, collision = h1022B1
x = 16.34384, y = 29.31758, z = 113.9264, angle = 167.1317, collision = h1022B1
x = 15.97343, y = 29.31758, z = 115.2467, angle = 147.3713, collision = h1022B1
x = 15.43636, y = 29.31758, z = 116.4915, angle = -148.6497, collision = h1022B1
x = 15.96282, y = 29.31758, z = 117.421, angle = -177.3589, collision = h1022B1
x = 15.93775, y = 29.31758, z = 118.6571, angle = 143.8619, collision = h1022B1
x = 15.22052, y = 29.31758, z = 119.8351, angle = 178.1184, collision = h1022B1
x = 15.13102, y = 29.31758, z = 121.2153, angle = 174.184, collision = h1022B1
x = 14.76301, y = 29.31758, z = 122.5043, angle = 99.53265, collision = h1022B1
x = 13.42354, y = 29.31758, z = 122.7231, angle = 119.8871, collision = h1022B1
x = 12.36226, y = 29.31758, z = 123.4573, angle = -177.6184, collision = h1022B1
x = 12.27149, y = 30.05759, z = 123.9531, angle = -91.86069, collision = h1022B1
x = 13.19586, y = 29.39091, z = 124.2363, angle = -21.15192, collision = h1022B1
x = 12.69476, y = 29.31758, z = 121.507, angle = 35.41173, collision = h1022B1
x = 11.79931, y = 29.31758, z = 120.4968, angle = 117.7955, collision = h1022B1
x = 10.7899, y = 29.31758, z = 121.2269, angle = 165.4673, collision = h1022B1
x = 10.55351, y = 29.31758, z = 122.5827, angle = -178.1612, collision = h1022B1
x = 9.569883, y = 29.31758, z = 123.0752, angle = 154.1848, collision = h1022B1
x = 9.153878, y = 29.86893, z = 123.7061, angle = 152.6054, collision = h1022B1
